Timestamp,['1cca74ce-2848d284 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts BC']
2017-06-07T00:00:00-06:00,213.45138888888889 V
2017-06-08T00:00:00-06:00,213.43055555555554 V
2017-06-09T00:00:00-06:00,213.27777777777777 V
2017-06-10T00:00:00-06:00,213.05902777777777 V
2017-06-11T00:00:00-06:00,213.18741258741258 V
2017-06-12T00:00:00-06:00,213.38194444444446 V
2017-06-13T00:00:00-06:00,213.26111111111112 V
2017-06-14T00:00:00-06:00,213.12569444444443 V
2017-06-15T00:00:00-06:00,213.16180555555556 V
2017-06-16T00:00:00-06:00,213.17361111111111 V
2017-06-17T00:00:00-06:00,213.27569444444444 V
2017-06-18T00:00:00-06:00,213.39583333333334 V
2017-06-19T00:00:00-06:00,213.3125 V
2017-06-20T00:00:00-06:00,213.2375 V
2017-06-21T00:00:00-06:00,213.14583333333334 V
2017-06-22T00:00:00-06:00,213.32638888888889 V
2017-06-23T00:00:00-06:00,213.33194444444445 V
2017-06-24T00:00:00-06:00,213.3763888888889 V
2017-06-25T00:00:00-06:00,213.44583333333333 V
2017-06-26T00:00:00-06:00,213.13766434648105 V
2017-06-27T00:00:00-06:00,213.42708333333334 V
2017-06-28T00:00:00-06:00,213.3125 V
2017-06-29T00:00:00-06:00,213.44791666666666 V
2017-06-30T00:00:00-06:00,213.33333333333334 V
2017-07-01T00:00:00-06:00,213.21875 V
2017-07-02T00:00:00-06:00,213.48958333333334 V
2017-07-03T00:00:00-06:00,213.28125 V
2017-07-04T00:00:00-06:00,213.4375 V
2017-07-05T00:00:00-06:00,213.35416666666666 V
2017-07-06T00:00:00-06:00,213.375 V
2017-07-07T00:00:00-06:00,213.28125 V
2017-07-08T00:00:00-06:00,213.32631578947368 V
2017-07-09T00:00:00-06:00,213.32291666666666 V
2017-07-10T00:00:00-06:00,213.21875 V
2017-07-11T00:00:00-06:00,213.19791666666666 V
2017-07-12T00:00:00-06:00,213.22916666666666 V
2017-07-13T00:00:00-06:00,213.46875 V
2017-07-14T00:00:00-06:00,213.44791666666666 V
2017-07-15T00:00:00-06:00,213.25 V
2017-07-16T00:00:00-06:00,213.30208333333334 V
2017-07-17T00:00:00-06:00,213.26041666666666 V
2017-07-18T00:00:00-06:00,213.27083333333334 V
2017-07-19T00:00:00-06:00,213.31578947368422 V
2017-07-20T00:00:00-06:00,213.33333333333334 V
2017-07-21T00:00:00-06:00,213.17708333333334 V
2017-07-22T00:00:00-06:00,213.33333333333334 V
2017-07-23T00:00:00-06:00,213.54166666666666 V
2017-07-24T00:00:00-06:00,213.41666666666666 V
2017-07-25T00:00:00-06:00,213.35416666666666 V
2017-07-26T00:00:00-06:00,213.32291666666666 V
2017-07-27T00:00:00-06:00,213.40625 V
2017-07-28T00:00:00-06:00,213.21875 V
2017-07-29T00:00:00-06:00,213.375 V
2017-07-30T00:00:00-06:00,213.40625 V
2017-07-31T00:00:00-06:00,213.45833333333334 V
2017-08-01T00:00:00-06:00,213.45833333333334 V
2017-08-02T00:00:00-06:00,213.42708333333334 V
2017-08-03T00:00:00-06:00,213.34375 V
2017-08-04T00:00:00-06:00,213.2921348314607 V
2017-08-05T00:00:00-06:00,213.41666666666666 V
2017-08-06T00:00:00-06:00,213.32291666666666 V
2017-08-07T00:00:00-06:00,213.21875 V
2017-08-08T00:00:00-06:00,213.30208333333334 V
2017-08-09T00:00:00-06:00,213.19565217391303 V
2017-08-10T00:00:00-06:00,213.2826086956522 V
2017-08-11T00:00:00-06:00,213.52083333333334 V
2017-08-12T00:00:00-06:00,213.30208333333334 V
2017-08-13T00:00:00-06:00,213.58333333333334 V
2017-08-14T00:00:00-06:00,213.52083333333334 V
2017-08-15T00:00:00-06:00,213.54166666666666 V
2017-08-16T00:00:00-06:00,213.35416666666666 V
2017-08-17T00:00:00-06:00,213.34375 V
2017-08-18T00:00:00-06:00,213.27083333333334 V
2017-08-19T00:00:00-06:00,213.375 V
2017-08-20T00:00:00-06:00,213.44791666666666 V
2017-08-21T00:00:00-06:00,213.36458333333334 V
2017-08-22T00:00:00-06:00,213.23958333333334 V
2017-08-23T00:00:00-06:00,213.36458333333334 V
2017-08-24T00:00:00-06:00,213.23958333333334 V
2017-08-25T00:00:00-06:00,213.23958333333334 V
2017-08-26T00:00:00-06:00,213.1875 V
2017-08-27T00:00:00-06:00,213.15625 V
2017-08-28T00:00:00-06:00,213.43820224719101 V
2017-08-29T00:00:00-06:00,213.45555555555555 V
2017-08-30T00:00:00-06:00,213.35416666666666 V
2017-08-31T00:00:00-06:00,213.4375 V
2017-09-01T00:00:00-06:00,213.26041666666666 V
2017-09-02T00:00:00-06:00,213.25 V
2017-09-03T00:00:00-06:00,213.40625 V
2017-09-04T00:00:00-06:00,213.22916666666666 V
2017-09-05T00:00:00-06:00,213.26041666666666 V
2017-09-06T00:00:00-06:00,213.2842105263158 V
2017-09-07T00:00:00-06:00,213.2842105263158 V
2017-09-08T00:00:00-06:00,213.42391304347825 V
2017-09-09T00:00:00-06:00,213.33333333333334 V
