Timestamp,['202e54e3-51550169 Power Meter (HV) (316610) Current A']
2017-08-09T00:00:00-06:00,160.63636363636363 A
2017-08-10T00:00:00-06:00,175.625 A
2017-08-11T00:00:00-06:00,170.5 A
2017-08-12T00:00:00-06:00,171.5 A
2017-08-13T00:00:00-06:00,160.83333333333334 A
2017-08-14T00:00:00-06:00,171.66666666666666 A
2017-08-15T00:00:00-06:00,160.16666666666666 A
2017-08-16T00:00:00-06:00,162.66666666666666 A
2017-08-17T00:00:00-06:00,173.66666666666666 A
2017-08-18T00:00:00-06:00,162.125 A
2017-08-19T00:00:00-06:00,165.5 A
2017-08-20T00:00:00-06:00,167.27777777777777 A
2017-08-21T00:00:00-06:00,166.08333333333334 A
2017-08-22T00:00:00-06:00,172.6 A
2017-08-23T00:00:00-06:00,163.28571428571428 A
2017-08-24T00:00:00-06:00,165.77777777777777 A
2017-08-25T00:00:00-06:00,178 A
2017-08-26T00:00:00-06:00,175.75 A
2017-08-27T00:00:00-06:00,173.8 A
2017-08-28T00:00:00-06:00,172.21428571428572 A
2017-08-29T00:00:00-06:00,172.125 A
2017-08-30T00:00:00-06:00,172 A
2017-08-31T00:00:00-06:00,149.14285714285714 A
2017-09-01T00:00:00-06:00,127.61111111111111 A
2017-09-02T00:00:00-06:00,116.14285714285714 A
2017-09-03T00:00:00-06:00,127.83333333333333 A
2017-09-04T00:00:00-06:00,132.1875 A
2017-09-05T00:00:00-06:00,133.55 A
2017-09-06T00:00:00-06:00,125.88888888888889 A
2017-09-07T00:00:00-06:00,121.35714285714286 A
2017-09-08T00:00:00-06:00,140.33333333333334 A
2017-09-09T00:00:00-06:00,124.25 A
2017-09-10T00:00:00-06:00,109.5 A
2017-09-11T00:00:00-06:00,129.66666666666666 A
2017-09-12T00:00:00-06:00,133.8 A
2017-09-13T00:00:00-06:00,146.375 A
2017-09-14T00:00:00-06:00,141.4 A
2017-09-15T00:00:00-06:00,122 A
2017-09-16T00:00:00-06:00,127.6 A
2017-09-17T00:00:00-06:00,130.9090909090909 A
2017-09-18T00:00:00-06:00,137.85714285714286 A
2017-09-19T00:00:00-06:00,117 A
2017-09-20T00:00:00-06:00,118.85714285714286 A
2017-09-21T00:00:00-06:00,109.66666666666667 A
2017-09-22T00:00:00-06:00,90.22222222222223 A
2017-09-23T00:00:00-06:00,96.5 A
2017-09-24T00:00:00-06:00,105 A
2017-09-25T00:00:00-06:00,113.41666666666667 A
2017-09-26T00:00:00-06:00,132.25 A
2017-09-27T00:00:00-06:00,155 A
2017-09-28T00:00:00-06:00,130 A
2017-09-29T00:00:00-06:00,135.3 A
2017-09-30T00:00:00-06:00,133.66666666666666 A
2017-10-01T00:00:00-06:00,119.66666666666667 A
2017-10-02T00:00:00-06:00,92 A
2017-10-03T00:00:00-06:00,115.66666666666667 A
2017-10-04T00:00:00-06:00,119.28571428571429 A
2017-10-05T00:00:00-06:00,106 A
2017-10-06T00:00:00-06:00,112.05882352941177 A
2017-10-07T00:00:00-06:00,110.14285714285714 A
2017-10-08T00:00:00-06:00,105 A
2017-10-09T00:00:00-06:00,92.66666666666667 A
2017-10-10T00:00:00-06:00,122.45945945945945 A
2017-10-11T00:00:00-06:00,119.88059701492537 A
2017-10-12T00:00:00-06:00,114.4390243902439 A
2017-10-13T00:00:00-06:00,117.54838709677419 A
2017-10-14T00:00:00-06:00,104.53125 A
2017-10-15T00:00:00-06:00,94.5 A
2017-10-16T00:00:00-06:00,109.19791666666667 A
2017-10-17T00:00:00-06:00,124.54166666666667 A
2017-10-18T00:00:00-06:00,127.5625 A
2017-10-19T00:00:00-06:00,125.44791666666667 A
2017-10-20T00:00:00-06:00,126.38297872340425 A
2017-10-21T00:00:00-06:00,100.35416666666667 A
2017-10-22T00:00:00-06:00,107.69791666666667 A
2017-10-23T00:00:00-06:00,124.23958333333333 A
2017-10-24T00:00:00-06:00,124.28125 A
2017-10-25T00:00:00-06:00,117.61458333333333 A
2017-10-26T00:00:00-06:00,123.70526315789473 A
2017-10-27T00:00:00-06:00,124.28125 A
2017-10-28T00:00:00-06:00,121.27368421052631 A
2017-10-29T00:00:00-06:00,122.75 A
2017-10-30T00:00:00-06:00,98.02083333333333 A
2017-10-31T00:00:00-06:00,95.08421052631579 A
2017-11-01T00:00:00-06:00,108.63157894736842 A
2017-11-02T00:00:00-06:00,120.27659574468085 A
2017-11-03T00:00:00-06:00,125.03225806451613 A
2017-11-04T00:00:00-06:00,107 A
2017-11-05T00:00:00-06:00,93.78 A
2017-11-06T00:00:00-07:00,88.82105263157895 A
2017-11-07T00:00:00-07:00,90.79787234042553 A
2017-11-08T00:00:00-07:00,90.91489361702128 A
2017-11-09T00:00:00-07:00,99.13541666666667 A
2017-11-10T00:00:00-07:00,99.2421052631579 A
2017-11-11T00:00:00-07:00,96.89583333333333 A
2017-11-12T00:00:00-07:00,99.43157894736842 A
2017-11-13T00:00:00-07:00,97.37894736842105 A
2017-11-14T00:00:00-07:00,91.04166666666667 A
2017-11-15T00:00:00-07:00,90.77083333333333 A
2017-11-16T00:00:00-07:00,122.67708333333333 A
2017-11-17T00:00:00-07:00,104.05263157894737 A
2017-11-18T00:00:00-07:00,106.14583333333333 A
2017-11-19T00:00:00-07:00,107.67708333333333 A
2017-11-20T00:00:00-07:00,107.27083333333333 A
2017-11-21T00:00:00-07:00,113.08333333333333 A
2017-11-22T00:00:00-07:00,110.8125 A
2017-11-23T00:00:00-07:00,93.82291666666667 A
2017-11-24T00:00:00-07:00,100.22340425531915 A
2017-11-25T00:00:00-07:00,93.71875 A
2017-11-26T00:00:00-07:00,100.90625 A
2017-11-27T00:00:00-07:00,117.63541666666667 A
2017-11-28T00:00:00-07:00,97.22916666666667 A
2017-11-29T00:00:00-07:00,97.91578947368421 A
2017-11-30T00:00:00-07:00,95 A
2017-12-01T00:00:00-07:00,95.67708333333333 A
2017-12-02T00:00:00-07:00,95.03125 A
2017-12-03T00:00:00-07:00,92.34375 A
2017-12-04T00:00:00-07:00,88.45263157894736 A
2017-12-05T00:00:00-07:00,91.15625 A
2017-12-06T00:00:00-07:00,92.66666666666667 A
2017-12-07T00:00:00-07:00,93.11458333333333 A
2017-12-08T00:00:00-07:00,93.02083333333333 A
2017-12-09T00:00:00-07:00,92.01041666666667 A
2017-12-10T00:00:00-07:00,91.52083333333333 A
2017-12-11T00:00:00-07:00,94.48958333333333 A
2017-12-12T00:00:00-07:00,98.41666666666667 A
2017-12-13T00:00:00-07:00,96.21875 A
2017-12-14T00:00:00-07:00,90.58333333333333 A
2017-12-15T00:00:00-07:00,91.30208333333333 A
2017-12-16T00:00:00-07:00,87.47916666666667 A
2017-12-17T00:00:00-07:00,87.70833333333333 A
2017-12-18T00:00:00-07:00,92.92307692307692 A
2017-12-19T00:00:00-07:00,91.19791666666667 A
2017-12-20T00:00:00-07:00,90.64583333333333 A
2017-12-21T00:00:00-07:00,98.15625 A
2017-12-22T00:00:00-07:00,96.04166666666667 A
2017-12-23T00:00:00-07:00,91.90625 A
2017-12-24T00:00:00-07:00,97.29166666666667 A
2017-12-25T00:00:00-07:00,91.14583333333333 A
2017-12-26T00:00:00-07:00,90.40625 A
2017-12-27T00:00:00-07:00,93.30208333333333 A
2017-12-28T00:00:00-07:00,92.85416666666667 A
2017-12-29T00:00:00-07:00,91 A
2017-12-30T00:00:00-07:00,92.20833333333333 A
2017-12-31T00:00:00-07:00,96.19791666666667 A
