Timestamp,['1eb2a0f8-e614faf8 0074-BUSINESS CLASSROOM BLDG Power Meter (208V) Current A']
2017-06-27T00:00:00-06:00,4.899160295724869 A
2017-06-28T00:00:00-06:00,4.878252173463504 A
2017-06-29T00:00:00-06:00,4.987954260173597 A
2017-06-30T00:00:00-06:00,4.875671769181888 A
2017-07-01T00:00:00-06:00,4.60285913447539 A
2017-07-02T00:00:00-06:00,4.589007993539174 A
2017-07-03T00:00:00-06:00,5.0319735904534655 A
2017-07-04T00:00:00-06:00,4.625838354229927 A
2017-07-05T00:00:00-06:00,5.013803203900655 A
2017-07-06T00:00:00-06:00,5.355497792363167 A
2017-07-07T00:00:00-06:00,5.075018326441447 A
2017-07-08T00:00:00-06:00,4.545853480696678 A
2017-07-09T00:00:00-06:00,4.4669007410605746 A
2017-07-10T00:00:00-06:00,5.485248838861783 A
2017-07-11T00:00:00-06:00,5.6065346002578735 A
2017-07-12T00:00:00-06:00,4.904016390442848 A
2017-07-13T00:00:00-06:00,5.612252280116081 A
2017-07-14T00:00:00-06:00,5.5807468096415205 A
2017-07-15T00:00:00-06:00,4.789253448446591 A
2017-07-16T00:00:00-06:00,4.785931517680486 A
2017-07-17T00:00:00-06:00,6.165063460667928 A
2017-07-18T00:00:00-06:00,6.243229786554973 A
2017-07-19T00:00:00-06:00,5.329613516728084 A
2017-07-20T00:00:00-06:00,5.732419898112615 A
2017-07-21T00:00:00-06:00,5.800149048368136 A
2017-07-22T00:00:00-06:00,4.9803486764431 A
2017-07-23T00:00:00-06:00,4.979156667987506 A
2017-07-24T00:00:00-06:00,5.018515934546788 A
2017-07-25T00:00:00-06:00,5.77811498939991 A
2017-07-26T00:00:00-06:00,5.2053394714991255 A
2017-07-27T00:00:00-06:00,5.390340507030487 A
2017-07-28T00:00:00-06:00,5.323888023694356 A
2017-07-29T00:00:00-06:00,4.540660843253136 A
2017-07-30T00:00:00-06:00,4.540578315655391 A
2017-07-31T00:00:00-06:00,4.893357425928116 A
2017-08-01T00:00:00-06:00,5.530196577310562 A
2017-08-02T00:00:00-06:00,5.160621821880341 A
2017-08-03T00:00:00-06:00,5.378155380487442 A
2017-08-04T00:00:00-06:00,5.084408230833954 A
2017-08-05T00:00:00-06:00,4.307099839051564 A
2017-08-06T00:00:00-06:00,4.304635981718699 A
2017-08-07T00:00:00-06:00,4.860133136312167 A
2017-08-08T00:00:00-06:00,5.274903530875842 A
2017-08-09T00:00:00-06:00,5.30421049396197 A
2017-08-10T00:00:00-06:00,5.487409850384327 A
2017-08-11T00:00:00-06:00,5.120236312349637 A
2017-08-12T00:00:00-06:00,4.329606046279271 A
2017-08-13T00:00:00-06:00,4.312787778753983 A
2017-08-14T00:00:00-06:00,5.434219221274058 A
2017-08-15T00:00:00-06:00,5.610662693778674 A
2017-08-16T00:00:00-06:00,5.374906758467357 A
2017-08-17T00:00:00-06:00,5.323425441980362 A
2017-08-18T00:00:00-06:00,5.417340119679769 A
2017-08-19T00:00:00-06:00,4.508898069461186 A
2017-08-20T00:00:00-06:00,4.506750772396724 A
2017-08-21T00:00:00-06:00,5.569028452038765 A
2017-08-22T00:00:00-06:00,5.646832490960757 A
2017-08-23T00:00:00-06:00,5.644699906309445 A
2017-08-24T00:00:00-06:00,5.4315195480982466 A
2017-08-25T00:00:00-06:00,5.032423774401347 A
2017-08-26T00:00:00-06:00,4.153541187445323 A
2017-08-27T00:00:00-06:00,4.162357742587726 A
2017-08-28T00:00:00-06:00,5.15573327772079 A
2017-08-29T00:00:00-06:00,5.294190750327162 A
2017-08-30T00:00:00-06:00,5.163964167237282 A
2017-08-31T00:00:00-06:00,5.052975311875343 A
2017-09-01T00:00:00-06:00,5.063562611738841 A
2017-09-02T00:00:00-06:00,4.441317031780879 A
2017-09-03T00:00:00-06:00,4.43756675218281 A
2017-09-04T00:00:00-06:00,4.442406982183456 A
2017-09-05T00:00:00-06:00,5.350927193959554 A
2017-09-06T00:00:00-06:00,5.4597810208797455 A
2017-09-07T00:00:00-06:00,5.7455020646254225 A
2017-09-08T00:00:00-06:00,5.550531688489412 A
2017-09-09T00:00:00-06:00,4.488990897933642 A
2017-09-10T00:00:00-06:00,4.376441990335782 A
2017-09-11T00:00:00-06:00,5.6841898163159685 A
2017-09-12T00:00:00-06:00,5.51739302277565 A
2017-09-13T00:00:00-06:00,5.506705805659294 A
2017-09-14T00:00:00-06:00,5.585687746604283 A
2017-09-15T00:00:00-06:00,4.839719509085019 A
2017-09-16T00:00:00-06:00,4.68851471443971 A
2017-09-17T00:00:00-06:00,4.687159687280655 A
2017-09-18T00:00:00-06:00,5.776381293932597 A
2017-09-19T00:00:00-06:00,5.705087085564931 A
2017-09-20T00:00:00-06:00,5.620689411958058 A
2017-09-21T00:00:00-06:00,5.861395130554835 A
2017-09-22T00:00:00-06:00,5.5170752455790835 A
2017-09-23T00:00:00-06:00,4.526112511754036 A
2017-09-24T00:00:00-06:00,4.426785558462143 A
2017-09-25T00:00:00-06:00,4.857106705506642 A
2017-09-26T00:00:00-06:00,4.788236041863759 A
2017-09-27T00:00:00-06:00,4.962139000495275 A
2017-09-28T00:00:00-06:00,5.013294811050097 A
2017-09-29T00:00:00-06:00,5.575058827797572 A
2017-09-30T00:00:00-06:00,4.627712835868199 A
2017-10-01T00:00:00-06:00,4.623948698242505 A
2017-10-02T00:00:00-06:00,5.5624232937892275 A
2017-10-03T00:00:00-06:00,6.1364454080661135 A
2017-10-04T00:00:00-06:00,6.253361125787099 A
2017-10-05T00:00:00-06:00,6.226618786652883 A
2017-10-06T00:00:00-06:00,6.0288519256993345 A
2017-10-07T00:00:00-06:00,4.830856546759605 A
2017-10-08T00:00:00-06:00,4.858603646357854 A
2017-10-09T00:00:00-06:00,6.285068144400914 A
2017-10-10T00:00:00-06:00,6.1294195502996445 A
2017-10-11T00:00:00-06:00,6.190122897426288 A
2017-10-12T00:00:00-06:00,6.006094257036845 A
2017-10-13T00:00:00-06:00,5.606864472230275 A
2017-10-14T00:00:00-06:00,4.798930883407593 A
2017-10-15T00:00:00-06:00,4.8240219205617905 A
2017-10-16T00:00:00-06:00,6.327121848861377 A
2017-10-17T00:00:00-06:00,6.151107465227445 A
2017-10-18T00:00:00-06:00,6.427043070395787 A
2017-10-19T00:00:00-06:00,6.5658043672641115 A
2017-10-20T00:00:00-06:00,6.42322859664758 A
2017-10-21T00:00:00-06:00,4.931678359707196 A
2017-10-22T00:00:00-06:00,4.891715327898662 A
2017-10-23T00:00:00-06:00,7.109309469660123 A
2017-10-24T00:00:00-06:00,7.027161543567975 A
2017-10-25T00:00:00-06:00,7.038409968217214 A
2017-10-26T00:00:00-06:00,7.0808032502730684 A
2017-10-27T00:00:00-06:00,6.536110897858937 A
2017-10-28T00:00:00-06:00,5.276093820730845 A
2017-10-29T00:00:00-06:00,5.238017449776332 A
2017-10-30T00:00:00-06:00,6.738561540842056 A
2017-10-31T00:00:00-06:00,7.204104483127594 A
2017-11-01T00:00:00-06:00,7.587136829892795 A
2017-11-02T00:00:00-06:00,7.369244645039241 A
2017-11-03T00:00:00-06:00,6.829772238930066 A
2017-11-04T00:00:00-06:00,5.451115215818088 A
2017-11-05T00:00:00-06:00,5.454339046478271 A
2017-11-06T00:00:00-07:00,7.669809997081757 A
2017-11-07T00:00:00-07:00,7.341213092207909 A
2017-11-08T00:00:00-07:00,7.510278175274531 A
2017-11-09T00:00:00-07:00,7.1294751564661665 A
2017-11-10T00:00:00-07:00,6.814125493168831 A
2017-11-11T00:00:00-07:00,5.273125186562538 A
2017-11-12T00:00:00-07:00,5.229040836294492 A
2017-11-13T00:00:00-07:00,6.788578078150749 A
2017-11-14T00:00:00-07:00,7.475573698679606 A
2017-11-15T00:00:00-07:00,7.254171773791313 A
2017-11-16T00:00:00-07:00,7.424285625418027 A
2017-11-17T00:00:00-07:00,8.191291118661562 A
2017-11-18T00:00:00-07:00,5.909733980894089 A
2017-11-19T00:00:00-07:00,5.793491800626119 A
2017-11-20T00:00:00-07:00,9.028716082374254 A
2017-11-21T00:00:00-07:00,8.961605524023375 A
2017-11-22T00:00:00-07:00,7.548838123679161 A
2017-11-23T00:00:00-07:00,5.549940417210261 A
2017-11-24T00:00:00-07:00,5.551968132456143 A
2017-11-25T00:00:00-07:00,5.549583782752355 A
2017-11-26T00:00:00-07:00,5.564498205979665 A
2017-11-27T00:00:00-07:00,8.446262846390406 A
2017-11-28T00:00:00-07:00,8.595032831033071 A
2017-11-29T00:00:00-07:00,9.276078263918558 A
2017-11-30T00:00:00-07:00,8.438179612159729 A
2017-12-01T00:00:00-07:00,7.8638749619325 A
2017-12-02T00:00:00-07:00,5.556850299239159 A
2017-12-03T00:00:00-07:00,5.55560623606046 A
2017-12-04T00:00:00-07:00,9.904378960529963 A
2017-12-05T00:00:00-07:00,9.973450918992361 A
2017-12-06T00:00:00-07:00,8.76056313018004 A
2017-12-07T00:00:00-07:00,8.463328644633293 A
2017-12-08T00:00:00-07:00,7.521496916810672 A
2017-12-09T00:00:00-07:00,5.071268861492475 A
2017-12-10T00:00:00-07:00,5.047288487354915 A
2017-12-11T00:00:00-07:00,8.280718694130579 A
2017-12-12T00:00:00-07:00,7.087903559207916 A
2017-12-13T00:00:00-07:00,8.182411869366964 A
2017-12-14T00:00:00-07:00,7.2652834157149 A
2017-12-15T00:00:00-07:00,7.11587829887867 A
2017-12-16T00:00:00-07:00,5.739465698599815 A
2017-12-17T00:00:00-07:00,4.669598703583081 A
2017-12-18T00:00:00-07:00,7.317961057027181 A
2017-12-19T00:00:00-07:00,6.397137477993965 A
2017-12-20T00:00:00-07:00,6.833323235313098 A
2017-12-21T00:00:00-07:00,7.988286927342415 A
2017-12-22T00:00:00-07:00,5.190156996250153 A
2017-12-23T00:00:00-07:00,4.971193333466847 A
2017-12-24T00:00:00-07:00,4.877866600950559 A
2017-12-25T00:00:00-07:00,4.832870091001193 A
2017-12-26T00:00:00-07:00,4.825910737117131 A
2017-12-27T00:00:00-07:00,5.690729131301244 A
2017-12-28T00:00:00-07:00,5.508766517043114 A
2017-12-29T00:00:00-07:00,4.831430981556575 A
2017-12-30T00:00:00-07:00,4.8341513474782305 A
2017-12-31T00:00:00-07:00,4.854271436731021 A
