Timestamp,['1cc971e5-cf18bf55 0051-STERLING SILL CNTR Power Meter Current A']
2017-09-22T00:00:00-06:00,61.307291666666664 A
2017-09-23T00:00:00-06:00,56.19166680177053 A
2017-09-24T00:00:00-06:00,55.43958326180776 A
2017-09-25T00:00:00-06:00,67.40833342075348 A
2017-09-26T00:00:00-06:00,65.49166655540466 A
2017-09-27T00:00:00-06:00,65.07395843664806 A
2017-09-28T00:00:00-06:00,68.90104178587596 A
2017-09-29T00:00:00-06:00,65.10833315054576 A
2017-09-30T00:00:00-06:00,55.50520853201548 A
2017-10-01T00:00:00-06:00,54.70104173819224 A
2017-10-02T00:00:00-06:00,62.998958150545754 A
2017-10-03T00:00:00-06:00,67.16041668256123 A
2017-10-04T00:00:00-06:00,69.0791666507721 A
2017-10-05T00:00:00-06:00,62.89791659514109 A
2017-10-06T00:00:00-06:00,60.349999944368996 A
2017-10-07T00:00:00-06:00,56.665625055631004 A
2017-10-08T00:00:00-06:00,54.12395842870077 A
2017-10-09T00:00:00-06:00,63.24791657924652 A
2017-10-10T00:00:00-06:00,65.34374984105428 A
2017-10-11T00:00:00-06:00,66.63750012715657 A
2017-10-12T00:00:00-06:00,65.66562501589458 A
2017-10-13T00:00:00-06:00,62.21354182561239 A
2017-10-14T00:00:00-06:00,58.77291655540466 A
2017-10-15T00:00:00-06:00,59.52500001589457 A
2017-10-16T00:00:00-06:00,65.34375003973643 A
2017-10-17T00:00:00-06:00,63.759375055631004 A
2017-10-18T00:00:00-06:00,63.541666785875954 A
2017-10-19T00:00:00-06:00,63.80624973773956 A
2017-10-20T00:00:00-06:00,62.86041673024496 A
2017-10-21T00:00:00-06:00,55.743750055631004 A
2017-10-22T00:00:00-06:00,59.432291785875954 A
2017-10-23T00:00:00-06:00,67.90729176998138 A
2017-10-24T00:00:00-06:00,66.56666692097981 A
2017-10-25T00:00:00-06:00,69.89895844459534 A
2017-10-26T00:00:00-06:00,69.4052083492279 A
2017-10-27T00:00:00-06:00,64.58437442779541 A
2017-10-28T00:00:00-06:00,57.32291658719381 A
2017-10-29T00:00:00-06:00,57.771874944368996 A
2017-10-30T00:00:00-06:00,65.92083319028218 A
2017-10-31T00:00:00-06:00,57.793750286102295 A
2017-11-01T00:00:00-06:00,58.21354134877523 A
2017-11-02T00:00:00-06:00,56.56145819028219 A
2017-11-03T00:00:00-06:00,53.84479151169459 A
2017-11-04T00:00:00-06:00,32.37812485297521 A
2017-11-05T00:00:00-06:00,32.20099981307983 A
2017-11-06T00:00:00-07:00,52.44791700442632 A
2017-11-07T00:00:00-07:00,54.06145856777827 A
2017-11-08T00:00:00-07:00,56.831249833106995 A
2017-11-09T00:00:00-07:00,55.27500013510386 A
2017-11-10T00:00:00-07:00,53.69583328564962 A
2017-11-11T00:00:00-07:00,30.966666718324024 A
2017-11-12T00:00:00-07:00,30.79270824790001 A
2017-11-13T00:00:00-07:00,55.00833370288213 A
2017-11-14T00:00:00-07:00,54.37604155143102 A
2017-11-15T00:00:00-07:00,56.90520838896433 A
2017-11-16T00:00:00-07:00,58.85624965031942 A
2017-11-17T00:00:00-07:00,53.16770843664805 A
2017-11-18T00:00:00-07:00,37.004166742165886 A
2017-11-19T00:00:00-07:00,38.46145828564962 A
2017-11-20T00:00:00-07:00,51.76041662693024 A
2017-11-21T00:00:00-07:00,54.61145840088526 A
2017-11-22T00:00:00-07:00,49.211458007494606 A
2017-11-23T00:00:00-07:00,38.943749845027924 A
2017-11-24T00:00:00-07:00,39.01666655143102 A
2017-11-25T00:00:00-07:00,30.471874872843426 A
2017-11-26T00:00:00-07:00,30.754166583220165 A
2017-11-27T00:00:00-07:00,52.55312500397364 A
2017-11-28T00:00:00-07:00,50.92083319028219 A
2017-11-29T00:00:00-07:00,50.254166642824806 A
2017-11-30T00:00:00-07:00,51.27916657924652 A
2017-12-01T00:00:00-07:00,45.25208328167597 A
2017-12-02T00:00:00-07:00,29.04375006755193 A
2017-12-03T00:00:00-07:00,30.409374972184498 A
2017-12-04T00:00:00-07:00,52.3218749165535 A
2017-12-05T00:00:00-07:00,52.31979179382324 A
2017-12-06T00:00:00-07:00,50.40520826975504 A
2017-12-07T00:00:00-07:00,51.086458345254265 A
2017-12-08T00:00:00-07:00,46.89375009139379 A
2017-12-09T00:00:00-07:00,29.5427082379659 A
2017-12-10T00:00:00-07:00,30.438541730244953 A
2017-12-11T00:00:00-07:00,49.277083377043404 A
2017-12-12T00:00:00-07:00,55.69687511523565 A
2017-12-13T00:00:00-07:00,49.93437500794729 A
2017-12-14T00:00:00-07:00,51.616666654745735 A
2017-12-15T00:00:00-07:00,47.01874987284342 A
2017-12-16T00:00:00-07:00,28.989583412806194 A
2017-12-17T00:00:00-07:00,28.62708342075348 A
2017-12-18T00:00:00-07:00,52.551612771967406 A
2017-12-19T00:00:00-07:00,45.27187478542328 A
2017-12-20T00:00:00-07:00,48.129166762034096 A
2017-12-21T00:00:00-07:00,49.289583365122475 A
2017-12-22T00:00:00-07:00,43.010416785875954 A
2017-12-23T00:00:00-07:00,28.912499924500782 A
2017-12-24T00:00:00-07:00,38.333333571751915 A
2017-12-25T00:00:00-07:00,38.505208571751915 A
2017-12-26T00:00:00-07:00,36.34375019868215 A
2017-12-27T00:00:00-07:00,41.976041773955025 A
2017-12-28T00:00:00-07:00,45.543749968210854 A
2017-12-29T00:00:00-07:00,38.875000059604645 A
2017-12-30T00:00:00-07:00,29.504166543483734 A
2017-12-31T00:00:00-07:00,28.18541669845581 A
