Timestamp,['1cac6e4c-0002e86a 0011-BROWNING BLDG Power Meter 311945 KW Total']
2017-06-01T00:00:00-06:00,70.83756256103516 kW
2017-06-02T00:00:00-06:00,102.05265808105469 kW
2017-06-03T00:00:00-06:00,89.99234008789062 kW
2017-06-04T00:00:00-06:00,52.60094451904297 kW
2017-06-05T00:00:00-06:00,71.8271484375 kW
2017-06-06T00:00:00-06:00,67.09432220458984 kW
2017-06-07T00:00:00-06:00,85.52984619140625 kW
2017-06-08T00:00:00-06:00,71.76046752929688 kW
2017-06-09T00:00:00-06:00,73.99457550048828 kW
2017-06-10T00:00:00-06:00,92.97937774658203 kW
2017-06-11T00:00:00-06:00,95.19097900390625 kW
2017-06-12T00:00:00-06:00,78.66140747070312 kW
2017-06-13T00:00:00-06:00,73.65129089355469 kW
2017-06-14T00:00:00-06:00,114.02019500732422 kW
2017-06-15T00:00:00-06:00,104.40019989013672 kW
2017-06-16T00:00:00-06:00,94.89440155029297 kW
2017-06-17T00:00:00-06:00,59.99637985229492 kW
2017-06-18T00:00:00-06:00,58.05690383911133 kW
2017-06-19T00:00:00-06:00,74.26348114013672 kW
2017-06-20T00:00:00-06:00,73.86529541015625 kW
2017-06-21T00:00:00-06:00,69.00139617919922 kW
2017-06-22T00:00:00-06:00,69.29765319824219 kW
2017-06-23T00:00:00-06:00,109.5718765258789 kW
2017-06-24T00:00:00-06:00,60.076053619384766 kW
2017-06-25T00:00:00-06:00,56.6281623840332 kW
2017-06-26T00:00:00-06:00,108.1216049194336 kW
2017-06-27T00:00:00-06:00,81.68367004394531 kW
2017-06-28T00:00:00-06:00,85.16403198242188 kW
2017-06-29T00:00:00-06:00,73.58367156982422 kW
2017-06-30T00:00:00-06:00,76.55364227294922 kW
2017-07-01T00:00:00-06:00,57.900455474853516 kW
2017-07-02T00:00:00-06:00,52.464420318603516 kW
2017-07-03T00:00:00-06:00,68.76900482177734 kW
2017-07-04T00:00:00-06:00,58.034183502197266 kW
2017-07-05T00:00:00-06:00,67.37747955322266 kW
2017-07-06T00:00:00-06:00,121.82300567626953 kW
2017-07-07T00:00:00-06:00,71.47848510742188 kW
2017-07-08T00:00:00-06:00,61.99273681640625 kW
2017-07-09T00:00:00-06:00,56.3842887878418 kW
2017-07-10T00:00:00-06:00,85.3275146484375 kW
2017-07-11T00:00:00-06:00,73.91166687011719 kW
2017-07-12T00:00:00-06:00,77.82331848144531 kW
2017-07-13T00:00:00-06:00,71.9709243774414 kW
2017-07-14T00:00:00-06:00,82.57462310791016 kW
2017-07-15T00:00:00-06:00,57.140655517578125 kW
2017-07-16T00:00:00-06:00,54.270362854003906 kW
2017-07-17T00:00:00-06:00,75.24066162109375 kW
2017-07-18T00:00:00-06:00,69.61618041992188 kW
2017-07-19T00:00:00-06:00,90.64641571044922 kW
2017-07-20T00:00:00-06:00,100.40898132324219 kW
2017-07-21T00:00:00-06:00,103.9092025756836 kW
2017-07-22T00:00:00-06:00,63.1536750793457 kW
2017-07-23T00:00:00-06:00,53.60829162597656 kW
2017-07-24T00:00:00-06:00,55.84987258911133 kW
2017-07-25T00:00:00-06:00,94.3285903930664 kW
2017-07-26T00:00:00-06:00,72.5826416015625 kW
2017-07-27T00:00:00-06:00,72.2800064086914 kW
2017-07-28T00:00:00-06:00,71.94087219238281 kW
2017-07-29T00:00:00-06:00,53.5777587890625 kW
2017-07-30T00:00:00-06:00,52.34825134277344 kW
2017-07-31T00:00:00-06:00,72.85955047607422 kW
2017-08-01T00:00:00-06:00,104.01313018798828 kW
2017-08-02T00:00:00-06:00,89.87904357910156 kW
2017-08-03T00:00:00-06:00,107.07463073730469 kW
2017-08-04T00:00:00-06:00,108.62183380126953 kW
2017-08-05T00:00:00-06:00,62.959808349609375 kW
2017-08-06T00:00:00-06:00,57.520511627197266 kW
2017-08-07T00:00:00-06:00,123.67652130126953 kW
2017-08-08T00:00:00-06:00,109.91766357421875 kW
2017-08-09T00:00:00-06:00,72.5207748413086 kW
2017-08-10T00:00:00-06:00,100.73738098144531 kW
2017-08-11T00:00:00-06:00,90.76325225830078 kW
2017-08-12T00:00:00-06:00,59.07020568847656 kW
2017-08-13T00:00:00-06:00,53.89143753051758 kW
2017-08-14T00:00:00-06:00,137.7769012451172 kW
2017-08-15T00:00:00-06:00,81.4085464477539 kW
2017-08-16T00:00:00-06:00,77.26209259033203 kW
2017-08-17T00:00:00-06:00,100.33980560302734 kW
2017-08-18T00:00:00-06:00,77.95735168457031 kW
2017-08-19T00:00:00-06:00,58.27511978149414 kW
2017-08-20T00:00:00-06:00,57.54489517211914 kW
2017-08-21T00:00:00-06:00,72.30136108398438 kW
2017-08-22T00:00:00-06:00,90.90032196044922 kW
2017-08-23T00:00:00-06:00,104.22532653808594 kW
2017-08-24T00:00:00-06:00,116.1937484741211 kW
