Timestamp,['1da98333-ebc83065 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Volts A-N']
2017-09-13T00:00:00-06:00,282.8608496983846 V
2017-09-14T00:00:00-06:00,282.99817148844403 V
2017-09-15T00:00:00-06:00,283.1194264094035 V
2017-09-16T00:00:00-06:00,282.8598330815633 V
2017-09-17T00:00:00-06:00,282.6603406270345 V
2017-09-18T00:00:00-06:00,283.2848650614421 V
2017-09-19T00:00:00-06:00,283.0311279296875 V
2017-09-20T00:00:00-06:00,283.1948709487915 V
2017-09-21T00:00:00-06:00,283.40831184387207 V
2017-09-22T00:00:00-06:00,283.2079668045044 V
2017-09-23T00:00:00-06:00,283.30285835266113 V
2017-09-24T00:00:00-06:00,283.01738198598224 V
2017-09-25T00:00:00-06:00,283.5840637207031 V
2017-09-26T00:00:00-06:00,283.29373772939044 V
2017-09-27T00:00:00-06:00,283.3676300048828 V
2017-09-28T00:00:00-06:00,282.88092009226483 V
2017-09-29T00:00:00-06:00,283.06286493937176 V
2017-09-30T00:00:00-06:00,283.30341084798175 V
2017-10-01T00:00:00-06:00,282.9750986099243 V
2017-10-02T00:00:00-06:00,283.24285284678143 V
2017-10-03T00:00:00-06:00,283.5004088083903 V
2017-10-04T00:00:00-06:00,283.2262315750122 V
2017-10-05T00:00:00-06:00,283.55153369903564 V
2017-10-06T00:00:00-06:00,283.34403165181476 V
2017-10-07T00:00:00-06:00,282.4839366277059 V
2017-10-08T00:00:00-06:00,283.1793975830078 V
2017-10-09T00:00:00-06:00,283.09844557444256 V
2017-10-10T00:00:00-06:00,283.48444181743423 V
2017-10-11T00:00:00-06:00,283.00421335320726 V
2017-10-12T00:00:00-06:00,283.55492846171063 V
2017-10-13T00:00:00-06:00,283.46542743883634 V
2017-10-14T00:00:00-06:00,283.31828848520917 V
2017-10-15T00:00:00-06:00,283.227655728658 V
2017-10-16T00:00:00-06:00,283.4681339263916 V
2017-10-17T00:00:00-06:00,283.32837677001953 V
2017-10-18T00:00:00-06:00,283.15966033935547 V
2017-10-19T00:00:00-06:00,283.33914279937744 V
2017-10-20T00:00:00-06:00,283.24166138966876 V
2017-10-21T00:00:00-06:00,282.3702685038249 V
2017-10-22T00:00:00-06:00,283.3560053507487 V
2017-10-23T00:00:00-06:00,283.1343158086141 V
2017-10-24T00:00:00-06:00,283.2150920232137 V
2017-10-25T00:00:00-06:00,283.0538132985433 V
2017-10-26T00:00:00-06:00,283.45672607421875 V
2017-10-27T00:00:00-06:00,283.4706281026204 V
2017-10-28T00:00:00-06:00,282.95269362131756 V
2017-10-29T00:00:00-06:00,283.3157014846802 V
2017-10-30T00:00:00-06:00,283.5154037475586 V
2017-10-31T00:00:00-06:00,283.39288870493573 V
2017-11-01T00:00:00-06:00,283.33042367299396 V
2017-11-02T00:00:00-06:00,283.2413574854533 V
2017-11-03T00:00:00-06:00,282.4344301941574 V
2017-11-04T00:00:00-06:00,283.0817133585612 V
2017-11-05T00:00:00-06:00,282.991728515625 V
2017-11-06T00:00:00-07:00,283.01952739514803 V
2017-11-07T00:00:00-07:00,283.21182153580037 V
2017-11-08T00:00:00-07:00,282.9126077205577 V
2017-11-09T00:00:00-07:00,283.096879641215 V
2017-11-10T00:00:00-07:00,283.0050818125407 V
2017-11-11T00:00:00-07:00,282.07255776723224 V
2017-11-12T00:00:00-07:00,283.14930121103924 V
2017-11-13T00:00:00-07:00,283.2780513763428 V
2017-11-14T00:00:00-07:00,283.8881416320801 V
2017-11-15T00:00:00-07:00,283.40889263153076 V
2017-11-16T00:00:00-07:00,283.2253195444743 V
2017-11-17T00:00:00-07:00,282.9718672434489 V
2017-11-18T00:00:00-07:00,283.3891948064168 V
2017-11-19T00:00:00-07:00,283.5169397989909 V
