Timestamp,['1ee9af93-fc2b042a 0053-OLPIN UNION Power Meter (53-1) Current A']
2017-06-22T00:00:00-06:00,108.32432027657826 A
2017-06-23T00:00:00-06:00,106.0774617989858 A
2017-06-24T00:00:00-06:00,100.62478272120158 A
2017-06-25T00:00:00-06:00,95.94064056873322 A
2017-06-26T00:00:00-06:00,106.8155955473582 A
2017-06-27T00:00:00-06:00,108.97055490811665 A
2017-06-28T00:00:00-06:00,107.51227005322774 A
2017-06-29T00:00:00-06:00,103.19994024212441 A
2017-06-30T00:00:00-06:00,100.63273933134883 A
2017-07-01T00:00:00-06:00,98.25493590037028 A
2017-07-02T00:00:00-06:00,96.97185965379079 A
2017-07-03T00:00:00-06:00,106.55568997065227 A
2017-07-04T00:00:00-06:00,100.43568642934163 A
2017-07-05T00:00:00-06:00,101.42810677790987 A
2017-07-06T00:00:00-06:00,112.28395251433055 A
2017-07-07T00:00:00-06:00,103.51397082384895 A
2017-07-08T00:00:00-06:00,107.19977557659149 A
2017-07-09T00:00:00-06:00,102.33056950569153 A
2017-07-10T00:00:00-06:00,108.71841031242819 A
2017-07-11T00:00:00-06:00,112.63146742184956 A
2017-07-12T00:00:00-06:00,110.91713440418243 A
2017-07-13T00:00:00-06:00,112.25625749429067 A
2017-07-14T00:00:00-06:00,110.78465000788371 A
2017-07-15T00:00:00-06:00,106.40387121836345 A
2017-07-16T00:00:00-06:00,102.00493184725444 A
2017-07-17T00:00:00-06:00,112.31110052267711 A
2017-07-18T00:00:00-06:00,113.14703126748402 A
2017-07-19T00:00:00-06:00,114.21254976590474 A
2017-07-20T00:00:00-06:00,111.61880997816722 A
2017-07-21T00:00:00-06:00,112.05694234371185 A
2017-07-22T00:00:00-06:00,101.80415972073872 A
2017-07-23T00:00:00-06:00,100.14125363032024 A
2017-07-24T00:00:00-06:00,101.61029342810313 A
2017-07-25T00:00:00-06:00,110.76387763023376 A
2017-07-26T00:00:00-06:00,110.20272461573283 A
2017-07-27T00:00:00-06:00,108.93481922149658 A
2017-07-28T00:00:00-06:00,109.46751483281453 A
2017-07-29T00:00:00-06:00,106.37396577994029 A
2017-07-30T00:00:00-06:00,102.51847283045451 A
2017-07-31T00:00:00-06:00,111.27056960264842 A
2017-08-01T00:00:00-06:00,112.09213415781657 A
2017-08-02T00:00:00-06:00,111.39442853132884 A
2017-08-03T00:00:00-06:00,111.85545070966084 A
2017-08-04T00:00:00-06:00,109.54252570016044 A
2017-08-05T00:00:00-06:00,102.66964022318523 A
2017-08-06T00:00:00-06:00,99.91241526603699 A
2017-08-07T00:00:00-06:00,101.36402213573456 A
2017-08-08T00:00:00-06:00,102.14108192920685 A
2017-08-09T00:00:00-06:00,101.62794542312622 A
2017-08-10T00:00:00-06:00,105.9547230334992 A
2017-08-11T00:00:00-06:00,103.73475992679596 A
2017-08-12T00:00:00-06:00,99.86133507887523 A
2017-08-13T00:00:00-06:00,97.86478014787038 A
2017-08-14T00:00:00-06:00,103.47627639770508 A
2017-08-15T00:00:00-06:00,102.23444672425587 A
2017-08-16T00:00:00-06:00,100.76371697584788 A
2017-08-17T00:00:00-06:00,106.0054612159729 A
2017-08-18T00:00:00-06:00,106.41179470221202 A
2017-08-19T00:00:00-06:00,100.550967892011 A
2017-08-20T00:00:00-06:00,98.6758307615916 A
2017-08-21T00:00:00-06:00,106.50539517402649 A
2017-08-22T00:00:00-06:00,106.98890455563863 A
2017-08-23T00:00:00-06:00,107.87974711259206 A
2017-08-24T00:00:00-06:00,104.08217000961304 A
2017-08-25T00:00:00-06:00,110.34276966253917 A
2017-08-26T00:00:00-06:00,103.67217739423116 A
2017-08-27T00:00:00-06:00,101.01314969857533 A
2017-08-28T00:00:00-06:00,112.62880530408634 A
