Timestamp,['1fa2474c-872f79df 0002-VOICE & OPERA CNTR Power Meter (301411) Current C']
2017-09-21T00:00:00-06:00,6.166183547427257 A
2017-09-22T00:00:00-06:00,8.276290502399206 A
2017-09-23T00:00:00-06:00,2.1984983136256537 A
2017-09-24T00:00:00-06:00,2.1920659380654492 A
2017-09-25T00:00:00-06:00,9.923840399831533 A
2017-09-26T00:00:00-06:00,11.705258682370186 A
2017-09-27T00:00:00-06:00,8.407038932045301 A
2017-09-28T00:00:00-06:00,6.012150306254625 A
2017-09-29T00:00:00-06:00,9.853485637654861 A
2017-09-30T00:00:00-06:00,3.0351023698846498 A
2017-10-01T00:00:00-06:00,2.9736215248703957 A
2017-10-02T00:00:00-06:00,11.784833282232285 A
2017-10-03T00:00:00-06:00,12.666301464041075 A
2017-10-04T00:00:00-06:00,9.979299773772558 A
2017-10-05T00:00:00-06:00,6.236778431882461 A
2017-10-06T00:00:00-06:00,6.481046912570794 A
2017-10-07T00:00:00-06:00,2.105684166153272 A
2017-10-08T00:00:00-06:00,2.0940919344623885 A
2017-10-09T00:00:00-06:00,5.894473156581323 A
2017-10-10T00:00:00-06:00,5.973579944421847 A
2017-10-11T00:00:00-06:00,5.9089645358423395 A
2017-10-12T00:00:00-06:00,5.810611137499412 A
2017-10-13T00:00:00-06:00,6.726508201410373 A
2017-10-14T00:00:00-06:00,3.4915878859659037 A
2017-10-15T00:00:00-06:00,3.5142062765856585 A
2017-10-16T00:00:00-06:00,10.848566710948944 A
2017-10-17T00:00:00-06:00,10.691575882335504 A
2017-10-18T00:00:00-06:00,9.398606579750776 A
2017-10-19T00:00:00-06:00,5.912601454804341 A
2017-10-20T00:00:00-06:00,7.238147102296352 A
2017-10-21T00:00:00-06:00,2.241281758993864 A
2017-10-22T00:00:00-06:00,2.302480101585388 A
2017-10-23T00:00:00-06:00,9.925263388703266 A
2017-10-24T00:00:00-06:00,10.350194569677114 A
2017-10-25T00:00:00-06:00,10.445062362899384 A
2017-10-26T00:00:00-06:00,6.027667454133431 A
2017-10-27T00:00:00-06:00,5.781496824075778 A
2017-10-28T00:00:00-06:00,2.2414473965764046 A
