Timestamp,['1cac6e7d-dd4161be 0011-BROWNING BLDG Power Meter 311945 Current B']
2017-09-04T00:00:00-06:00,125.4040293375651 A
2017-09-05T00:00:00-06:00,148.02656491597494 A
2017-09-06T00:00:00-06:00,153.30560078839764 A
2017-09-07T00:00:00-06:00,165.46652324994406 A
2017-09-08T00:00:00-06:00,147.09452134299895 A
2017-09-09T00:00:00-06:00,126.92760715484619 A
2017-09-10T00:00:00-06:00,120.17916589842902 A
2017-09-11T00:00:00-06:00,153.6259241157108 A
2017-09-12T00:00:00-06:00,149.18712349997625 A
2017-09-13T00:00:00-06:00,148.89584671656291 A
2017-09-14T00:00:00-06:00,143.09078284369573 A
2017-09-15T00:00:00-06:00,146.48834421899585 A
2017-09-16T00:00:00-06:00,125.30878365304736 A
2017-09-17T00:00:00-06:00,117.13288074069553 A
2017-09-18T00:00:00-06:00,140.77305364078944 A
2017-09-19T00:00:00-06:00,147.2772070672777 A
2017-09-20T00:00:00-06:00,145.32653316391838 A
2017-09-21T00:00:00-06:00,159.09436285230848 A
2017-09-22T00:00:00-06:00,145.13222270011903 A
2017-09-23T00:00:00-06:00,127.29621602164374 A
2017-09-24T00:00:00-06:00,117.91634168624878 A
2017-09-25T00:00:00-06:00,156.80392534997728 A
2017-09-26T00:00:00-06:00,160.15761649343702 A
2017-09-27T00:00:00-06:00,150.07235642009312 A
2017-09-28T00:00:00-06:00,161.8757262600793 A
2017-09-29T00:00:00-06:00,150.47955071661207 A
2017-09-30T00:00:00-06:00,125.02706796328226 A
2017-10-01T00:00:00-06:00,123.94336034456889 A
2017-10-02T00:00:00-06:00,152.84437114927505 A
2017-10-03T00:00:00-06:00,154.05056482421028 A
2017-10-04T00:00:00-06:00,151.39042789671157 A
2017-10-05T00:00:00-06:00,155.47508627312973 A
2017-10-06T00:00:00-06:00,142.4328911145528 A
2017-10-07T00:00:00-06:00,122.39400567478604 A
2017-10-08T00:00:00-06:00,117.16080485449896 A
2017-10-09T00:00:00-06:00,136.30060810674968 A
2017-10-10T00:00:00-06:00,140.3015885565016 A
2017-10-11T00:00:00-06:00,141.5704687860277 A
2017-10-12T00:00:00-06:00,145.0068264749315 A
2017-10-13T00:00:00-06:00,142.18328770531548 A
2017-10-14T00:00:00-06:00,131.04843544430202 A
2017-10-15T00:00:00-06:00,119.7263869550493 A
2017-10-16T00:00:00-06:00,132.44560762511358 A
2017-10-17T00:00:00-06:00,138.59003644519382 A
2017-10-18T00:00:00-06:00,138.07294907040065 A
2017-10-19T00:00:00-06:00,134.08034805721707 A
2017-10-20T00:00:00-06:00,130.7893065717485 A
2017-10-21T00:00:00-06:00,120.64765869776407 A
2017-10-22T00:00:00-06:00,117.20795048077902 A
2017-10-23T00:00:00-06:00,141.62234410179985 A
2017-10-24T00:00:00-06:00,149.92004277890055 A
2017-10-25T00:00:00-06:00,153.9172901842329 A
2017-10-26T00:00:00-06:00,171.22744913631016 A
2017-10-27T00:00:00-06:00,163.23246063168799 A
2017-10-28T00:00:00-06:00,133.45057224697536 A
2017-10-29T00:00:00-06:00,124.62066375944349 A
2017-10-30T00:00:00-06:00,166.27069443066915 A
2017-10-31T00:00:00-06:00,147.32068830066257 A
2017-11-01T00:00:00-06:00,148.18930425643921 A
2017-11-02T00:00:00-06:00,139.2078085952335 A
2017-11-03T00:00:00-06:00,146.9847059832679 A
2017-11-04T00:00:00-06:00,122.0850400712755 A
2017-11-05T00:00:00-06:00,119.44297253417969 A
2017-11-06T00:00:00-07:00,138.30696625179715 A
2017-11-07T00:00:00-07:00,151.16118776110662 A
2017-11-08T00:00:00-07:00,142.48774577148097 A
2017-11-09T00:00:00-07:00,139.41170767148336 A
2017-11-10T00:00:00-07:00,134.43646599451702 A
2017-11-11T00:00:00-07:00,119.94422015613979 A
2017-11-12T00:00:00-07:00,119.77721750471326 A
2017-11-13T00:00:00-07:00,134.84117773373922 A
2017-11-14T00:00:00-07:00,144.48060638639663 A
2017-11-15T00:00:00-07:00,140.74421668052673 A
2017-11-16T00:00:00-07:00,148.67918158107335 A
2017-11-17T00:00:00-07:00,143.31782147619458 A
2017-11-18T00:00:00-07:00,118.53040201399061 A
2017-11-19T00:00:00-07:00,113.96495502259997 A
2017-11-20T00:00:00-07:00,138.71792046758864 A
2017-11-21T00:00:00-07:00,164.7689693980747 A
2017-11-22T00:00:00-07:00,132.20250109154952 A
2017-11-23T00:00:00-07:00,123.37985712157355 A
2017-11-24T00:00:00-07:00,126.3468465116289 A
2017-11-25T00:00:00-07:00,132.0120301193661 A
2017-11-26T00:00:00-07:00,125.40436782307096 A
2017-11-27T00:00:00-07:00,157.28300493558248 A
2017-11-28T00:00:00-07:00,153.7636333041721 A
2017-11-29T00:00:00-07:00,143.1383219718933 A
2017-11-30T00:00:00-07:00,135.92592653698392 A
2017-12-01T00:00:00-07:00,131.21634358300102 A
2017-12-02T00:00:00-07:00,120.7338843981425 A
2017-12-03T00:00:00-07:00,125.35120304955376 A
2017-12-04T00:00:00-07:00,144.74297920333015 A
2017-12-05T00:00:00-07:00,150.33078901502822 A
2017-12-06T00:00:00-07:00,153.1202770868937 A
2017-12-07T00:00:00-07:00,146.8697394106123 A
2017-12-08T00:00:00-07:00,139.80708876185946 A
2017-12-09T00:00:00-07:00,126.54292458428277 A
2017-12-10T00:00:00-07:00,119.08459379408094 A
2017-12-11T00:00:00-07:00,131.20561151504518 A
2017-12-12T00:00:00-07:00,132.1076960987515 A
2017-12-13T00:00:00-07:00,130.77996847894457 A
2017-12-14T00:00:00-07:00,135.04426828490364 A
2017-12-15T00:00:00-07:00,129.4298744546282 A
2017-12-16T00:00:00-07:00,116.44076748953925 A
2017-12-17T00:00:00-07:00,112.87421842681037 A
2017-12-18T00:00:00-07:00,135.1486848776681 A
2017-12-19T00:00:00-07:00,132.49970713721382 A
2017-12-20T00:00:00-07:00,128.26313841078016 A
2017-12-21T00:00:00-07:00,127.79034757084317 A
2017-12-22T00:00:00-07:00,123.73639299074809 A
2017-12-23T00:00:00-07:00,114.68886948691474 A
2017-12-24T00:00:00-07:00,112.35994819535149 A
2017-12-25T00:00:00-07:00,113.37803945541381 A
2017-12-26T00:00:00-07:00,116.98764492140876 A
2017-12-27T00:00:00-07:00,126.17902364201016 A
2017-12-28T00:00:00-07:00,122.58257644441393 A
2017-12-29T00:00:00-07:00,115.40766710175409 A
2017-12-30T00:00:00-07:00,112.195868868298 A
2017-12-31T00:00:00-07:00,110.18072452015348 A
