Timestamp,['1daaa92b-7d5a657e 0037-ARCHITECTURE BLDG Power Meter (301159) Volts C-N']
2017-08-16T00:00:00-06:00,122.01014876365662 V
2017-08-17T00:00:00-06:00,122.03717851638794 V
2017-08-18T00:00:00-06:00,122.02545642852783 V
2017-08-19T00:00:00-06:00,121.996413230896 V
2017-08-20T00:00:00-06:00,122.07480303446452 V
2017-08-21T00:00:00-06:00,121.96032969156902 V
2017-08-22T00:00:00-06:00,122.02584441502889 V
2017-08-23T00:00:00-06:00,121.98217145601909 V
2017-08-24T00:00:00-06:00,121.9848867257436 V
2017-08-25T00:00:00-06:00,121.96047059694926 V
2017-08-26T00:00:00-06:00,121.95967634518941 V
2017-08-27T00:00:00-06:00,121.91230773925781 V
2017-08-28T00:00:00-06:00,121.97560687594944 V
2017-08-29T00:00:00-06:00,121.95591246563455 V
2017-08-30T00:00:00-06:00,121.97811762491862 V
2017-08-31T00:00:00-06:00,121.97210256258647 V
2017-09-01T00:00:00-06:00,122.03159189224243 V
2017-09-02T00:00:00-06:00,122.00106747945149 V
2017-09-03T00:00:00-06:00,122.10272240638733 V
2017-09-04T00:00:00-06:00,121.8857565720876 V
2017-09-05T00:00:00-06:00,122.02821739514668 V
2017-09-06T00:00:00-06:00,121.96899541219075 V
2017-09-07T00:00:00-06:00,121.91138021151225 V
2017-09-08T00:00:00-06:00,122.05694358579574 V
2017-09-09T00:00:00-06:00,122.05903355280559 V
2017-09-10T00:00:00-06:00,122.06103014945984 V
2017-09-11T00:00:00-06:00,121.93295017878215 V
2017-09-12T00:00:00-06:00,121.97555669148763 V
2017-09-13T00:00:00-06:00,122.02651294072469 V
2017-09-14T00:00:00-06:00,122.10446588198344 V
2017-09-15T00:00:00-06:00,122.10676455497742 V
2017-09-16T00:00:00-06:00,122.20321329434712 V
2017-09-17T00:00:00-06:00,122.03046091397603 V
2017-09-18T00:00:00-06:00,121.96719312667847 V
2017-09-19T00:00:00-06:00,121.91185172398885 V
2017-09-20T00:00:00-06:00,122.05510568618774 V
2017-09-21T00:00:00-06:00,122.06795461972554 V
2017-09-22T00:00:00-06:00,122.2258022626241 V
2017-09-23T00:00:00-06:00,121.93075331052144 V
2017-09-24T00:00:00-06:00,122.09846417109172 V
2017-09-25T00:00:00-06:00,122.09517081578572 V
2017-09-26T00:00:00-06:00,122.00052976608276 V
2017-09-27T00:00:00-06:00,122.08766277631123 V
2017-09-28T00:00:00-06:00,122.09169912338257 V
2017-09-29T00:00:00-06:00,122.06620438893636 V
2017-09-30T00:00:00-06:00,121.92629329363506 V
2017-10-01T00:00:00-06:00,121.84366981188457 V
2017-10-02T00:00:00-06:00,121.99367348353069 V
2017-10-03T00:00:00-06:00,121.8238612016042 V
2017-10-04T00:00:00-06:00,122.05163677533467 V
