Timestamp,['1cdb9c4b-022f896d 0086-MARRIOTT LIBRARY Power Meter 2 KW Total']
2017-09-24T00:00:00-06:00,344.8268127441406 kW
2017-09-25T00:00:00-06:00,403.2525329589844 kW
2017-09-26T00:00:00-06:00,400.1689453125 kW
2017-09-27T00:00:00-06:00,401.9822692871094 kW
2017-09-28T00:00:00-06:00,402.31683349609375 kW
2017-09-29T00:00:00-06:00,391.1996765136719 kW
2017-09-30T00:00:00-06:00,352.7395935058594 kW
2017-10-01T00:00:00-06:00,349.2096252441406 kW
2017-10-02T00:00:00-06:00,434.35467529296875 kW
2017-10-03T00:00:00-06:00,409.81243896484375 kW
2017-10-04T00:00:00-06:00,408.24639892578125 kW
2017-10-05T00:00:00-06:00,416.9367980957031 kW
2017-10-06T00:00:00-06:00,396.1923522949219 kW
2017-10-07T00:00:00-06:00,355.1463928222656 kW
2017-10-08T00:00:00-06:00,316.0625 kW
2017-10-09T00:00:00-06:00,378.3110046386719 kW
2017-10-10T00:00:00-06:00,386.880615234375 kW
2017-10-11T00:00:00-06:00,376.5008544921875 kW
2017-10-12T00:00:00-06:00,373.76861572265625 kW
2017-10-13T00:00:00-06:00,374.5559997558594 kW
2017-10-14T00:00:00-06:00,332.1342468261719 kW
2017-10-15T00:00:00-06:00,327.0936279296875 kW
2017-10-16T00:00:00-06:00,424.89373779296875 kW
2017-10-17T00:00:00-06:00,803.6799926757812 kW
2017-10-18T00:00:00-06:00,773.3883666992188 kW
2017-10-19T00:00:00-06:00,800.04833984375 kW
2017-10-20T00:00:00-06:00,584.717529296875 kW
2017-10-21T00:00:00-06:00,536.1708984375 kW
2017-10-22T00:00:00-06:00,536.8023681640625 kW
2017-10-23T00:00:00-06:00,623.1502075195312 kW
2017-10-24T00:00:00-06:00,624.2001342773438 kW
2017-10-25T00:00:00-06:00,584.2274169921875 kW
2017-10-26T00:00:00-06:00,553.2061157226562 kW
2017-10-27T00:00:00-06:00,649.552978515625 kW
2017-10-28T00:00:00-06:00,671.3109130859375 kW
2017-10-29T00:00:00-06:00,464.5516662597656 kW
2017-10-30T00:00:00-06:00,659.5552368164062 kW
2017-10-31T00:00:00-06:00,592.0360717773438 kW
2017-11-01T00:00:00-06:00,542.8974609375 kW
2017-11-02T00:00:00-06:00,559.2466430664062 kW
2017-11-03T00:00:00-06:00,524.1350708007812 kW
2017-11-04T00:00:00-06:00,445.4375915527344 kW
2017-11-05T00:00:00-06:00,430.932373046875 kW
2017-11-06T00:00:00-07:00,525.468994140625 kW
2017-11-07T00:00:00-07:00,569.049560546875 kW
2017-11-08T00:00:00-07:00,555.2119750976562 kW
2017-11-09T00:00:00-07:00,657.1859130859375 kW
2017-11-10T00:00:00-07:00,554.6033935546875 kW
2017-11-11T00:00:00-07:00,638.365234375 kW
2017-11-12T00:00:00-07:00,535.8197631835938 kW
2017-11-13T00:00:00-07:00,701.8731689453125 kW
2017-11-14T00:00:00-07:00,543.0831298828125 kW
2017-11-15T00:00:00-07:00,561.2501220703125 kW
2017-11-16T00:00:00-07:00,559.377197265625 kW
2017-11-17T00:00:00-07:00,450.5450744628906 kW
2017-11-18T00:00:00-07:00,694.4867553710938 kW
2017-11-19T00:00:00-07:00,465.757568359375 kW
2017-11-20T00:00:00-07:00,681.0756225585938 kW
2017-11-21T00:00:00-07:00,559.0582885742188 kW
2017-11-22T00:00:00-07:00,553.2996826171875 kW
2017-11-23T00:00:00-07:00,295.4235534667969 kW
2017-11-24T00:00:00-07:00,333.014404296875 kW
2017-11-25T00:00:00-07:00,471.076416015625 kW
2017-11-26T00:00:00-07:00,475.9199523925781 kW
2017-11-27T00:00:00-07:00,564.4668579101562 kW
2017-11-28T00:00:00-07:00,625.6638793945312 kW
2017-11-29T00:00:00-07:00,673.4772338867188 kW
2017-11-30T00:00:00-07:00,642.7074584960938 kW
2017-12-01T00:00:00-07:00,544.4009399414062 kW
2017-12-02T00:00:00-07:00,633.971923828125 kW
2017-12-03T00:00:00-07:00,460.7618103027344 kW
2017-12-04T00:00:00-07:00,430.57684326171875 kW
2017-12-05T00:00:00-07:00,422.03118896484375 kW
2017-12-06T00:00:00-07:00,417.7032165527344 kW
2017-12-07T00:00:00-07:00,437.3858337402344 kW
2017-12-08T00:00:00-07:00,416.6944274902344 kW
2017-12-09T00:00:00-07:00,637.6847534179688 kW
2017-12-10T00:00:00-07:00,350.1869201660156 kW
2017-12-11T00:00:00-07:00,428.3414001464844 kW
2017-12-12T00:00:00-07:00,421.56591796875 kW
2017-12-13T00:00:00-07:00,430.4137268066406 kW
2017-12-14T00:00:00-07:00,431.6430358886719 kW
2017-12-15T00:00:00-07:00,408.8908996582031 kW
2017-12-16T00:00:00-07:00,318.9279479980469 kW
2017-12-17T00:00:00-07:00,148.66915893554688 kW
2017-12-18T00:00:00-07:00,604.156982421875 kW
2017-12-19T00:00:00-07:00,379.37921142578125 kW
2017-12-20T00:00:00-07:00,387.6763000488281 kW
2017-12-21T00:00:00-07:00,391.0912780761719 kW
2017-12-22T00:00:00-07:00,378.0054016113281 kW
2017-12-23T00:00:00-07:00,142.37088012695312 kW
2017-12-24T00:00:00-07:00,147.37295532226562 kW
2017-12-25T00:00:00-07:00,147.27749633789062 kW
2017-12-26T00:00:00-07:00,148.9974365234375 kW
2017-12-27T00:00:00-07:00,148.17893981933594 kW
2017-12-28T00:00:00-07:00,146.23695373535156 kW
2017-12-29T00:00:00-07:00,142.7075653076172 kW
2017-12-30T00:00:00-07:00,144.2186737060547 kW
2017-12-31T00:00:00-07:00,143.96058654785156 kW
