Timestamp,['1e8432c6-134002a1 0110-ECCLES STUDENT LIFE CNTR Power Meter (HLM2) Energy delivered']
2017-08-23T00:00:00-06:00,359.09375 kWh
2017-08-24T00:00:00-06:00,370.125 kWh
2017-08-25T00:00:00-06:00,378.6875 kWh
2017-08-26T00:00:00-06:00,386.3125 kWh
2017-08-27T00:00:00-06:00,380.28125 kWh
2017-08-28T00:00:00-06:00,402.46875 kWh
2017-08-29T00:00:00-06:00,415 kWh
2017-08-30T00:00:00-06:00,385.6875 kWh
2017-08-31T00:00:00-06:00,327.25 kWh
2017-09-01T00:00:00-06:00,356.59375 kWh
2017-09-02T00:00:00-06:00,374.09375 kWh
2017-09-03T00:00:00-06:00,370.65625 kWh
2017-09-04T00:00:00-06:00,385.90625 kWh
2017-09-05T00:00:00-06:00,410.625 kWh
2017-09-06T00:00:00-06:00,391.125 kWh
2017-09-07T00:00:00-06:00,387.5 kWh
2017-09-08T00:00:00-06:00,361.25 kWh
2017-09-09T00:00:00-06:00,334.40625 kWh
2017-09-10T00:00:00-06:00,341.03125 kWh
2017-09-11T00:00:00-06:00,341.03125 kWh
2017-09-12T00:00:00-06:00,371.09375 kWh
2017-09-13T00:00:00-06:00,348.4375 kWh
2017-09-14T00:00:00-06:00,329.6875 kWh
2017-09-15T00:00:00-06:00,338.0625 kWh
2017-09-16T00:00:00-06:00,371.28125 kWh
2017-09-17T00:00:00-06:00,376.28125 kWh
2017-09-18T00:00:00-06:00,394.71875 kWh
2017-09-19T00:00:00-06:00,380.03125 kWh
2017-09-20T00:00:00-06:00,364.15625 kWh
2017-09-21T00:00:00-06:00,353.875 kWh
2017-09-22T00:00:00-06:00,329.53125 kWh
2017-09-23T00:00:00-06:00,334.625 kWh
2017-09-24T00:00:00-06:00,305.78125 kWh
2017-09-25T00:00:00-06:00,330.46875 kWh
2017-09-26T00:00:00-06:00,351.40625 kWh
2017-09-27T00:00:00-06:00,363.03125 kWh
2017-09-28T00:00:00-06:00,362.6875 kWh
2017-09-29T00:00:00-06:00,360.40625 kWh
2017-09-30T00:00:00-06:00,367 kWh
2017-10-01T00:00:00-06:00,338.1875 kWh
2017-10-02T00:00:00-06:00,349.125 kWh
2017-10-03T00:00:00-06:00,353.40625 kWh
2017-10-04T00:00:00-06:00,383.96875 kWh
2017-10-05T00:00:00-06:00,364.5 kWh
2017-10-06T00:00:00-06:00,368 kWh
2017-10-07T00:00:00-06:00,299.65625 kWh
2017-10-08T00:00:00-06:00,282.15625 kWh
2017-10-09T00:00:00-06:00,285.25 kWh
2017-10-10T00:00:00-06:00,283.21875 kWh
2017-10-11T00:00:00-06:00,295.4375 kWh
2017-10-12T00:00:00-06:00,285.40625 kWh
2017-10-13T00:00:00-06:00,295.375 kWh
2017-10-14T00:00:00-06:00,272.09375 kWh
2017-10-15T00:00:00-06:00,288.1875 kWh
2017-10-16T00:00:00-06:00,296.625 kWh
2017-10-17T00:00:00-06:00,280.9375 kWh
2017-10-18T00:00:00-06:00,288.625 kWh
2017-10-19T00:00:00-06:00,293.8125 kWh
2017-10-20T00:00:00-06:00,270.8125 kWh
2017-10-21T00:00:00-06:00,285.71875 kWh
2017-10-22T00:00:00-06:00,266.6875 kWh
2017-10-23T00:00:00-06:00,287.125 kWh
2017-10-24T00:00:00-06:00,273.59375 kWh
2017-10-25T00:00:00-06:00,282.9375 kWh
2017-10-26T00:00:00-06:00,275.125 kWh
2017-10-27T00:00:00-06:00,291.875 kWh
2017-10-28T00:00:00-06:00,269.375 kWh
2017-10-29T00:00:00-06:00,279.1875 kWh
2017-10-30T00:00:00-06:00,281.96875 kWh
2017-10-31T00:00:00-06:00,284.03125 kWh
2017-11-01T00:00:00-06:00,284.5 kWh
2017-11-02T00:00:00-06:00,287.875 kWh
2017-11-03T00:00:00-06:00,281.65625 kWh
2017-11-04T00:00:00-06:00,276.8125 kWh
2017-11-05T00:00:00-06:00,272.34375 kWh
2017-11-06T00:00:00-07:00,263.5625 kWh
2017-11-07T00:00:00-07:00,237.875 kWh
2017-11-08T00:00:00-07:00,227.71875 kWh
2017-11-09T00:00:00-07:00,264.34375 kWh
2017-11-10T00:00:00-07:00,267.125 kWh
2017-11-11T00:00:00-07:00,277.1875 kWh
2017-11-12T00:00:00-07:00,264.6875 kWh
2017-11-13T00:00:00-07:00,260.75 kWh
2017-11-14T00:00:00-07:00,267.40625 kWh
2017-11-15T00:00:00-07:00,277.34375 kWh
2017-11-16T00:00:00-07:00,266.65625 kWh
2017-11-17T00:00:00-07:00,259.21875 kWh
2017-11-18T00:00:00-07:00,243.75 kWh
2017-11-19T00:00:00-07:00,254.21875 kWh
2017-11-20T00:00:00-07:00,261.1875 kWh
2017-11-21T00:00:00-07:00,275.40625 kWh
2017-11-22T00:00:00-07:00,278.46875 kWh
2017-11-23T00:00:00-07:00,59.65625 kWh
2017-11-24T00:00:00-07:00,63.65625 kWh
2017-11-25T00:00:00-07:00,274.34375 kWh
2017-11-26T00:00:00-07:00,263.71875 kWh
2017-11-27T00:00:00-07:00,267.25 kWh
2017-11-28T00:00:00-07:00,269.5625 kWh
2017-11-29T00:00:00-07:00,242.5625 kWh
2017-11-30T00:00:00-07:00,267.0625 kWh
2017-12-01T00:00:00-07:00,266.625 kWh
2017-12-02T00:00:00-07:00,268.84375 kWh
2017-12-03T00:00:00-07:00,255.5 kWh
2017-12-04T00:00:00-07:00,257.84375 kWh
2017-12-05T00:00:00-07:00,247.84375 kWh
2017-12-06T00:00:00-07:00,254.0625 kWh
2017-12-07T00:00:00-07:00,267.53125 kWh
2017-12-08T00:00:00-07:00,252.125 kWh
2017-12-09T00:00:00-07:00,267.84375 kWh
2017-12-10T00:00:00-07:00,242.28125 kWh
2017-12-11T00:00:00-07:00,254.59375 kWh
2017-12-12T00:00:00-07:00,241 kWh
2017-12-13T00:00:00-07:00,261.71875 kWh
2017-12-14T00:00:00-07:00,264.4375 kWh
2017-12-15T00:00:00-07:00,263.40625 kWh
2017-12-16T00:00:00-07:00,263.6875 kWh
2017-12-17T00:00:00-07:00,262.8125 kWh
2017-12-18T00:00:00-07:00,262.21875 kWh
2017-12-19T00:00:00-07:00,275.5625 kWh
2017-12-20T00:00:00-07:00,260.8125 kWh
2017-12-21T00:00:00-07:00,277.90625 kWh
2017-12-22T00:00:00-07:00,242.9375 kWh
2017-12-23T00:00:00-07:00,252.375 kWh
2017-12-24T00:00:00-07:00,240.6875 kWh
2017-12-25T00:00:00-07:00,245.3125 kWh
2017-12-26T00:00:00-07:00,245.9375 kWh
2017-12-27T00:00:00-07:00,274.5 kWh
2017-12-28T00:00:00-07:00,275.96875 kWh
2017-12-29T00:00:00-07:00,253.21875 kWh
2017-12-30T00:00:00-07:00,249.59375 kWh
2017-12-31T00:00:00-07:00,248.90625 kWh
