Timestamp,['1da98315-ccdea701 0032-RICE-ECCLES STADIUM POWER METER (Main Stadium) 300075 Current A']
2017-05-05T00:00:00-06:00,121.16335876782735 A
2017-05-06T00:00:00-06:00,124.26969353357951 A
2017-05-07T00:00:00-06:00,121.16523996988933 A
2017-05-08T00:00:00-06:00,118.52174182648355 A
2017-05-09T00:00:00-06:00,118.29627155504728 A
2017-05-10T00:00:00-06:00,117.99887363115947 A
2017-05-11T00:00:00-06:00,119.69100522994995 A
2017-05-12T00:00:00-06:00,121.27199578285217 A
2017-05-13T00:00:00-06:00,118.89007266362508 A
2017-05-14T00:00:00-06:00,114.47488307952881 A
2017-05-15T00:00:00-06:00,115.77804207801819 A
2017-05-16T00:00:00-06:00,114.94575637014289 A
2017-05-17T00:00:00-06:00,112.94041403134663 A
2017-05-18T00:00:00-06:00,111.140398422877 A
2017-05-19T00:00:00-06:00,111.96121533711751 A
2017-05-20T00:00:00-06:00,116.36281887690227 A
2017-05-21T00:00:00-06:00,113.40923380851746 A
2017-05-22T00:00:00-06:00,115.58801162883799 A
2017-05-23T00:00:00-06:00,117.50397117932637 A
2017-05-24T00:00:00-06:00,119.32314093907674 A
2017-05-25T00:00:00-06:00,116.1858856678009 A
2017-05-26T00:00:00-06:00,116.02692810694377 A
2017-05-27T00:00:00-06:00,116.61333425839742 A
2017-05-28T00:00:00-06:00,116.12993534406026 A
2017-05-29T00:00:00-06:00,118.29273231824239 A
2017-05-30T00:00:00-06:00,123.04880579312642 A
2017-05-31T00:00:00-06:00,122.40370027224223 A
2017-06-01T00:00:00-06:00,120.14547355969746 A
2017-06-02T00:00:00-06:00,117.59313370554071 A
2017-06-03T00:00:00-06:00,121.05370132128398 A
2017-06-04T00:00:00-06:00,121.91071319580078 A
2017-06-05T00:00:00-06:00,121.35711455345154 A
2017-06-06T00:00:00-06:00,121.7146270275116 A
2017-06-07T00:00:00-06:00,124.24814597765605 A
2017-06-08T00:00:00-06:00,123.75883690516154 A
2017-06-09T00:00:00-06:00,121.40417710940044 A
2017-06-10T00:00:00-06:00,119.96110733350118 A
2017-06-11T00:00:00-06:00,119.97258591651917 A
2017-06-12T00:00:00-06:00,123.13909983634949 A
2017-06-13T00:00:00-06:00,143.2352523803711 A
2017-06-14T00:00:00-06:00,191.98441966374716 A
2017-06-15T00:00:00-06:00,197.30401213963827 A
2017-06-16T00:00:00-06:00,211.7376330693563 A
2017-06-17T00:00:00-06:00,214.2145783106486 A
2017-06-18T00:00:00-06:00,262.43622096379596 A
2017-06-19T00:00:00-06:00,179.40195512771606 A
2017-06-20T00:00:00-06:00,169.48781355222067 A
2017-06-21T00:00:00-06:00,178.89678565661112 A
2017-06-22T00:00:00-06:00,193.75838843981424 A
2017-06-23T00:00:00-06:00,210.50600854555765 A
2017-06-24T00:00:00-06:00,304.5552716255188 A
2017-06-25T00:00:00-06:00,213.17043749491373 A
2017-06-26T00:00:00-06:00,127.47069160143535 A
2017-06-27T00:00:00-06:00,127.87160396575928 A
2017-06-28T00:00:00-06:00,124.31002434094746 A
2017-06-29T00:00:00-06:00,122.94770812988281 A
2017-06-30T00:00:00-06:00,121.94912727673848 A
2017-07-01T00:00:00-06:00,124.27845080693562 A
2017-07-02T00:00:00-06:00,124.9531738117177 A
2017-07-03T00:00:00-06:00,129.1964030265808 A
2017-07-04T00:00:00-06:00,125.43217261632283 A
2017-07-05T00:00:00-06:00,123.60526426633199 A
2017-07-06T00:00:00-06:00,124.05225443840027 A
2017-07-07T00:00:00-06:00,123.89770428339641 A
2017-07-08T00:00:00-06:00,123.76884341239929 A
2017-07-09T00:00:00-06:00,120.66010459264119 A
2017-07-10T00:00:00-06:00,122.42486572265625 A
2017-07-11T00:00:00-06:00,123.2375983397166 A
2017-07-12T00:00:00-06:00,122.40591883659363 A
2017-07-13T00:00:00-06:00,123.81106336911519 A
2017-07-14T00:00:00-06:00,122.51162997881572 A
2017-07-15T00:00:00-06:00,126.04212101300557 A
2017-07-16T00:00:00-06:00,127.2334627310435 A
2017-07-17T00:00:00-06:00,130.5546200529058 A
2017-07-18T00:00:00-06:00,131.1269133090973 A
2017-07-19T00:00:00-06:00,130.4085170427958 A
2017-07-20T00:00:00-06:00,129.67735568682352 A
2017-07-21T00:00:00-06:00,129.18785389264426 A
2017-07-22T00:00:00-06:00,130.43677894105303 A
2017-07-23T00:00:00-06:00,128.57096195220947 A
2017-07-24T00:00:00-06:00,129.06123248736063 A
2017-07-25T00:00:00-06:00,125.7568546930949 A
2017-07-26T00:00:00-06:00,126.12077244122823 A
2017-07-27T00:00:00-06:00,126.45395239194234 A
2017-07-28T00:00:00-06:00,125.32350142796834 A
2017-07-29T00:00:00-06:00,127.7194333076477 A
2017-07-30T00:00:00-06:00,126.36838960647583 A
2017-07-31T00:00:00-06:00,129.11896149317423 A
2017-08-01T00:00:00-06:00,133.52636981010437 A
2017-08-02T00:00:00-06:00,134.1459763844808 A
2017-08-03T00:00:00-06:00,134.52084334691367 A
2017-08-04T00:00:00-06:00,134.6795312259974 A
2017-08-05T00:00:00-06:00,203.29018799463907 A
2017-08-06T00:00:00-06:00,131.93322682380676 A
2017-08-07T00:00:00-06:00,129.42923061052957 A
2017-08-08T00:00:00-06:00,125.46817413965861 A
2017-08-09T00:00:00-06:00,125.53743251164754 A
2017-08-10T00:00:00-06:00,124.37573922198752 A
2017-08-11T00:00:00-06:00,125.29238231976827 A
2017-08-12T00:00:00-06:00,127.93332433700562 A
2017-08-13T00:00:00-06:00,125.25962535540263 A
2017-08-14T00:00:00-06:00,166.25199874242148 A
2017-08-15T00:00:00-06:00,123.79455224672954 A
2017-08-16T00:00:00-06:00,141.51066239674887 A
2017-08-17T00:00:00-06:00,126.63100337982178 A
2017-08-18T00:00:00-06:00,131.53160770734152 A
2017-08-19T00:00:00-06:00,195.58364868164062 A
2017-08-20T00:00:00-06:00,125.38586123784383 A
2017-08-21T00:00:00-06:00,159.20096818606058 A
2017-08-22T00:00:00-06:00,127.91154440244038 A
2017-08-23T00:00:00-06:00,143.5530485312144 A
2017-08-24T00:00:00-06:00,127.2240657011668 A
2017-08-25T00:00:00-06:00,130.22011097272238 A
2017-08-26T00:00:00-06:00,130.5506478945414 A
2017-08-27T00:00:00-06:00,126.46872584025066 A
2017-08-28T00:00:00-06:00,142.6815354607322 A
2017-08-29T00:00:00-06:00,128.59227006700303 A
2017-08-30T00:00:00-06:00,145.32925820350647 A
2017-08-31T00:00:00-06:00,323.3174835840861 A
2017-09-01T00:00:00-06:00,174.38526209195456 A
2017-09-02T00:00:00-06:00,134.28642670313516 A
2017-09-03T00:00:00-06:00,136.0667109489441 A
2017-09-04T00:00:00-06:00,136.69503815968832 A
2017-09-05T00:00:00-06:00,140.5747231642405 A
2017-09-06T00:00:00-06:00,145.02840399742126 A
2017-09-07T00:00:00-06:00,137.23453863461813 A
2017-09-08T00:00:00-06:00,136.47293099023963 A
2017-09-09T00:00:00-06:00,132.58508332570395 A
2017-09-10T00:00:00-06:00,131.93482979138693 A
2017-09-11T00:00:00-06:00,138.98569496472678 A
2017-09-12T00:00:00-06:00,146.03270292282104 A
2017-09-13T00:00:00-06:00,135.71048831939697 A
