Timestamp,['1ef46870-c3f749eb 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 Current C']
2017-09-23T00:00:00-06:00,123.8553859392802 A
2017-09-24T00:00:00-06:00,163.65522893269858 A
2017-09-25T00:00:00-06:00,146.20818412303925 A
2017-09-26T00:00:00-06:00,121.11613237857819 A
2017-09-27T00:00:00-06:00,127.12383635838826 A
2017-09-28T00:00:00-06:00,136.5224769115448 A
2017-09-29T00:00:00-06:00,121.39250795046489 A
2017-09-30T00:00:00-06:00,104.72774382432301 A
2017-10-01T00:00:00-06:00,76.04477973779042 A
2017-10-02T00:00:00-06:00,145.02092961470285 A
2017-10-03T00:00:00-06:00,140.91493288675943 A
2017-10-04T00:00:00-06:00,125.39144094785054 A
2017-10-05T00:00:00-06:00,121.58991074562073 A
2017-10-06T00:00:00-06:00,113.00672813256581 A
2017-10-07T00:00:00-06:00,84.56099653244019 A
2017-10-08T00:00:00-06:00,79.76604356368382 A
2017-10-09T00:00:00-06:00,139.8124887148539 A
2017-10-10T00:00:00-06:00,142.02552711963654 A
2017-10-11T00:00:00-06:00,121.66711378097534 A
2017-10-12T00:00:00-06:00,118.19861809412639 A
2017-10-13T00:00:00-06:00,130.62741295496622 A
2017-10-14T00:00:00-06:00,129.80348181724548 A
2017-10-15T00:00:00-06:00,118.08669131994247 A
2017-10-16T00:00:00-06:00,146.68831435839334 A
2017-10-17T00:00:00-06:00,132.3313309351603 A
2017-10-18T00:00:00-06:00,125.92941319942474 A
2017-10-19T00:00:00-06:00,130.69512796401978 A
2017-10-20T00:00:00-06:00,128.77628103892008 A
2017-10-21T00:00:00-06:00,101.85936790704727 A
2017-10-22T00:00:00-06:00,85.47179200251897 A
2017-10-23T00:00:00-06:00,122.69095357259114 A
2017-10-24T00:00:00-06:00,117.81522170702617 A
2017-10-25T00:00:00-06:00,122.52976934115092 A
2017-10-26T00:00:00-06:00,119.71423403422038 A
2017-10-27T00:00:00-06:00,112.14515471458435 A
2017-10-28T00:00:00-06:00,87.01106107234955 A
2017-10-29T00:00:00-06:00,78.71249089638393 A
