Timestamp,['1daaa907-598e9e34 0037-ARCHITECTURE BLDG Power Meter (301159) Current C']
2017-06-16T00:00:00-06:00,22.99641330043475 A
2017-06-17T00:00:00-06:00,20.746388812859852 A
2017-06-18T00:00:00-06:00,18.334844569365185 A
2017-06-19T00:00:00-06:00,27.08665270606677 A
2017-06-20T00:00:00-06:00,28.54440975189209 A
2017-06-21T00:00:00-06:00,24.03042036294937 A
2017-06-22T00:00:00-06:00,24.66967809200287 A
2017-06-23T00:00:00-06:00,21.227898329496384 A
2017-06-24T00:00:00-06:00,21.304638902346294 A
2017-06-25T00:00:00-06:00,18.108425110578537 A
2017-06-26T00:00:00-06:00,22.311631470918655 A
2017-06-27T00:00:00-06:00,25.410503546396892 A
2017-06-28T00:00:00-06:00,25.084598782188014 A
2017-06-29T00:00:00-06:00,22.219688534736633 A
2017-06-30T00:00:00-06:00,19.015505492687225 A
2017-07-01T00:00:00-06:00,17.08175539970398 A
2017-07-02T00:00:00-06:00,16.77190025647481 A
2017-07-03T00:00:00-06:00,18.17857524752617 A
2017-07-04T00:00:00-06:00,17.291846444209416 A
2017-07-05T00:00:00-06:00,21.66832556327184 A
2017-07-06T00:00:00-06:00,22.842128584782284 A
2017-07-07T00:00:00-06:00,21.675604273875553 A
2017-07-08T00:00:00-06:00,19.63029984633128 A
2017-07-09T00:00:00-06:00,17.230200161536533 A
2017-07-10T00:00:00-06:00,23.05694631735484 A
2017-07-11T00:00:00-06:00,23.15842194358508 A
2017-07-12T00:00:00-06:00,25.511697192986805 A
2017-07-13T00:00:00-06:00,23.77454795440038 A
2017-07-14T00:00:00-06:00,20.968626489241917 A
2017-07-15T00:00:00-06:00,19.188153098026913 A
2017-07-16T00:00:00-06:00,16.05597307284673 A
2017-07-17T00:00:00-06:00,21.35018789768219 A
2017-07-18T00:00:00-06:00,25.139927208423615 A
2017-07-19T00:00:00-06:00,24.488029330968857 A
2017-07-20T00:00:00-06:00,25.259718269109726 A
2017-07-21T00:00:00-06:00,23.405698666969936 A
2017-07-22T00:00:00-06:00,20.160273919502895 A
2017-07-23T00:00:00-06:00,19.35392239689827 A
2017-07-24T00:00:00-06:00,22.58264696598053 A
2017-07-25T00:00:00-06:00,25.835854371388752 A
2017-07-26T00:00:00-06:00,25.896784563859303 A
2017-07-27T00:00:00-06:00,28.31868413090706 A
2017-07-28T00:00:00-06:00,23.743841061989468 A
2017-07-29T00:00:00-06:00,22.196958621342976 A
2017-07-30T00:00:00-06:00,19.94909902413686 A
2017-07-31T00:00:00-06:00,26.67005431652069 A
2017-08-01T00:00:00-06:00,27.472294171651203 A
2017-08-02T00:00:00-06:00,26.607929309209187 A
2017-08-03T00:00:00-06:00,24.56507444381714 A
2017-08-04T00:00:00-06:00,23.525316196017794 A
2017-08-05T00:00:00-06:00,21.332833111286163 A
2017-08-06T00:00:00-06:00,19.575126608212788 A
2017-08-07T00:00:00-06:00,24.793052315711975 A
2017-08-08T00:00:00-06:00,24.152259449164074 A
2017-08-09T00:00:00-06:00,25.03554638226827 A
2017-08-10T00:00:00-06:00,21.915431323258773 A
2017-08-11T00:00:00-06:00,22.977143476406734 A
2017-08-12T00:00:00-06:00,20.894410411516827 A
2017-08-13T00:00:00-06:00,21.69398460785548 A
2017-08-14T00:00:00-06:00,27.11656771103541 A
2017-08-15T00:00:00-06:00,27.606246024370193 A
2017-08-16T00:00:00-06:00,24.747922897338867 A
2017-08-17T00:00:00-06:00,23.127780069907505 A
2017-08-18T00:00:00-06:00,24.92026873429616 A
2017-08-19T00:00:00-06:00,21.532596002022427 A
2017-08-20T00:00:00-06:00,19.13796266913414 A
2017-08-21T00:00:00-06:00,24.971997499465942 A
2017-08-22T00:00:00-06:00,26.137431661287945 A
2017-08-23T00:00:00-06:00,25.90635257959366 A
2017-08-24T00:00:00-06:00,27.87061063448588 A
2017-08-25T00:00:00-06:00,27.299616773923237 A
2017-08-26T00:00:00-06:00,23.003616273403168 A
2017-08-27T00:00:00-06:00,21.952985962231953 A
2017-08-28T00:00:00-06:00,34.18716338511263 A
2017-08-29T00:00:00-06:00,34.983162693355396 A
