Timestamp,['1cdbb6d7-3343edad 0087-THATCHER BLDG Power Meter (301204) Current C']
2017-12-11T00:00:00-07:00,256.9390672047933 A
2017-12-12T00:00:00-07:00,257.61915016174316 A
2017-12-13T00:00:00-07:00,265.443643728892 A
2017-12-14T00:00:00-07:00,248.01928917566934 A
2017-12-15T00:00:00-07:00,250.49158223470053 A
2017-12-16T00:00:00-07:00,227.13418896993002 A
2017-12-17T00:00:00-07:00,221.58055559794107 A
2017-12-18T00:00:00-07:00,254.98303759229051 A
2017-12-19T00:00:00-07:00,237.54456583658853 A
2017-12-20T00:00:00-07:00,238.61542224884033 A
2017-12-21T00:00:00-07:00,239.3104853630066 A
2017-12-22T00:00:00-07:00,222.49793831507364 A
2017-12-23T00:00:00-07:00,208.65061362584433 A
2017-12-24T00:00:00-07:00,207.3036592801412 A
2017-12-25T00:00:00-07:00,205.63114388783774 A
2017-12-26T00:00:00-07:00,201.72725327809653 A
2017-12-27T00:00:00-07:00,201.0209172566732 A
2017-12-28T00:00:00-07:00,202.25740512212118 A
2017-12-29T00:00:00-07:00,200.24584007263184 A
2017-12-30T00:00:00-07:00,196.51449298858643 A
2017-12-31T00:00:00-07:00,202.8978714942932 A
