Timestamp,['1cd3e2b9-88e49ed8 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Current C']
2017-12-11T00:00:00-07:00,151.86354414621988 A
2017-12-12T00:00:00-07:00,156.61354414621988 A
2017-12-13T00:00:00-07:00,154.97500324249268 A
2017-12-14T00:00:00-07:00,151.45833683013916 A
2017-12-15T00:00:00-07:00,152.10312819480896 A
2017-12-16T00:00:00-07:00,140.6958363056183 A
2017-12-17T00:00:00-07:00,137.66041930516562 A
2017-12-18T00:00:00-07:00,147.33222503662108 A
2017-12-19T00:00:00-07:00,148.51458597183228 A
2017-12-20T00:00:00-07:00,145.22187741597494 A
2017-12-21T00:00:00-07:00,146.03125325838724 A
2017-12-22T00:00:00-07:00,146.79062740008035 A
2017-12-23T00:00:00-07:00,142.4291694164276 A
2017-12-24T00:00:00-07:00,142.1500028769175 A
2017-12-25T00:00:00-07:00,140.145836353302 A
2017-12-26T00:00:00-07:00,142.74791995684305 A
2017-12-27T00:00:00-07:00,144.4927113056183 A
2017-12-28T00:00:00-07:00,142.2052114804586 A
2017-12-29T00:00:00-07:00,140.6729195912679 A
2017-12-30T00:00:00-07:00,136.5968778928121 A
2017-12-31T00:00:00-07:00,138.52708641688028 A
