Timestamp,"['1cf8d784-eca0eb23 0064-MERRILL ENGINEERING BLDG Power Meter (300154, 064-802) Current A']"
2017-09-11T00:00:00-06:00,7.596354166666667 A
2017-09-12T00:00:00-06:00,7.9844970703125 A
2017-09-13T00:00:00-06:00,8.073974609375 A
2017-09-14T00:00:00-06:00,7.885416666666667 A
2017-09-15T00:00:00-06:00,7.492268880208333 A
2017-09-16T00:00:00-06:00,6.725748697916667 A
2017-09-17T00:00:00-06:00,6.8681640625 A
2017-09-18T00:00:00-06:00,7.712605794270833 A
2017-09-19T00:00:00-06:00,7.9427490234375 A
2017-09-20T00:00:00-06:00,7.79736328125 A
2017-09-21T00:00:00-06:00,7.794962565104167 A
2017-09-22T00:00:00-06:00,7.622314453125 A
2017-09-23T00:00:00-06:00,7.160074869791667 A
2017-09-24T00:00:00-06:00,7.016845703125 A
2017-09-25T00:00:00-06:00,7.7423095703125 A
2017-09-26T00:00:00-06:00,7.855712890625 A
2017-09-27T00:00:00-06:00,8.1610107421875 A
2017-09-28T00:00:00-06:00,7.862955729166667 A
2017-09-29T00:00:00-06:00,7.71728515625 A
2017-09-30T00:00:00-06:00,7.007731119791667 A
2017-10-01T00:00:00-06:00,6.8951416015625 A
2017-10-02T00:00:00-06:00,7.8704833984375 A
2017-10-03T00:00:00-06:00,7.682779947916667 A
2017-10-04T00:00:00-06:00,7.4393310546875 A
2017-10-05T00:00:00-06:00,7.508260091145833 A
2017-10-06T00:00:00-06:00,7.546305338541667 A
2017-10-07T00:00:00-06:00,6.6640625 A
2017-10-08T00:00:00-06:00,6.575724283854167 A
2017-10-09T00:00:00-06:00,7.146769205729167 A
2017-10-10T00:00:00-06:00,7.293009440104167 A
2017-10-11T00:00:00-06:00,7.173421223958333 A
2017-10-12T00:00:00-06:00,7.2989501953125 A
2017-10-13T00:00:00-06:00,7.166829427083333 A
2017-10-14T00:00:00-06:00,6.642130533854167 A
2017-10-15T00:00:00-06:00,6.610595703125 A
2017-10-16T00:00:00-06:00,7.5120849609375 A
2017-10-17T00:00:00-06:00,7.536376953125 A
2017-10-18T00:00:00-06:00,7.506591796875 A
2017-10-19T00:00:00-06:00,7.469278971354167 A
2017-10-20T00:00:00-06:00,7.577880859375 A
2017-10-21T00:00:00-06:00,6.708658854166667 A
2017-10-22T00:00:00-06:00,6.732706705729167 A
2017-10-23T00:00:00-06:00,7.524169921875 A
2017-10-24T00:00:00-06:00,7.691162109375 A
2017-10-25T00:00:00-06:00,7.492879231770833 A
2017-10-26T00:00:00-06:00,7.424601236979167 A
2017-10-27T00:00:00-06:00,7.296793619791667 A
2017-10-28T00:00:00-06:00,6.630533854166667 A
2017-10-29T00:00:00-06:00,6.526774088541667 A
2017-10-30T00:00:00-06:00,7.586710611979167 A
2017-10-31T00:00:00-06:00,7.284261067708333 A
2017-11-01T00:00:00-06:00,7.647176106770833 A
2017-11-02T00:00:00-06:00,7.746785481770833 A
2017-11-03T00:00:00-06:00,7.767496744791667 A
2017-11-04T00:00:00-06:00,6.755126953125 A
2017-11-05T00:00:00-06:00,6.760234375 A
2017-11-06T00:00:00-07:00,7.657389322916667 A
2017-11-07T00:00:00-07:00,7.939493815104167 A
2017-11-08T00:00:00-07:00,7.819010416666667 A
2017-11-09T00:00:00-07:00,8.222900390625 A
2017-11-10T00:00:00-07:00,8.261474609375 A
2017-11-11T00:00:00-07:00,6.9368896484375 A
2017-11-12T00:00:00-07:00,6.965901692708333 A
2017-11-13T00:00:00-07:00,7.910563151041667 A
2017-11-14T00:00:00-07:00,7.831868489583333 A
2017-11-15T00:00:00-07:00,8.001546223958334 A
2017-11-16T00:00:00-07:00,8.051595052083334 A
2017-11-17T00:00:00-07:00,7.875569661458333 A
2017-11-18T00:00:00-07:00,6.887247721354167 A
2017-11-19T00:00:00-07:00,6.9248046875 A
2017-11-20T00:00:00-07:00,8.002034505208334 A
2017-11-21T00:00:00-07:00,7.950887044270833 A
2017-11-22T00:00:00-07:00,7.826090494791667 A
2017-11-23T00:00:00-07:00,7.0574951171875 A
2017-11-24T00:00:00-07:00,7.052734375 A
2017-11-25T00:00:00-07:00,6.805582682291667 A
2017-11-26T00:00:00-07:00,7.094197591145833 A
2017-11-27T00:00:00-07:00,8.080973307291666 A
2017-11-28T00:00:00-07:00,8.450968424479166 A
2017-11-29T00:00:00-07:00,8.4434814453125 A
2017-11-30T00:00:00-07:00,8.463094075520834 A
2017-12-01T00:00:00-07:00,8.247314453125 A
2017-12-02T00:00:00-07:00,6.975545247395833 A
2017-12-03T00:00:00-07:00,7.0584716796875 A
2017-12-04T00:00:00-07:00,8.128092447916666 A
2017-12-05T00:00:00-07:00,8.2333984375 A
2017-12-06T00:00:00-07:00,8.002848307291666 A
2017-12-07T00:00:00-07:00,7.7332763671875 A
2017-12-08T00:00:00-07:00,7.656290690104167 A
2017-12-09T00:00:00-07:00,6.868082682291667 A
2017-12-10T00:00:00-07:00,7.0179443359375 A
2017-12-11T00:00:00-07:00,7.932820638020833 A
2017-12-12T00:00:00-07:00,8.036946614583334 A
2017-12-13T00:00:00-07:00,7.819376627604167 A
2017-12-14T00:00:00-07:00,7.818277994791667 A
2017-12-15T00:00:00-07:00,7.768351236979167 A
2017-12-16T00:00:00-07:00,6.988240559895833 A
2017-12-17T00:00:00-07:00,7.200480143229167 A
2017-12-18T00:00:00-07:00,7.645733173076923 A
2017-12-19T00:00:00-07:00,7.554850260416667 A
2017-12-20T00:00:00-07:00,8.062784830729166 A
2017-12-21T00:00:00-07:00,8.127766927083334 A
2017-12-22T00:00:00-07:00,7.953043619791667 A
2017-12-23T00:00:00-07:00,6.986287434895833 A
2017-12-24T00:00:00-07:00,6.943929036458333 A
2017-12-25T00:00:00-07:00,6.869832356770833 A
2017-12-26T00:00:00-07:00,6.8131103515625 A
2017-12-27T00:00:00-07:00,6.818766276041667 A
2017-12-28T00:00:00-07:00,7.173665364583333 A
2017-12-29T00:00:00-07:00,7.038614908854167 A
2017-12-30T00:00:00-07:00,6.990966796875 A
2017-12-31T00:00:00-07:00,6.9609375 A
