Timestamp,['1cac61bb-b416a597 0009-WIDTSOE BLDG Power Meter 1(300028) Current A']
2017-11-08T00:00:00-07:00,31.544547009211716 A
2017-11-09T00:00:00-07:00,33.480366213568324 A
2017-11-10T00:00:00-07:00,31.274078433433274 A
2017-11-11T00:00:00-07:00,23.173896902350968 A
2017-11-12T00:00:00-07:00,21.061731499232604 A
2017-11-13T00:00:00-07:00,31.411947625748656 A
2017-11-14T00:00:00-07:00,31.147822146720074 A
2017-11-15T00:00:00-07:00,34.112591994436166 A
2017-11-16T00:00:00-07:00,34.207147945960365 A
2017-11-17T00:00:00-07:00,34.339309195254714 A
2017-11-18T00:00:00-07:00,27.175919491311777 A
2017-11-19T00:00:00-07:00,25.32126718886355 A
2017-11-20T00:00:00-07:00,36.451540813889615 A
2017-11-21T00:00:00-07:00,34.5245879162317 A
2017-11-22T00:00:00-07:00,39.163470907414215 A
2017-11-23T00:00:00-07:00,42.21770831214057 A
2017-11-24T00:00:00-07:00,28.743556080794917 A
2017-11-25T00:00:00-07:00,21.72759869454921 A
2017-11-26T00:00:00-07:00,56.68573173609647 A
2017-11-27T00:00:00-07:00,69.76238414374265 A
2017-11-28T00:00:00-07:00,31.010997274186877 A
2017-11-29T00:00:00-07:00,33.575043243832056 A
2017-11-30T00:00:00-07:00,30.34787117255913 A
2017-12-01T00:00:00-07:00,32.34164588716295 A
2017-12-02T00:00:00-07:00,22.877385149610802 A
2017-12-03T00:00:00-07:00,21.686954026934746 A
2017-12-04T00:00:00-07:00,31.572922779963566 A
2017-12-05T00:00:00-07:00,28.808787387350332 A
2017-12-06T00:00:00-07:00,30.86182380716006 A
2017-12-07T00:00:00-07:00,32.530007322629295 A
2017-12-08T00:00:00-07:00,28.89705589413643 A
2017-12-09T00:00:00-07:00,19.993648659555536 A
2017-12-10T00:00:00-07:00,21.7940992598838 A
2017-12-11T00:00:00-07:00,29.703493736602447 A
2017-12-12T00:00:00-07:00,31.39814940463291 A
2017-12-13T00:00:00-07:00,38.8241216023763 A
2017-12-14T00:00:00-07:00,40.65124408850509 A
2017-12-15T00:00:00-07:00,41.80789449138026 A
2017-12-16T00:00:00-07:00,36.836259015401204 A
2017-12-17T00:00:00-07:00,39.89042123515954 A
2017-12-18T00:00:00-07:00,39.88158191334117 A
2017-12-19T00:00:00-07:00,40.64756846684281 A
2017-12-20T00:00:00-07:00,39.16297438904479 A
2017-12-21T00:00:00-07:00,35.570685874091254 A
2017-12-22T00:00:00-07:00,32.44315752116117 A
2017-12-23T00:00:00-07:00,33.77612561858102 A
2017-12-24T00:00:00-07:00,32.340023385717515 A
2017-12-25T00:00:00-07:00,31.952453459816418 A
2017-12-26T00:00:00-07:00,33.961664793226454 A
2017-12-27T00:00:00-07:00,34.76190462979403 A
2017-12-28T00:00:00-07:00,34.49892889043336 A
2017-12-29T00:00:00-07:00,33.87103126360022 A
2017-12-30T00:00:00-07:00,35.36153108697189 A
2017-12-31T00:00:00-07:00,33.431183199087776 A
