Timestamp,['1f7d6d1e-497ce2d8 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Energy Consumption']
2017-09-12T00:00:00-06:00,4425 kWh
2017-09-13T00:00:00-06:00,4594 kWh
2017-09-14T00:00:00-06:00,4551 kWh
2017-09-15T00:00:00-06:00,4461 kWh
2017-09-16T00:00:00-06:00,3560 kWh
2017-09-17T00:00:00-06:00,3931 kWh
2017-09-18T00:00:00-06:00,5188 kWh
2017-09-19T00:00:00-06:00,3928 kWh
2017-09-20T00:00:00-06:00,4534 kWh
2017-09-21T00:00:00-06:00,3762 kWh
2017-09-22T00:00:00-06:00,3996 kWh
2017-09-23T00:00:00-06:00,3188 kWh
2017-09-24T00:00:00-06:00,3172 kWh
2017-09-25T00:00:00-06:00,4059 kWh
2017-09-26T00:00:00-06:00,4285 kWh
2017-09-27T00:00:00-06:00,4298 kWh
2017-09-28T00:00:00-06:00,4222 kWh
2017-09-29T00:00:00-06:00,4277 kWh
2017-09-30T00:00:00-06:00,3217 kWh
2017-10-01T00:00:00-06:00,3146 kWh
2017-10-02T00:00:00-06:00,3853 kWh
2017-10-03T00:00:00-06:00,3862 kWh
2017-10-04T00:00:00-06:00,3862 kWh
2017-10-05T00:00:00-06:00,3796 kWh
2017-10-06T00:00:00-06:00,3680 kWh
2017-10-07T00:00:00-06:00,3505 kWh
2017-10-08T00:00:00-06:00,3125 kWh
2017-10-09T00:00:00-06:00,3714 kWh
2017-10-10T00:00:00-06:00,3651 kWh
2017-10-11T00:00:00-06:00,4209 kWh
2017-10-12T00:00:00-06:00,3637 kWh
2017-10-13T00:00:00-06:00,3540 kWh
2017-10-14T00:00:00-06:00,3226 kWh
2017-10-15T00:00:00-06:00,3223 kWh
2017-10-16T00:00:00-06:00,3784 kWh
2017-10-17T00:00:00-06:00,4119 kWh
2017-10-18T00:00:00-06:00,3916 kWh
2017-10-19T00:00:00-06:00,3928 kWh
2017-10-20T00:00:00-06:00,3827 kWh
2017-10-21T00:00:00-06:00,3269 kWh
2017-10-22T00:00:00-06:00,3232 kWh
2017-10-23T00:00:00-06:00,3825 kWh
2017-10-24T00:00:00-06:00,3723 kWh
