Timestamp,['1cca746c-55736214 0062-WARNOCK ENGR BLDG Power Meter 316606 Current C']
2017-06-15T00:00:00-06:00,93.50763888888889 A
2017-06-16T00:00:00-06:00,91.01597222222222 A
2017-06-17T00:00:00-06:00,78.39027777777778 A
2017-06-18T00:00:00-06:00,78.25555555555556 A
2017-06-19T00:00:00-06:00,91.17708333333333 A
2017-06-20T00:00:00-06:00,96.3013888888889 A
2017-06-21T00:00:00-06:00,97.29305555555555 A
2017-06-22T00:00:00-06:00,94.05972222222222 A
2017-06-23T00:00:00-06:00,89.97361111111111 A
2017-06-24T00:00:00-06:00,78.4625 A
2017-06-25T00:00:00-06:00,79.47222222222223 A
2017-06-26T00:00:00-06:00,95.97138437741685 A
2017-06-27T00:00:00-06:00,88.52083333333333 A
2017-06-28T00:00:00-06:00,94.86458333333333 A
2017-06-29T00:00:00-06:00,92.39583333333333 A
2017-06-30T00:00:00-06:00,86.44791666666667 A
2017-07-01T00:00:00-06:00,76.75 A
2017-07-02T00:00:00-06:00,76.21875 A
2017-07-03T00:00:00-06:00,83.53125 A
2017-07-04T00:00:00-06:00,78.125 A
2017-07-05T00:00:00-06:00,91.94791666666667 A
2017-07-06T00:00:00-06:00,95.26041666666667 A
2017-07-07T00:00:00-06:00,88.64583333333333 A
2017-07-08T00:00:00-06:00,78.43157894736842 A
2017-07-09T00:00:00-06:00,79.63541666666667 A
2017-07-10T00:00:00-06:00,97.71875 A
2017-07-11T00:00:00-06:00,101.54166666666667 A
2017-07-12T00:00:00-06:00,105.4375 A
2017-07-13T00:00:00-06:00,94.0625 A
2017-07-14T00:00:00-06:00,92.4375 A
2017-07-15T00:00:00-06:00,76.125 A
2017-07-16T00:00:00-06:00,75.33333333333333 A
2017-07-17T00:00:00-06:00,88.73958333333333 A
2017-07-18T00:00:00-06:00,90.29166666666667 A
2017-07-19T00:00:00-06:00,92.92631578947369 A
2017-07-20T00:00:00-06:00,88.59375 A
2017-07-21T00:00:00-06:00,90.04166666666667 A
2017-07-22T00:00:00-06:00,75.82291666666667 A
2017-07-23T00:00:00-06:00,73.33333333333333 A
2017-07-24T00:00:00-06:00,76.27083333333333 A
2017-07-25T00:00:00-06:00,87.01041666666667 A
2017-07-26T00:00:00-06:00,88.94791666666667 A
2017-07-27T00:00:00-06:00,89.55208333333333 A
2017-07-28T00:00:00-06:00,84.0625 A
2017-07-29T00:00:00-06:00,76.19791666666667 A
2017-07-30T00:00:00-06:00,77.75 A
2017-07-31T00:00:00-06:00,91.05208333333333 A
2017-08-01T00:00:00-06:00,91.55208333333333 A
2017-08-02T00:00:00-06:00,92.61458333333333 A
2017-08-03T00:00:00-06:00,93.84375 A
2017-08-04T00:00:00-06:00,83.61797752808988 A
2017-08-05T00:00:00-06:00,76.1875 A
2017-08-06T00:00:00-06:00,75.1875 A
2017-08-07T00:00:00-06:00,83.25 A
2017-08-08T00:00:00-06:00,83.60416666666667 A
2017-08-09T00:00:00-06:00,88.78260869565217 A
2017-08-10T00:00:00-06:00,85.77173913043478 A
2017-08-11T00:00:00-06:00,84.72916666666667 A
2017-08-12T00:00:00-06:00,76.78125 A
2017-08-13T00:00:00-06:00,73.27083333333333 A
2017-08-14T00:00:00-06:00,89.79166666666667 A
2017-08-15T00:00:00-06:00,81.89583333333333 A
2017-08-16T00:00:00-06:00,81.9375 A
2017-08-17T00:00:00-06:00,95.94791666666667 A
2017-08-18T00:00:00-06:00,104.73958333333333 A
2017-08-19T00:00:00-06:00,93.89583333333333 A
2017-08-20T00:00:00-06:00,92.32291666666667 A
2017-08-21T00:00:00-06:00,109.46875 A
2017-08-22T00:00:00-06:00,115.73958333333333 A
2017-08-23T00:00:00-06:00,116.28125 A
