Timestamp,['1cf8d7b8-b07543b7 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 KWH Received']
2017-06-09T00:00:00-06:00,30122.666666666668 Wh
2017-06-10T00:00:00-06:00,30282.666666666668 Wh
2017-06-11T00:00:00-06:00,30817.01052631579 Wh
2017-06-12T00:00:00-06:00,30496 Wh
2017-06-13T00:00:00-06:00,30336 Wh
2017-06-14T00:00:00-06:00,30058.666666666668 Wh
2017-06-15T00:00:00-06:00,30336 Wh
2017-06-16T00:00:00-06:00,30101.333333333332 Wh
2017-06-17T00:00:00-06:00,30666.666666666668 Wh
2017-06-18T00:00:00-06:00,30602.666666666668 Wh
2017-06-19T00:00:00-06:00,30101.333333333332 Wh
2017-06-20T00:00:00-06:00,29909.333333333332 Wh
2017-06-21T00:00:00-06:00,30165.333333333332 Wh
2017-06-22T00:00:00-06:00,30037.333333333332 Wh
2017-06-23T00:00:00-06:00,29248 Wh
2017-06-24T00:00:00-06:00,29877.333333333332 Wh
2017-06-25T00:00:00-06:00,29909.333333333332 Wh
2017-06-26T00:00:00-06:00,29877.333333333332 Wh
2017-06-27T00:00:00-06:00,29770.666666666668 Wh
2017-06-28T00:00:00-06:00,29770.666666666668 Wh
2017-06-29T00:00:00-06:00,30058.666666666668 Wh
2017-06-30T00:00:00-06:00,30293.333333333332 Wh
2017-07-01T00:00:00-06:00,30400 Wh
2017-07-02T00:00:00-06:00,30688 Wh
2017-07-03T00:00:00-06:00,30634.666666666668 Wh
2017-07-04T00:00:00-06:00,30304 Wh
2017-07-05T00:00:00-06:00,30272 Wh
2017-07-06T00:00:00-06:00,30346.666666666668 Wh
2017-07-07T00:00:00-06:00,30240 Wh
2017-07-08T00:00:00-06:00,30464 Wh
2017-07-09T00:00:00-06:00,30560 Wh
2017-07-10T00:00:00-06:00,30336 Wh
2017-07-11T00:00:00-06:00,30389.333333333332 Wh
2017-07-12T00:00:00-06:00,30144 Wh
2017-07-13T00:00:00-06:00,30261.333333333332 Wh
2017-07-14T00:00:00-06:00,30485.333333333332 Wh
2017-07-15T00:00:00-06:00,30293.333333333332 Wh
2017-07-16T00:00:00-06:00,30218.666666666668 Wh
2017-07-17T00:00:00-06:00,30069.333333333332 Wh
2017-07-18T00:00:00-06:00,29920 Wh
2017-07-19T00:00:00-06:00,30154.666666666668 Wh
2017-07-20T00:00:00-06:00,30272 Wh
2017-07-21T00:00:00-06:00,30186.666666666668 Wh
2017-07-22T00:00:00-06:00,30357.333333333332 Wh
2017-07-23T00:00:00-06:00,30346.666666666668 Wh
2017-07-24T00:00:00-06:00,30058.666666666668 Wh
2017-07-25T00:00:00-06:00,30410.666666666668 Wh
2017-07-26T00:00:00-06:00,30421.333333333332 Wh
2017-07-27T00:00:00-06:00,30293.333333333332 Wh
2017-07-28T00:00:00-06:00,30272 Wh
2017-07-29T00:00:00-06:00,30453.333333333332 Wh
2017-07-30T00:00:00-06:00,30485.333333333332 Wh
2017-07-31T00:00:00-06:00,30442.666666666668 Wh
2017-08-01T00:00:00-06:00,29930.666666666668 Wh
2017-08-02T00:00:00-06:00,29834.666666666668 Wh
2017-08-03T00:00:00-06:00,29674.666666666668 Wh
2017-08-04T00:00:00-06:00,32017.066666666666 Wh
2017-08-05T00:00:00-06:00,30282.666666666668 Wh
2017-08-06T00:00:00-06:00,30240 Wh
2017-08-07T00:00:00-06:00,30304 Wh
2017-08-08T00:00:00-06:00,29962.666666666668 Wh
2017-08-09T00:00:00-06:00,29824 Wh
2017-08-10T00:00:00-06:00,30775.05376344086 Wh
2017-08-11T00:00:00-06:00,29952 Wh
2017-08-12T00:00:00-06:00,30005.333333333332 Wh
2017-08-13T00:00:00-06:00,30197.333333333332 Wh
2017-08-14T00:00:00-06:00,30389.333333333332 Wh
2017-08-15T00:00:00-06:00,30122.666666666668 Wh
2017-08-16T00:00:00-06:00,30058.666666666668 Wh
2017-08-17T00:00:00-06:00,30090.666666666668 Wh
2017-08-18T00:00:00-06:00,30080 Wh
2017-08-19T00:00:00-06:00,30282.666666666668 Wh
2017-08-20T00:00:00-06:00,30634.666666666668 Wh
2017-08-21T00:00:00-06:00,30442.666666666668 Wh
2017-08-22T00:00:00-06:00,30485.333333333332 Wh
