Timestamp,['1cca749f-c914c14e 0062-WARNOCK ENGR BLDG Power Meter 316606 Volts CN']
2017-10-08T00:00:00-06:00,123.20833333333333 V
2017-10-09T00:00:00-06:00,123.23958333333333 V
2017-10-10T00:00:00-06:00,123.26041666666667 V
2017-10-11T00:00:00-06:00,123.01041666666667 V
2017-10-12T00:00:00-06:00,123.20833333333333 V
2017-10-13T00:00:00-06:00,123.22916666666667 V
2017-10-14T00:00:00-06:00,123.32291666666667 V
2017-10-15T00:00:00-06:00,123.16666666666667 V
2017-10-16T00:00:00-06:00,123.23958333333333 V
2017-10-17T00:00:00-06:00,123.08333333333333 V
2017-10-18T00:00:00-06:00,123.02083333333333 V
2017-10-19T00:00:00-06:00,123.29166666666667 V
2017-10-20T00:00:00-06:00,123.17708333333333 V
2017-10-21T00:00:00-06:00,123.1875 V
2017-10-22T00:00:00-06:00,123.27083333333333 V
2017-10-23T00:00:00-06:00,123.21875 V
2017-10-24T00:00:00-06:00,123.07291666666667 V
2017-10-25T00:00:00-06:00,123.07291666666667 V
2017-10-26T00:00:00-06:00,123.23958333333333 V
2017-10-27T00:00:00-06:00,123.20833333333333 V
2017-10-28T00:00:00-06:00,123.17708333333333 V
2017-10-29T00:00:00-06:00,123.28125 V
2017-10-30T00:00:00-06:00,123.30208333333333 V
2017-10-31T00:00:00-06:00,123.34375 V
2017-11-01T00:00:00-06:00,123.08333333333333 V
2017-11-02T00:00:00-06:00,123.11458333333333 V
2017-11-03T00:00:00-06:00,123.13541666666667 V
2017-11-04T00:00:00-06:00,123.17708333333333 V
2017-11-05T00:00:00-06:00,123.2 V
2017-11-06T00:00:00-07:00,123.09375 V
2017-11-07T00:00:00-07:00,123.03125 V
2017-11-08T00:00:00-07:00,122.92708333333333 V
2017-11-09T00:00:00-07:00,123.22916666666667 V
2017-11-10T00:00:00-07:00,123.14583333333333 V
2017-11-11T00:00:00-07:00,123.16666666666667 V
2017-11-12T00:00:00-07:00,123.14583333333333 V
2017-11-13T00:00:00-07:00,123.16666666666667 V
2017-11-14T00:00:00-07:00,123.375 V
2017-11-15T00:00:00-07:00,123.16666666666667 V
2017-11-16T00:00:00-07:00,123.08333333333333 V
2017-11-17T00:00:00-07:00,123.15625 V
2017-11-18T00:00:00-07:00,123.23958333333333 V
2017-11-19T00:00:00-07:00,123.32291666666667 V
2017-11-20T00:00:00-07:00,123.10416666666667 V
2017-11-21T00:00:00-07:00,123.13541666666667 V
2017-11-22T00:00:00-07:00,123.0625 V
2017-11-23T00:00:00-07:00,123.34375 V
2017-11-24T00:00:00-07:00,123.14583333333333 V
2017-11-25T00:00:00-07:00,123.17708333333333 V
2017-11-26T00:00:00-07:00,123.29166666666667 V
2017-11-27T00:00:00-07:00,123.07291666666667 V
2017-11-28T00:00:00-07:00,123.1875 V
2017-11-29T00:00:00-07:00,123.20833333333333 V
2017-11-30T00:00:00-07:00,123.26041666666667 V
2017-12-01T00:00:00-07:00,123.21875 V
2017-12-02T00:00:00-07:00,123.15625 V
2017-12-03T00:00:00-07:00,123.28125 V
2017-12-04T00:00:00-07:00,123.15625 V
2017-12-05T00:00:00-07:00,123.13541666666667 V
2017-12-06T00:00:00-07:00,123.02083333333333 V
2017-12-07T00:00:00-07:00,122.98958333333333 V
2017-12-08T00:00:00-07:00,122.97916666666667 V
2017-12-09T00:00:00-07:00,123.20833333333333 V
2017-12-10T00:00:00-07:00,123.27083333333333 V
2017-12-11T00:00:00-07:00,123.10416666666667 V
2017-12-12T00:00:00-07:00,123.0625 V
2017-12-13T00:00:00-07:00,123.22916666666667 V
2017-12-14T00:00:00-07:00,123.1875 V
2017-12-15T00:00:00-07:00,123.11458333333333 V
2017-12-16T00:00:00-07:00,123.1875 V
2017-12-17T00:00:00-07:00,123.19791666666667 V
2017-12-18T00:00:00-07:00,123.3 V
2017-12-19T00:00:00-07:00,123.25 V
