Timestamp,['1e71be58-cc232c7e 0040-STUDENT SERVICES BLDG Power Meter (300089) Current B']
2017-12-19T00:00:00-07:00,385.30037720998126 A
2017-12-20T00:00:00-07:00,380.9342346191406 A
2017-12-21T00:00:00-07:00,395.9609359105428 A
2017-12-22T00:00:00-07:00,382.83471870422363 A
2017-12-23T00:00:00-07:00,352.8283522923787 A
2017-12-24T00:00:00-07:00,359.9703006744385 A
2017-12-25T00:00:00-07:00,349.7428814570109 A
2017-12-26T00:00:00-07:00,351.434775352478 A
2017-12-27T00:00:00-07:00,379.17730712890625 A
2017-12-28T00:00:00-07:00,374.6052602132161 A
2017-12-29T00:00:00-07:00,348.46242173512775 A
2017-12-30T00:00:00-07:00,343.31950855255127 A
2017-12-31T00:00:00-07:00,340.93372440338135 A
