Timestamp,"['1cf8d6ae-b6decdd2 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) KW Total']"
2017-07-23T00:00:00-06:00,6.779999732971191 kW
2017-07-24T00:00:00-06:00,6.879999160766602 kW
2017-07-25T00:00:00-06:00,7.459999084472656 kW
2017-07-26T00:00:00-06:00,7.615999221801758 kW
2017-07-27T00:00:00-06:00,7.535999298095703 kW
2017-07-28T00:00:00-06:00,7.387999534606934 kW
2017-07-29T00:00:00-06:00,6.823999404907227 kW
2017-07-30T00:00:00-06:00,6.7599992752075195 kW
2017-07-31T00:00:00-06:00,8.027999877929688 kW
2017-08-01T00:00:00-06:00,8.567998886108398 kW
2017-08-02T00:00:00-06:00,8.395999908447266 kW
2017-08-03T00:00:00-06:00,8.627998352050781 kW
2017-08-04T00:00:00-06:00,7.683999061584473 kW
2017-08-05T00:00:00-06:00,7.143999099731445 kW
2017-08-06T00:00:00-06:00,6.567999839782715 kW
2017-08-07T00:00:00-06:00,7.275999069213867 kW
2017-08-08T00:00:00-06:00,7.411999702453613 kW
2017-08-09T00:00:00-06:00,7.711999893188477 kW
2017-08-10T00:00:00-06:00,7.515999794006348 kW
2017-08-11T00:00:00-06:00,7.935999870300293 kW
2017-08-12T00:00:00-06:00,6.62399959564209 kW
2017-08-13T00:00:00-06:00,6.435999870300293 kW
2017-08-14T00:00:00-06:00,6.671999931335449 kW
2017-08-15T00:00:00-06:00,6.863999366760254 kW
2017-08-16T00:00:00-06:00,7.063999176025391 kW
2017-08-17T00:00:00-06:00,7.6959991455078125 kW
2017-08-18T00:00:00-06:00,7.683999061584473 kW
2017-08-19T00:00:00-06:00,6.967999458312988 kW
2017-08-20T00:00:00-06:00,6.699999809265137 kW
2017-08-21T00:00:00-06:00,7.719999313354492 kW
2017-08-22T00:00:00-06:00,7.863999366760254 kW
2017-08-23T00:00:00-06:00,7.59999942779541 kW
2017-08-24T00:00:00-06:00,8.183999061584473 kW
2017-08-25T00:00:00-06:00,7.791999816894531 kW
2017-08-26T00:00:00-06:00,7.143999099731445 kW
2017-08-27T00:00:00-06:00,6.743999481201172 kW
2017-08-28T00:00:00-06:00,8.639999389648438 kW
2017-08-29T00:00:00-06:00,8.963998794555664 kW
2017-08-30T00:00:00-06:00,8.12399959564209 kW
2017-08-31T00:00:00-06:00,7.571999549865723 kW
2017-09-01T00:00:00-06:00,7.803999900817871 kW
2017-09-02T00:00:00-06:00,7.243999481201172 kW
2017-09-03T00:00:00-06:00,7.191999435424805 kW
2017-09-04T00:00:00-06:00,7.439999580383301 kW
2017-09-05T00:00:00-06:00,8.803998947143555 kW
2017-09-06T00:00:00-06:00,8.667999267578125 kW
2017-09-07T00:00:00-06:00,8.503999710083008 kW
2017-09-08T00:00:00-06:00,8.259998321533203 kW
2017-09-09T00:00:00-06:00,6.367999076843262 kW
2017-09-10T00:00:00-06:00,7.163999557495117 kW
2017-09-11T00:00:00-06:00,8.519998550415039 kW
2017-09-12T00:00:00-06:00,8.751998901367188 kW
2017-09-13T00:00:00-06:00,8.65999984741211 kW
2017-09-14T00:00:00-06:00,7.1479997634887695 kW
2017-09-15T00:00:00-06:00,7 kW
2017-09-16T00:00:00-06:00,5.619999885559082 kW
2017-09-17T00:00:00-06:00,5.947999954223633 kW
2017-09-18T00:00:00-06:00,7.7039995193481445 kW
2017-09-19T00:00:00-06:00,6.671999931335449 kW
2017-09-20T00:00:00-06:00,6.74799919128418 kW
2017-09-21T00:00:00-06:00,6.243999481201172 kW
2017-09-22T00:00:00-06:00,6.09999942779541 kW
2017-09-23T00:00:00-06:00,5.163999557495117 kW
2017-09-24T00:00:00-06:00,5.067999839782715 kW
2017-09-25T00:00:00-06:00,6.731999397277832 kW
2017-09-26T00:00:00-06:00,7.127999305725098 kW
2017-09-27T00:00:00-06:00,7.643999099731445 kW
2017-09-28T00:00:00-06:00,7.403999328613281 kW
2017-09-29T00:00:00-06:00,7.423999786376953 kW
2017-09-30T00:00:00-06:00,6.119999885559082 kW
2017-10-01T00:00:00-06:00,5.5279998779296875 kW
2017-10-02T00:00:00-06:00,6.383999824523926 kW
2017-10-03T00:00:00-06:00,6.423999786376953 kW
2017-10-04T00:00:00-06:00,6.943999290466309 kW
2017-10-05T00:00:00-06:00,6.871999740600586 kW
2017-10-06T00:00:00-06:00,6.667999267578125 kW
2017-10-07T00:00:00-06:00,6.039999961853027 kW
2017-10-08T00:00:00-06:00,5.375999450683594 kW
2017-10-09T00:00:00-06:00,6.171999931335449 kW
2017-10-10T00:00:00-06:00,6.303999900817871 kW
2017-10-11T00:00:00-06:00,7.051999092102051 kW
2017-10-12T00:00:00-06:00,6.367999076843262 kW
2017-10-13T00:00:00-06:00,6.603999137878418 kW
2017-10-14T00:00:00-06:00,5.199999809265137 kW
2017-10-15T00:00:00-06:00,5.5759992599487305 kW
2017-10-16T00:00:00-06:00,7.071999549865723 kW
2017-10-17T00:00:00-06:00,7.431999206542969 kW
2017-10-18T00:00:00-06:00,7.251999855041504 kW
2017-10-19T00:00:00-06:00,7.4079999923706055 kW
2017-10-20T00:00:00-06:00,6.579999923706055 kW
2017-10-21T00:00:00-06:00,5.107999801635742 kW
2017-10-22T00:00:00-06:00,5.727999687194824 kW
2017-10-23T00:00:00-06:00,6.883999824523926 kW
2017-10-24T00:00:00-06:00,6.955999374389648 kW
2017-10-25T00:00:00-06:00,7.023999214172363 kW
2017-10-26T00:00:00-06:00,6.763999938964844 kW
2017-10-27T00:00:00-06:00,6.47599983215332 kW
2017-10-28T00:00:00-06:00,5.679999351501465 kW
2017-10-29T00:00:00-06:00,5.983999252319336 kW
2017-10-30T00:00:00-06:00,6.067999839782715 kW
2017-10-31T00:00:00-06:00,6.1959991455078125 kW
2017-11-01T00:00:00-06:00,6.951999664306641 kW
2017-11-02T00:00:00-06:00,7.13599967956543 kW
2017-11-03T00:00:00-06:00,6.62399959564209 kW
2017-11-04T00:00:00-06:00,5.175999641418457 kW
2017-11-05T00:00:00-06:00,5.055999755859375 kW
2017-11-06T00:00:00-07:00,6.859999656677246 kW
2017-11-07T00:00:00-07:00,6.563999176025391 kW
2017-11-08T00:00:00-07:00,6.555999755859375 kW
2017-11-09T00:00:00-07:00,7.355999946594238 kW
2017-11-10T00:00:00-07:00,6.6959991455078125 kW
2017-11-11T00:00:00-07:00,5.503999710083008 kW
2017-11-12T00:00:00-07:00,5.375999450683594 kW
2017-11-13T00:00:00-07:00,6.983999252319336 kW
2017-11-14T00:00:00-07:00,6.767999649047852 kW
2017-11-15T00:00:00-07:00,6.871999740600586 kW
2017-11-16T00:00:00-07:00,7.023999214172363 kW
2017-11-17T00:00:00-07:00,6.295999526977539 kW
2017-11-18T00:00:00-07:00,5.291999816894531 kW
2017-11-19T00:00:00-07:00,5.043999671936035 kW
2017-11-20T00:00:00-07:00,6.339999198913574 kW
2017-11-21T00:00:00-07:00,6.711999893188477 kW
2017-11-22T00:00:00-07:00,6.7039995193481445 kW
2017-11-23T00:00:00-07:00,5.687999725341797 kW
2017-11-24T00:00:00-07:00,5.7039995193481445 kW
2017-11-25T00:00:00-07:00,5.631999969482422 kW
2017-11-26T00:00:00-07:00,5.795999526977539 kW
2017-11-27T00:00:00-07:00,6.403999328613281 kW
2017-11-28T00:00:00-07:00,6.451999664306641 kW
2017-11-29T00:00:00-07:00,6.555999755859375 kW
2017-11-30T00:00:00-07:00,6.739999771118164 kW
2017-12-01T00:00:00-07:00,6.307999610900879 kW
2017-12-02T00:00:00-07:00,5.387999534606934 kW
2017-12-03T00:00:00-07:00,5.539999961853027 kW
2017-12-04T00:00:00-07:00,6.483999252319336 kW
2017-12-05T00:00:00-07:00,6.439999580383301 kW
2017-12-06T00:00:00-07:00,6.459999084472656 kW
2017-12-07T00:00:00-07:00,6.255999565124512 kW
2017-12-08T00:00:00-07:00,6.491999626159668 kW
2017-12-09T00:00:00-07:00,5.315999984741211 kW
2017-12-10T00:00:00-07:00,5.12399959564209 kW
2017-12-11T00:00:00-07:00,6.08799934387207 kW
2017-12-12T00:00:00-07:00,6.13599967956543 kW
2017-12-13T00:00:00-07:00,6.043999671936035 kW
2017-12-14T00:00:00-07:00,5.715999603271484 kW
2017-12-15T00:00:00-07:00,5.411999702453613 kW
2017-12-16T00:00:00-07:00,4.571999549865723 kW
2017-12-17T00:00:00-07:00,4.395999908447266 kW
2017-12-18T00:00:00-07:00,6.171999931335449 kW
2017-12-19T00:00:00-07:00,6.603999137878418 kW
2017-12-20T00:00:00-07:00,6.543999671936035 kW
2017-12-21T00:00:00-07:00,5.771999359130859 kW
2017-12-22T00:00:00-07:00,5.651999473571777 kW
2017-12-23T00:00:00-07:00,4.911999702453613 kW
2017-12-24T00:00:00-07:00,4.847999572753906 kW
2017-12-25T00:00:00-07:00,4.775999069213867 kW
2017-12-26T00:00:00-07:00,4.863999366760254 kW
2017-12-27T00:00:00-07:00,5.307999610900879 kW
2017-12-28T00:00:00-07:00,5.459999084472656 kW
2017-12-29T00:00:00-07:00,5.771999359130859 kW
2017-12-30T00:00:00-07:00,5.287999153137207 kW
2017-12-31T00:00:00-07:00,5 kW
