Timestamp,['206e9ea7-a587cdf0 0046-LASSONDE STUDIOS Power Meter 316259 Current C']
2017-09-06T00:00:00-06:00,160.07632064819336 A
2017-09-07T00:00:00-06:00,151.65539360046387 A
2017-09-08T00:00:00-06:00,137.40001694699552 A
2017-09-09T00:00:00-06:00,134.91429217656454 A
2017-09-10T00:00:00-06:00,136.02868874867758 A
2017-09-11T00:00:00-06:00,135.1758009592692 A
2017-09-12T00:00:00-06:00,133.7593413988749 A
2017-09-13T00:00:00-06:00,137.13763284683228 A
2017-09-14T00:00:00-06:00,137.25906459490457 A
2017-09-15T00:00:00-06:00,129.22815591912521 A
2017-09-16T00:00:00-06:00,127.75445898373921 A
2017-09-17T00:00:00-06:00,130.34970299402872 A
2017-09-18T00:00:00-06:00,133.2864669164022 A
2017-09-19T00:00:00-06:00,126.23280668258667 A
2017-09-20T00:00:00-06:00,122.44053904215495 A
2017-09-21T00:00:00-06:00,130.05081407229105 A
2017-09-22T00:00:00-06:00,125.4603153069814 A
2017-09-23T00:00:00-06:00,122.17292507489522 A
2017-09-24T00:00:00-06:00,129.00822361310324 A
2017-09-25T00:00:00-06:00,123.5887230237325 A
2017-09-26T00:00:00-06:00,120.20343987147014 A
2017-09-27T00:00:00-06:00,119.86946209271748 A
2017-09-28T00:00:00-06:00,120.41191077232361 A
2017-09-29T00:00:00-06:00,125.62427655855815 A
2017-09-30T00:00:00-06:00,125.05522688229878 A
2017-10-01T00:00:00-06:00,125.27509538332622 A
2017-10-02T00:00:00-06:00,124.9773789246877 A
2017-10-03T00:00:00-06:00,125.25134905179341 A
2017-10-04T00:00:00-06:00,126.56227215131123 A
2017-10-05T00:00:00-06:00,128.6280243396759 A
2017-10-06T00:00:00-06:00,129.7767389615377 A
2017-10-07T00:00:00-06:00,127.82598217328389 A
2017-10-08T00:00:00-06:00,130.97181471188864 A
2017-10-09T00:00:00-06:00,124.78487237294515 A
2017-10-10T00:00:00-06:00,124.28358610471089 A
2017-10-11T00:00:00-06:00,125.54735438028972 A
2017-10-12T00:00:00-06:00,122.46177697181702 A
2017-10-13T00:00:00-06:00,109.04022685686748 A
2017-10-14T00:00:00-06:00,124.97351411518298 A
2017-10-15T00:00:00-06:00,127.86743108431499 A
