Timestamp,['1cbacc75-b2894653 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) KW']
2017-07-04T00:00:00-06:00,27.373849868774414 kW
2017-07-05T00:00:00-06:00,33.99809646606445 kW
2017-07-06T00:00:00-06:00,40.234073638916016 kW
2017-07-07T00:00:00-06:00,32.337921142578125 kW
2017-07-08T00:00:00-06:00,28.693561553955078 kW
2017-07-09T00:00:00-06:00,27.918006896972656 kW
2017-07-10T00:00:00-06:00,36.19081497192383 kW
2017-07-11T00:00:00-06:00,41.13758087158203 kW
2017-07-12T00:00:00-06:00,40.79362106323242 kW
2017-07-13T00:00:00-06:00,45.964332580566406 kW
2017-07-14T00:00:00-06:00,37.535247802734375 kW
2017-07-15T00:00:00-06:00,28.289730072021484 kW
2017-07-16T00:00:00-06:00,26.58319854736328 kW
2017-07-17T00:00:00-06:00,36.21527099609375 kW
2017-07-18T00:00:00-06:00,43.27958679199219 kW
2017-07-19T00:00:00-06:00,42.17460250854492 kW
2017-07-20T00:00:00-06:00,43.36087417602539 kW
2017-07-21T00:00:00-06:00,42.99161148071289 kW
2017-07-22T00:00:00-06:00,33.33720779418945 kW
2017-07-23T00:00:00-06:00,33.82986831665039 kW
2017-07-24T00:00:00-06:00,28.93838882446289 kW
2017-07-25T00:00:00-06:00,41.704139709472656 kW
2017-07-26T00:00:00-06:00,53.722259521484375 kW
2017-07-27T00:00:00-06:00,46.48603439331055 kW
2017-07-28T00:00:00-06:00,37.81645965576172 kW
2017-07-29T00:00:00-06:00,29.40696907043457 kW
2017-07-30T00:00:00-06:00,27.547195434570312 kW
2017-07-31T00:00:00-06:00,38.62568283081055 kW
2017-08-01T00:00:00-06:00,46.291046142578125 kW
2017-08-02T00:00:00-06:00,44.28850173950195 kW
2017-08-03T00:00:00-06:00,38.393943786621094 kW
2017-08-04T00:00:00-06:00,35.93144989013672 kW
2017-08-05T00:00:00-06:00,29.434593200683594 kW
2017-08-06T00:00:00-06:00,27.783966064453125 kW
2017-08-07T00:00:00-06:00,35.93502426147461 kW
2017-08-08T00:00:00-06:00,39.169437408447266 kW
2017-08-09T00:00:00-06:00,36.947853088378906 kW
2017-08-10T00:00:00-06:00,40.454559326171875 kW
2017-08-11T00:00:00-06:00,31.728221893310547 kW
2017-08-12T00:00:00-06:00,28.493505477905273 kW
2017-08-13T00:00:00-06:00,33.79521942138672 kW
2017-08-14T00:00:00-06:00,36.23563003540039 kW
2017-08-15T00:00:00-06:00,37.16126251220703 kW
2017-08-16T00:00:00-06:00,42.627586364746094 kW
2017-08-17T00:00:00-06:00,36.3173942565918 kW
2017-08-18T00:00:00-06:00,39.772762298583984 kW
2017-08-19T00:00:00-06:00,31.404706954956055 kW
2017-08-20T00:00:00-06:00,29.943580627441406 kW
2017-08-21T00:00:00-06:00,44.65808868408203 kW
2017-08-22T00:00:00-06:00,44.74439239501953 kW
2017-08-23T00:00:00-06:00,50.121341705322266 kW
2017-08-24T00:00:00-06:00,47.2071533203125 kW
2017-08-25T00:00:00-06:00,50.64974594116211 kW
2017-08-26T00:00:00-06:00,31.756223678588867 kW
2017-08-27T00:00:00-06:00,34.65966796875 kW
2017-08-28T00:00:00-06:00,54.75611114501953 kW
2017-08-29T00:00:00-06:00,59.91432189941406 kW
2017-08-30T00:00:00-06:00,58.00093078613281 kW
2017-08-31T00:00:00-06:00,52.595123291015625 kW
2017-09-01T00:00:00-06:00,52.697052001953125 kW
2017-09-02T00:00:00-06:00,36.59180450439453 kW
2017-09-03T00:00:00-06:00,31.753660202026367 kW
2017-09-04T00:00:00-06:00,34.29254150390625 kW
2017-09-05T00:00:00-06:00,51.09056854248047 kW
2017-09-06T00:00:00-06:00,55.37971878051758 kW
2017-09-07T00:00:00-06:00,50.293190002441406 kW
2017-09-08T00:00:00-06:00,53.72658920288086 kW
2017-09-09T00:00:00-06:00,48.0633544921875 kW
2017-09-10T00:00:00-06:00,36.230186462402344 kW
2017-09-11T00:00:00-06:00,59.73812484741211 kW
2017-09-12T00:00:00-06:00,55.16450500488281 kW
2017-09-13T00:00:00-06:00,57.45991516113281 kW
2017-09-14T00:00:00-06:00,50.29047393798828 kW
2017-09-15T00:00:00-06:00,52.92963409423828 kW
2017-09-16T00:00:00-06:00,39.331268310546875 kW
2017-09-17T00:00:00-06:00,35.84199142456055 kW
2017-09-18T00:00:00-06:00,57.43939208984375 kW
2017-09-19T00:00:00-06:00,49.40325164794922 kW
2017-09-20T00:00:00-06:00,57.17278289794922 kW
2017-09-21T00:00:00-06:00,51.399078369140625 kW
2017-09-22T00:00:00-06:00,52.76298904418945 kW
2017-09-23T00:00:00-06:00,35.932247161865234 kW
2017-09-24T00:00:00-06:00,37.646751403808594 kW
2017-09-25T00:00:00-06:00,57.94370651245117 kW
2017-09-26T00:00:00-06:00,51.95465850830078 kW
2017-09-27T00:00:00-06:00,57.52431869506836 kW
2017-09-28T00:00:00-06:00,54.77738952636719 kW
2017-09-29T00:00:00-06:00,61.148155212402344 kW
2017-09-30T00:00:00-06:00,44.47114944458008 kW
2017-10-01T00:00:00-06:00,40.991825103759766 kW
2017-10-02T00:00:00-06:00,54.900569915771484 kW
2017-10-03T00:00:00-06:00,50.769596099853516 kW
2017-10-04T00:00:00-06:00,53.511905670166016 kW
2017-10-05T00:00:00-06:00,49.03015899658203 kW
2017-10-06T00:00:00-06:00,50.10178756713867 kW
2017-10-07T00:00:00-06:00,32.86066436767578 kW
2017-10-08T00:00:00-06:00,32.19369888305664 kW
2017-10-09T00:00:00-06:00,40.67201232910156 kW
2017-10-10T00:00:00-06:00,40.50617218017578 kW
2017-10-11T00:00:00-06:00,39.4604606628418 kW
2017-10-12T00:00:00-06:00,38.159515380859375 kW
2017-10-13T00:00:00-06:00,39.734832763671875 kW
2017-10-14T00:00:00-06:00,40.112449645996094 kW
2017-10-15T00:00:00-06:00,33.20458984375 kW
2017-10-16T00:00:00-06:00,57.37285614013672 kW
2017-10-17T00:00:00-06:00,56.830631256103516 kW
2017-10-18T00:00:00-06:00,63.38697814941406 kW
2017-10-19T00:00:00-06:00,70.29029083251953 kW
2017-10-20T00:00:00-06:00,55.15877914428711 kW
2017-10-21T00:00:00-06:00,38.36583709716797 kW
2017-10-22T00:00:00-06:00,36.968318939208984 kW
2017-10-23T00:00:00-06:00,55.19437026977539 kW
2017-10-24T00:00:00-06:00,56.84007263183594 kW
2017-10-25T00:00:00-06:00,53.25193786621094 kW
2017-10-26T00:00:00-06:00,58.864845275878906 kW
2017-10-27T00:00:00-06:00,59.428077697753906 kW
2017-10-28T00:00:00-06:00,37.493228912353516 kW
2017-10-29T00:00:00-06:00,34.56376266479492 kW
2017-10-30T00:00:00-06:00,58.340919494628906 kW
2017-10-31T00:00:00-06:00,44.70166015625 kW
2017-11-01T00:00:00-06:00,51.33242416381836 kW
2017-11-02T00:00:00-06:00,49.31960678100586 kW
2017-11-03T00:00:00-06:00,53.61522674560547 kW
2017-11-04T00:00:00-06:00,40.04024124145508 kW
2017-11-05T00:00:00-06:00,38.19978332519531 kW
2017-11-06T00:00:00-07:00,58.71660614013672 kW
2017-11-07T00:00:00-07:00,53.14337921142578 kW
2017-11-08T00:00:00-07:00,74.56149291992188 kW
2017-11-09T00:00:00-07:00,56.13523864746094 kW
2017-11-10T00:00:00-07:00,50.65989303588867 kW
2017-11-11T00:00:00-07:00,40.52639389038086 kW
2017-11-12T00:00:00-07:00,37.54050064086914 kW
2017-11-13T00:00:00-07:00,53.03536605834961 kW
2017-11-14T00:00:00-07:00,52.21650314331055 kW
2017-11-15T00:00:00-07:00,57.192466735839844 kW
2017-11-16T00:00:00-07:00,59.92898178100586 kW
2017-11-17T00:00:00-07:00,56.94894790649414 kW
2017-11-18T00:00:00-07:00,36.724609375 kW
2017-11-19T00:00:00-07:00,39.65191650390625 kW
2017-11-20T00:00:00-07:00,64.47083282470703 kW
2017-11-21T00:00:00-07:00,53.00788116455078 kW
2017-11-22T00:00:00-07:00,54.725189208984375 kW
2017-11-23T00:00:00-07:00,41.591461181640625 kW
2017-11-24T00:00:00-07:00,35.016761779785156 kW
2017-11-25T00:00:00-07:00,38.7577018737793 kW
2017-11-26T00:00:00-07:00,37.65216064453125 kW
2017-11-27T00:00:00-07:00,57.72383499145508 kW
2017-11-28T00:00:00-07:00,55.11068344116211 kW
2017-11-29T00:00:00-07:00,62.11383056640625 kW
2017-11-30T00:00:00-07:00,61.52421188354492 kW
2017-12-01T00:00:00-07:00,59.974327087402344 kW
2017-12-02T00:00:00-07:00,47.16181945800781 kW
2017-12-03T00:00:00-07:00,44.87388229370117 kW
2017-12-04T00:00:00-07:00,61.53801727294922 kW
2017-12-05T00:00:00-07:00,57.89030838012695 kW
2017-12-06T00:00:00-07:00,54.63425827026367 kW
2017-12-07T00:00:00-07:00,53.94166564941406 kW
2017-12-08T00:00:00-07:00,51.06737518310547 kW
2017-12-09T00:00:00-07:00,33.43935012817383 kW
