Timestamp,"['1ee9afaf-55750c1d 0053-OLPIN UNION Power Meter (53-1) Watts, 3-Ph total']"
2017-08-30T00:00:00-06:00,99.41926574707031 kW
2017-08-31T00:00:00-06:00,106.29651641845703 kW
2017-09-01T00:00:00-06:00,112.801513671875 kW
2017-09-02T00:00:00-06:00,100.11180114746094 kW
2017-09-03T00:00:00-06:00,110.04719543457031 kW
2017-09-04T00:00:00-06:00,109.73654174804688 kW
2017-09-05T00:00:00-06:00,107.76763916015625 kW
2017-09-06T00:00:00-06:00,100.9052505493164 kW
2017-09-07T00:00:00-06:00,126.67189025878906 kW
2017-09-08T00:00:00-06:00,110.91500854492188 kW
2017-09-09T00:00:00-06:00,100.7767333984375 kW
2017-09-10T00:00:00-06:00,48.54429626464844 kW
2017-09-11T00:00:00-06:00,114.72747039794922 kW
2017-09-12T00:00:00-06:00,108.60333251953125 kW
2017-09-13T00:00:00-06:00,109.00292205810547 kW
2017-09-14T00:00:00-06:00,104.84557342529297 kW
2017-09-15T00:00:00-06:00,57.291934967041016 kW
2017-09-16T00:00:00-06:00,47.409820556640625 kW
2017-09-17T00:00:00-06:00,45.298580169677734 kW
2017-09-18T00:00:00-06:00,58.02677917480469 kW
2017-09-19T00:00:00-06:00,57.04529571533203 kW
2017-09-20T00:00:00-06:00,57.5854377746582 kW
2017-09-21T00:00:00-06:00,56.78229522705078 kW
2017-09-22T00:00:00-06:00,52.346187591552734 kW
2017-09-23T00:00:00-06:00,44.677852630615234 kW
2017-09-24T00:00:00-06:00,43.55204772949219 kW
2017-09-25T00:00:00-06:00,54.164859771728516 kW
2017-09-26T00:00:00-06:00,58.25614929199219 kW
2017-09-27T00:00:00-06:00,58.55457305908203 kW
2017-09-28T00:00:00-06:00,55.59237289428711 kW
2017-09-29T00:00:00-06:00,57.4948616027832 kW
2017-09-30T00:00:00-06:00,46.01412582397461 kW
2017-10-01T00:00:00-06:00,43.17013168334961 kW
2017-10-02T00:00:00-06:00,55.74051284790039 kW
2017-10-03T00:00:00-06:00,56.623329162597656 kW
2017-10-04T00:00:00-06:00,61.050052642822266 kW
2017-10-05T00:00:00-06:00,58.58555603027344 kW
2017-10-06T00:00:00-06:00,57.09934616088867 kW
2017-10-07T00:00:00-06:00,52.44437789916992 kW
2017-10-08T00:00:00-06:00,42.240325927734375 kW
2017-10-09T00:00:00-06:00,51.6745719909668 kW
2017-10-10T00:00:00-06:00,52.88246154785156 kW
2017-10-11T00:00:00-06:00,52.5701904296875 kW
2017-10-12T00:00:00-06:00,53.09746170043945 kW
2017-10-13T00:00:00-06:00,53.916847229003906 kW
2017-10-14T00:00:00-06:00,47.312557220458984 kW
2017-10-15T00:00:00-06:00,41.978782653808594 kW
2017-10-16T00:00:00-06:00,57.65898513793945 kW
2017-10-17T00:00:00-06:00,55.616641998291016 kW
2017-10-18T00:00:00-06:00,56.03288269042969 kW
2017-10-19T00:00:00-06:00,55.947689056396484 kW
2017-10-20T00:00:00-06:00,53.70858383178711 kW
2017-10-21T00:00:00-06:00,47.81007385253906 kW
2017-10-22T00:00:00-06:00,47.597530364990234 kW
2017-10-23T00:00:00-06:00,58.91692352294922 kW
2017-10-24T00:00:00-06:00,57.95805740356445 kW
2017-10-25T00:00:00-06:00,57.8079719543457 kW
2017-10-26T00:00:00-06:00,56.49827194213867 kW
2017-10-27T00:00:00-06:00,104.37861633300781 kW
2017-10-28T00:00:00-06:00,48.4802360534668 kW
2017-10-29T00:00:00-06:00,46.80226516723633 kW
2017-10-30T00:00:00-06:00,54.289859771728516 kW
2017-10-31T00:00:00-06:00,56.60210037231445 kW
2017-11-01T00:00:00-06:00,57.123294830322266 kW
2017-11-02T00:00:00-06:00,55.727935791015625 kW
2017-11-03T00:00:00-06:00,53.60923767089844 kW
2017-11-04T00:00:00-06:00,44.79494094848633 kW
2017-11-05T00:00:00-06:00,44.68464279174805 kW
2017-11-06T00:00:00-07:00,54.13727951049805 kW
2017-11-07T00:00:00-07:00,54.852821350097656 kW
2017-11-08T00:00:00-07:00,57.839317321777344 kW
2017-11-09T00:00:00-07:00,56.628360748291016 kW
2017-11-10T00:00:00-07:00,57.82617950439453 kW
2017-11-11T00:00:00-07:00,49.85386657714844 kW
2017-11-12T00:00:00-07:00,44.95100784301758 kW
2017-11-13T00:00:00-07:00,57.29648208618164 kW
2017-11-14T00:00:00-07:00,56.34318542480469 kW
2017-11-15T00:00:00-07:00,57.589332580566406 kW
2017-11-16T00:00:00-07:00,53.89408493041992 kW
2017-11-17T00:00:00-07:00,56.30342483520508 kW
2017-11-18T00:00:00-07:00,48.4250373840332 kW
2017-11-19T00:00:00-07:00,45.47084426879883 kW
2017-11-20T00:00:00-07:00,57.932830810546875 kW
2017-11-21T00:00:00-07:00,56.464759826660156 kW
2017-11-22T00:00:00-07:00,56.21053695678711 kW
2017-11-23T00:00:00-07:00,39.463897705078125 kW
2017-11-24T00:00:00-07:00,45.68565368652344 kW
2017-11-25T00:00:00-07:00,44.5224609375 kW
2017-11-26T00:00:00-07:00,44.167633056640625 kW
2017-11-27T00:00:00-07:00,55.33167266845703 kW
2017-11-28T00:00:00-07:00,56.638214111328125 kW
2017-11-29T00:00:00-07:00,58.41700744628906 kW
2017-11-30T00:00:00-07:00,56.484310150146484 kW
2017-12-01T00:00:00-07:00,56.07286071777344 kW
2017-12-02T00:00:00-07:00,46.52201461791992 kW
2017-12-03T00:00:00-07:00,44.678897857666016 kW
2017-12-04T00:00:00-07:00,55.05910110473633 kW
2017-12-05T00:00:00-07:00,54.91805648803711 kW
2017-12-06T00:00:00-07:00,60.936073303222656 kW
2017-12-07T00:00:00-07:00,56.107940673828125 kW
2017-12-08T00:00:00-07:00,57.814937591552734 kW
2017-12-09T00:00:00-07:00,47.1268196105957 kW
2017-12-10T00:00:00-07:00,49.799217224121094 kW
2017-12-11T00:00:00-07:00,53.98652267456055 kW
2017-12-12T00:00:00-07:00,52.92970275878906 kW
2017-12-13T00:00:00-07:00,54.25647735595703 kW
2017-12-14T00:00:00-07:00,55.87754821777344 kW
2017-12-15T00:00:00-07:00,50.87976837158203 kW
2017-12-16T00:00:00-07:00,44.81205368041992 kW
2017-12-17T00:00:00-07:00,39.097347259521484 kW
2017-12-18T00:00:00-07:00,50.408538818359375 kW
2017-12-19T00:00:00-07:00,52.49055480957031 kW
2017-12-20T00:00:00-07:00,53.8816032409668 kW
2017-12-21T00:00:00-07:00,52.88902282714844 kW
2017-12-22T00:00:00-07:00,49.38192367553711 kW
2017-12-23T00:00:00-07:00,38.3879508972168 kW
2017-12-24T00:00:00-07:00,35.48067855834961 kW
2017-12-25T00:00:00-07:00,34.986961364746094 kW
2017-12-26T00:00:00-07:00,39.65234375 kW
2017-12-27T00:00:00-07:00,47.14807891845703 kW
2017-12-28T00:00:00-07:00,46.912696838378906 kW
2017-12-29T00:00:00-07:00,38.072139739990234 kW
2017-12-30T00:00:00-07:00,35.78727722167969 kW
2017-12-31T00:00:00-07:00,36.99006652832031 kW
