Timestamp,['1cac6e72-635e4129 0011-BROWNING BLDG Power Meter 311945 Current A']
2017-09-05T00:00:00-06:00,122.63255320125155 A
2017-09-06T00:00:00-06:00,122.65878047598254 A
2017-09-07T00:00:00-06:00,122.61359205245972 A
2017-09-08T00:00:00-06:00,122.77020554239311 A
2017-09-09T00:00:00-06:00,122.7468151834276 A
2017-09-10T00:00:00-06:00,122.81848525471158 A
2017-09-11T00:00:00-06:00,122.6039115746816 A
2017-09-12T00:00:00-06:00,122.81533890830146 A
2017-09-13T00:00:00-06:00,122.65389035012987 A
2017-09-14T00:00:00-06:00,122.79031806521945 A
2017-09-15T00:00:00-06:00,122.77032533751594 A
2017-09-16T00:00:00-06:00,122.93591702249316 A
2017-09-17T00:00:00-06:00,122.6611536026001 A
2017-09-18T00:00:00-06:00,122.81223555670844 A
2017-09-19T00:00:00-06:00,122.6453917450375 A
2017-09-20T00:00:00-06:00,122.76584771474202 A
2017-09-21T00:00:00-06:00,122.84102218416002 A
2017-09-22T00:00:00-06:00,122.80522547827826 A
2017-09-23T00:00:00-06:00,122.87908778190612 A
2017-09-24T00:00:00-06:00,122.75335610707602 A
2017-09-25T00:00:00-06:00,122.93250154389276 A
2017-09-26T00:00:00-06:00,122.73555854691399 A
2017-09-27T00:00:00-06:00,122.75067862404717 A
2017-09-28T00:00:00-06:00,122.56970371140375 A
2017-09-29T00:00:00-06:00,122.6173100789388 A
2017-09-30T00:00:00-06:00,122.71370665232341 A
2017-10-01T00:00:00-06:00,122.69436083899603 A
2017-10-02T00:00:00-06:00,122.74611081547208 A
2017-10-03T00:00:00-06:00,122.76724359194438 A
2017-10-04T00:00:00-06:00,122.57135379579333 A
2017-10-05T00:00:00-06:00,122.73219956292047 A
2017-10-06T00:00:00-06:00,122.65898240407309 A
2017-10-07T00:00:00-06:00,122.65908011330498 A
2017-10-08T00:00:00-06:00,122.79088066948785 A
2017-10-09T00:00:00-06:00,122.65155197779337 A
2017-10-10T00:00:00-06:00,122.78197988933987 A
2017-10-11T00:00:00-06:00,122.55107798046537 A
2017-10-12T00:00:00-06:00,122.76423964500427 A
2017-10-13T00:00:00-06:00,122.71461958885193 A
2017-10-14T00:00:00-06:00,122.7226446363661 A
2017-10-15T00:00:00-06:00,122.74046314027575 A
2017-10-16T00:00:00-06:00,122.85235708554586 A
2017-10-17T00:00:00-06:00,122.78769529130724 A
2017-10-18T00:00:00-06:00,122.74486973550584 A
2017-10-19T00:00:00-06:00,122.79280535380046 A
2017-10-20T00:00:00-06:00,122.74409176508586 A
2017-10-21T00:00:00-06:00,122.73061271773445 A
2017-10-22T00:00:00-06:00,122.74134849442376 A
2017-10-23T00:00:00-06:00,122.68815693855285 A
2017-10-24T00:00:00-06:00,122.63153433269925 A
2017-10-25T00:00:00-06:00,122.66413074599372 A
2017-10-26T00:00:00-06:00,122.74929752879673 A
2017-10-27T00:00:00-06:00,122.77235271665785 A
2017-10-28T00:00:00-06:00,122.66745806270175 A
2017-10-29T00:00:00-06:00,122.80916806856791 A
2017-10-30T00:00:00-06:00,122.81072622934977 A
2017-10-31T00:00:00-06:00,122.7820420159234 A
2017-11-01T00:00:00-06:00,122.79389237297906 A
2017-11-02T00:00:00-06:00,122.80303371747335 A
2017-11-03T00:00:00-06:00,122.69978564050463 A
2017-11-04T00:00:00-06:00,122.79764431317648 A
2017-11-05T00:00:00-06:00,122.68516906229655 A
2017-11-06T00:00:00-07:00,122.65699562496609 A
2017-11-07T00:00:00-07:00,122.58925580448575 A
2017-11-08T00:00:00-07:00,122.65738859706455 A
2017-11-09T00:00:00-07:00,122.84103582831536 A
2017-11-10T00:00:00-07:00,122.81441308127509 A
2017-11-11T00:00:00-07:00,122.63249826961093 A
2017-11-12T00:00:00-07:00,122.74695252079862 A
2017-11-13T00:00:00-07:00,122.79567538367377 A
2017-11-14T00:00:00-07:00,123.02931598557366 A
2017-11-15T00:00:00-07:00,122.71570490201314 A
2017-11-16T00:00:00-07:00,122.67359301779005 A
2017-11-17T00:00:00-07:00,122.77258172035218 A
2017-11-18T00:00:00-07:00,122.8152810573578 A
2017-11-19T00:00:00-07:00,122.85740214983622 A
2017-11-20T00:00:00-07:00,122.72416076660156 A
2017-11-21T00:00:00-07:00,122.6914563761817 A
2017-11-22T00:00:00-07:00,122.65626090367635 A
2017-11-23T00:00:00-07:00,122.8861909813351 A
2017-11-24T00:00:00-07:00,122.83372132513259 A
2017-11-25T00:00:00-07:00,122.6697629875607 A
2017-11-26T00:00:00-07:00,122.81176533169217 A
2017-11-27T00:00:00-07:00,122.6818686220381 A
2017-11-28T00:00:00-07:00,122.70344994333055 A
2017-11-29T00:00:00-07:00,122.78090226915148 A
2017-11-30T00:00:00-07:00,122.82758628527323 A
2017-12-01T00:00:00-07:00,122.64785696135627 A
2017-12-02T00:00:00-07:00,122.73690200911628 A
2017-12-03T00:00:00-07:00,122.73473881085714 A
2017-12-04T00:00:00-07:00,122.80336666636997 A
2017-12-05T00:00:00-07:00,122.67199682659573 A
2017-12-06T00:00:00-07:00,122.51869428952536 A
2017-12-07T00:00:00-07:00,122.57559627956815 A
2017-12-08T00:00:00-07:00,122.63559373219807 A
2017-12-09T00:00:00-07:00,122.78211338784959 A
2017-12-10T00:00:00-07:00,122.77932488653394 A
2017-12-11T00:00:00-07:00,122.85643095970154 A
2017-12-12T00:00:00-07:00,122.68266985151503 A
2017-12-13T00:00:00-07:00,123.02106713189019 A
2017-12-14T00:00:00-07:00,122.86976432800293 A
2017-12-15T00:00:00-07:00,122.8110248512692 A
2017-12-16T00:00:00-07:00,122.88810530099876 A
2017-12-17T00:00:00-07:00,122.89075207180447 A
2017-12-18T00:00:00-07:00,122.9252587563651 A
2017-12-19T00:00:00-07:00,122.80806600252787 A
2017-12-20T00:00:00-07:00,122.79542968538073 A
2017-12-21T00:00:00-07:00,122.87261952294244 A
2017-12-22T00:00:00-07:00,122.91568690405951 A
2017-12-23T00:00:00-07:00,122.77654721471998 A
2017-12-24T00:00:00-07:00,122.9914751264784 A
2017-12-25T00:00:00-07:00,122.91171239746942 A
2017-12-26T00:00:00-07:00,122.94716575410631 A
2017-12-27T00:00:00-07:00,122.93335478040908 A
2017-12-28T00:00:00-07:00,122.91077341503568 A
2017-12-29T00:00:00-07:00,122.78938795195685 A
2017-12-30T00:00:00-07:00,122.81772072050306 A
2017-12-31T00:00:00-07:00,122.8567621337043 A
