Timestamp,['1d0db265-7a034479 0025-SOCIAL & BEHAVIORAL SCIENCES Power Meter 300051 Current A']
2017-08-27T00:00:00-06:00,228.55964318911234 A
2017-08-28T00:00:00-06:00,263.819262677973 A
2017-08-29T00:00:00-06:00,281.01166475736176 A
2017-08-30T00:00:00-06:00,295.1429316997528 A
2017-08-31T00:00:00-06:00,282.814968585968 A
2017-09-01T00:00:00-06:00,257.60538400629514 A
2017-09-02T00:00:00-06:00,222.06732266074732 A
2017-09-03T00:00:00-06:00,236.07151928576795 A
2017-09-04T00:00:00-06:00,268.16515986124676 A
2017-09-05T00:00:00-06:00,274.5612680912018 A
2017-09-06T00:00:00-06:00,272.6679210462068 A
2017-09-07T00:00:00-06:00,271.8959701855977 A
2017-09-08T00:00:00-06:00,275.0970649719238 A
2017-09-09T00:00:00-06:00,223.82332511570144 A
2017-09-10T00:00:00-06:00,220.58264619560651 A
2017-09-11T00:00:00-06:00,272.31598727577614 A
2017-09-12T00:00:00-06:00,272.150311118678 A
2017-09-13T00:00:00-06:00,272.5544624328613 A
2017-09-14T00:00:00-06:00,270.3765154899435 A
2017-09-15T00:00:00-06:00,214.69969843814246 A
2017-09-16T00:00:00-06:00,171.9194923802426 A
2017-09-17T00:00:00-06:00,183.6839828491211 A
2017-09-18T00:00:00-06:00,260.8320052297492 A
2017-09-19T00:00:00-06:00,202.83109291478206 A
2017-09-20T00:00:00-06:00,219.81155652497944 A
2017-09-21T00:00:00-06:00,170.4642874535094 A
2017-09-22T00:00:00-06:00,125.19152347246806 A
2017-09-23T00:00:00-06:00,87.22904574617426 A
2017-09-24T00:00:00-06:00,86.12620043754578 A
2017-09-25T00:00:00-06:00,109.9302355314556 A
2017-09-26T00:00:00-06:00,161.5599829021253 A
2017-09-27T00:00:00-06:00,169.39073626869603 A
2017-09-28T00:00:00-06:00,192.36058257728496 A
2017-09-29T00:00:00-06:00,220.8043853441874 A
2017-09-30T00:00:00-06:00,182.54680243782374 A
2017-10-01T00:00:00-06:00,91.34441707980248 A
2017-10-02T00:00:00-06:00,100.8842538992564 A
2017-10-03T00:00:00-06:00,153.56371370951334 A
2017-10-04T00:00:00-06:00,185.90941033614308 A
2017-10-05T00:00:00-06:00,110.23508274555206 A
2017-10-06T00:00:00-06:00,158.24723446494656 A
2017-10-07T00:00:00-06:00,97.65877284560092 A
2017-10-08T00:00:00-06:00,91.79194674284562 A
2017-10-09T00:00:00-06:00,104.86464169150905 A
2017-10-10T00:00:00-06:00,142.58502189234684 A
2017-10-11T00:00:00-06:00,186.03289774630932 A
2017-10-12T00:00:00-06:00,107.45923803229081 A
2017-10-13T00:00:00-06:00,110.34231734275818 A
2017-10-14T00:00:00-06:00,87.52133234341939 A
2017-10-15T00:00:00-06:00,91.64901080030076 A
2017-10-16T00:00:00-06:00,111.84755392869313 A
2017-10-17T00:00:00-06:00,139.40818701399132 A
2017-10-18T00:00:00-06:00,180.34948466686492 A
2017-10-19T00:00:00-06:00,194.3898596512644 A
2017-10-20T00:00:00-06:00,170.17140151129828 A
2017-10-21T00:00:00-06:00,93.22997776667277 A
2017-10-22T00:00:00-06:00,144.12599583675987 A
2017-10-23T00:00:00-06:00,168.67899186876085 A
2017-10-24T00:00:00-06:00,147.20617487054122 A
2017-10-25T00:00:00-06:00,161.416595097592 A
2017-10-26T00:00:00-06:00,118.27607903731497 A
2017-10-27T00:00:00-06:00,135.753089149793 A
2017-10-28T00:00:00-06:00,95.76587828000386 A
2017-10-29T00:00:00-06:00,100.34849667549133 A
2017-10-30T00:00:00-06:00,116.87235717773437 A
2017-10-31T00:00:00-06:00,109.32956085205078 A
2017-11-01T00:00:00-06:00,111.0513761440913 A
2017-11-02T00:00:00-06:00,112.2391270796458 A
2017-11-03T00:00:00-06:00,114.04602551460266 A
2017-11-04T00:00:00-06:00,93.22997415065765 A
2017-11-05T00:00:00-06:00,89.8659557723999 A
2017-11-06T00:00:00-07:00,109.63708070913951 A
2017-11-07T00:00:00-07:00,110.42288974920909 A
2017-11-08T00:00:00-07:00,108.67844680945079 A
2017-11-09T00:00:00-07:00,111.20616789658864 A
2017-11-10T00:00:00-07:00,108.59340210755666 A
2017-11-11T00:00:00-07:00,90.89395642280579 A
2017-11-12T00:00:00-07:00,91.63349250952403 A
2017-11-13T00:00:00-07:00,111.97278428077698 A
2017-11-14T00:00:00-07:00,112.67995691299438 A
2017-11-15T00:00:00-07:00,112.48859723409016 A
2017-11-16T00:00:00-07:00,116.97506368160248 A
2017-11-17T00:00:00-07:00,112.48811312223735 A
2017-11-18T00:00:00-07:00,107.70784938335419 A
2017-11-19T00:00:00-07:00,116.4014019171397 A
2017-11-20T00:00:00-07:00,122.65796613693237 A
2017-11-21T00:00:00-07:00,125.49590094884236 A
2017-11-22T00:00:00-07:00,127.32556049029033 A
2017-11-23T00:00:00-07:00,125.38046566645305 A
2017-11-24T00:00:00-07:00,126.12014142672221 A
