Timestamp,['1cc9728b-4a358825 0051-STERLING SILL CNTR Power Meter Volts AB']
2017-10-14T00:00:00-06:00,210.43645763397217 V
2017-10-15T00:00:00-06:00,210.37395826975504 V
2017-10-16T00:00:00-06:00,210.50416723887125 V
2017-10-17T00:00:00-06:00,210.3229168256124 V
2017-10-18T00:00:00-06:00,210.64374987284342 V
2017-10-19T00:00:00-06:00,210.76249917348227 V
2017-10-20T00:00:00-06:00,210.40208339691162 V
2017-10-21T00:00:00-06:00,210.60416650772095 V
2017-10-22T00:00:00-06:00,210.44895776112875 V
2017-10-23T00:00:00-06:00,210.7031251589457 V
2017-10-24T00:00:00-06:00,210.50312423706055 V
2017-10-25T00:00:00-06:00,210.55312506357828 V
2017-10-26T00:00:00-06:00,210.37604173024496 V
2017-10-27T00:00:00-06:00,210.47291660308838 V
2017-10-28T00:00:00-06:00,210.39791615804037 V
2017-10-29T00:00:00-06:00,210.34479157129923 V
2017-10-30T00:00:00-06:00,210.64062452316284 V
2017-10-31T00:00:00-06:00,210.72708368301392 V
2017-11-01T00:00:00-06:00,210.30625041325888 V
2017-11-02T00:00:00-06:00,210.60625012715658 V
2017-11-03T00:00:00-06:00,210.64999945958456 V
2017-11-04T00:00:00-06:00,210.61770836512247 V
2017-11-05T00:00:00-06:00,210.80199966430663 V
2017-11-06T00:00:00-07:00,210.80312410990396 V
2017-11-07T00:00:00-07:00,210.8385419845581 V
2017-11-08T00:00:00-07:00,210.7302082379659 V
2017-11-09T00:00:00-07:00,210.68541749318442 V
2017-11-10T00:00:00-07:00,211.11562538146973 V
2017-11-11T00:00:00-07:00,211.03333266576132 V
2017-11-12T00:00:00-07:00,211.08437522252402 V
2017-11-13T00:00:00-07:00,210.84479220708212 V
2017-11-14T00:00:00-07:00,211.17499987284342 V
2017-11-15T00:00:00-07:00,210.87604204813638 V
2017-11-16T00:00:00-07:00,210.609375 V
2017-11-17T00:00:00-07:00,210.64687458674112 V
2017-11-18T00:00:00-07:00,210.97812493642172 V
2017-11-19T00:00:00-07:00,211.00000047683716 V
2017-11-20T00:00:00-07:00,210.9687501589457 V
2017-11-21T00:00:00-07:00,210.99687592188516 V
2017-11-22T00:00:00-07:00,210.9302077293396 V
2017-11-23T00:00:00-07:00,210.9645822842916 V
2017-11-24T00:00:00-07:00,211.0364589691162 V
2017-11-25T00:00:00-07:00,210.89583285649618 V
2017-11-26T00:00:00-07:00,211.0833339691162 V
2017-11-27T00:00:00-07:00,211.00000063578287 V
2017-11-28T00:00:00-07:00,210.9718747138977 V
2017-11-29T00:00:00-07:00,210.80104144414267 V
2017-11-30T00:00:00-07:00,211.0572919845581 V
2017-12-01T00:00:00-07:00,210.74166695276895 V
2017-12-02T00:00:00-07:00,210.78437519073486 V
2017-12-03T00:00:00-07:00,211.0510417620341 V
2017-12-04T00:00:00-07:00,210.83125003178915 V
2017-12-05T00:00:00-07:00,210.93020820617676 V
2017-12-06T00:00:00-07:00,210.86875041325888 V
2017-12-07T00:00:00-07:00,210.8708332379659 V
2017-12-08T00:00:00-07:00,210.71458260218301 V
2017-12-09T00:00:00-07:00,210.82291714350382 V
2017-12-10T00:00:00-07:00,210.95104122161865 V
2017-12-11T00:00:00-07:00,211.0031255086263 V
2017-12-12T00:00:00-07:00,210.63437509536743 V
2017-12-13T00:00:00-07:00,211.08125019073486 V
2017-12-14T00:00:00-07:00,210.9687498410543 V
2017-12-15T00:00:00-07:00,211.09791644414267 V
2017-12-16T00:00:00-07:00,210.97812509536743 V
2017-12-17T00:00:00-07:00,210.85312461853027 V
2017-12-18T00:00:00-07:00,210.64085946031796 V
2017-12-19T00:00:00-07:00,210.9218757947286 V
2017-12-20T00:00:00-07:00,210.89375019073486 V
2017-12-21T00:00:00-07:00,210.94374974568686 V
2017-12-22T00:00:00-07:00,211.06458377838135 V
2017-12-23T00:00:00-07:00,210.77604134877524 V
2017-12-24T00:00:00-07:00,211.0156248410543 V
2017-12-25T00:00:00-07:00,211.2614582379659 V
2017-12-26T00:00:00-07:00,211.2947916984558 V
2017-12-27T00:00:00-07:00,210.50104220708212 V
2017-12-28T00:00:00-07:00,211.19062519073486 V
2017-12-29T00:00:00-07:00,210.85729185740152 V
2017-12-30T00:00:00-07:00,211.21041599909464 V
2017-12-31T00:00:00-07:00,210.9020832379659 V
