Timestamp,['1f7d6d19-0b278e9b 0372-KENNECOTT MECH ENG BLDG Power Meter 300345 Current C']
2017-08-04T00:00:00-06:00,282.6510989010989 A
2017-08-05T00:00:00-06:00,265.484375 A
2017-08-06T00:00:00-06:00,250.34375 A
2017-08-07T00:00:00-06:00,261.2252604166667 A
2017-08-08T00:00:00-06:00,256.3294270833333 A
2017-08-09T00:00:00-06:00,260.5572916666667 A
2017-08-10T00:00:00-06:00,264.45212765957444 A
2017-08-11T00:00:00-06:00,273.12368421052633 A
2017-08-12T00:00:00-06:00,267.1341145833333 A
2017-08-13T00:00:00-06:00,261.5130208333333 A
2017-08-14T00:00:00-06:00,256.2005208333333 A
2017-08-15T00:00:00-06:00,248.8046875 A
2017-08-16T00:00:00-06:00,245.5703125 A
2017-08-17T00:00:00-06:00,264.1184895833333 A
2017-08-18T00:00:00-06:00,274.2044270833333 A
2017-08-19T00:00:00-06:00,267.2890625 A
2017-08-20T00:00:00-06:00,275.2213541666667 A
2017-08-21T00:00:00-06:00,294.0598958333333 A
2017-08-22T00:00:00-06:00,294.5364583333333 A
2017-08-23T00:00:00-06:00,261.17578125 A
2017-08-24T00:00:00-06:00,200.93098958333334 A
2017-08-25T00:00:00-06:00,275.3854166666667 A
2017-08-26T00:00:00-06:00,291.3854166666667 A
2017-08-27T00:00:00-06:00,285.8645833333333 A
2017-08-28T00:00:00-06:00,304.8369565217391 A
2017-08-29T00:00:00-06:00,309.65860215053766 A
2017-08-30T00:00:00-06:00,305.1822916666667 A
2017-08-31T00:00:00-06:00,262.2408854166667 A
2017-09-01T00:00:00-06:00,270.1119791666667 A
2017-09-02T00:00:00-06:00,245.03776041666666 A
2017-09-03T00:00:00-06:00,256.6901041666667 A
2017-09-04T00:00:00-06:00,245.07942708333334 A
2017-09-05T00:00:00-06:00,271.3645833333333 A
2017-09-06T00:00:00-06:00,296.20703125 A
2017-09-07T00:00:00-06:00,289.7669270833333 A
2017-09-08T00:00:00-06:00,278.9684210526316 A
2017-09-09T00:00:00-06:00,251.42057291666666 A
2017-09-10T00:00:00-06:00,244.72135416666666 A
2017-09-11T00:00:00-06:00,252.36588541666666 A
2017-09-12T00:00:00-06:00,206.31119791666666 A
2017-09-13T00:00:00-06:00,216.51432291666666 A
2017-09-14T00:00:00-06:00,213.97005208333334 A
2017-09-15T00:00:00-06:00,209.54947916666666 A
2017-09-16T00:00:00-06:00,175.68489583333334 A
2017-09-17T00:00:00-06:00,196.04036458333334 A
2017-09-18T00:00:00-06:00,250.53255208333334 A
2017-09-19T00:00:00-06:00,182.72135416666666 A
2017-09-20T00:00:00-06:00,213.88020833333334 A
2017-09-21T00:00:00-06:00,173.34765625 A
2017-09-22T00:00:00-06:00,190.27604166666666 A
2017-09-23T00:00:00-06:00,154.359375 A
2017-09-24T00:00:00-06:00,153.30859375 A
2017-09-25T00:00:00-06:00,185.48177083333334 A
2017-09-26T00:00:00-06:00,201.3359375 A
2017-09-27T00:00:00-06:00,198.86588541666666 A
2017-09-28T00:00:00-06:00,199.99348958333334 A
2017-09-29T00:00:00-06:00,206.27994791666666 A
2017-09-30T00:00:00-06:00,155.86458333333334 A
2017-10-01T00:00:00-06:00,150.4921875 A
2017-10-02T00:00:00-06:00,179.17578125 A
2017-10-03T00:00:00-06:00,182.56119791666666 A
2017-10-04T00:00:00-06:00,176.0625 A
2017-10-05T00:00:00-06:00,175.75260416666666 A
2017-10-06T00:00:00-06:00,167.98567708333334 A
2017-10-07T00:00:00-06:00,174.31640625 A
2017-10-08T00:00:00-06:00,153.75520833333334 A
2017-10-09T00:00:00-06:00,183.20182291666666 A
2017-10-10T00:00:00-06:00,172.18359375 A
2017-10-11T00:00:00-06:00,204.90364583333334 A
2017-10-12T00:00:00-06:00,169.29296875 A
2017-10-13T00:00:00-06:00,164.70833333333334 A
2017-10-14T00:00:00-06:00,163.31640625 A
2017-10-15T00:00:00-06:00,165.40104166666666 A
2017-10-16T00:00:00-06:00,173.5390625 A
2017-10-17T00:00:00-06:00,189.1640625 A
2017-10-18T00:00:00-06:00,183.50520833333334 A
2017-10-19T00:00:00-06:00,181.44791666666666 A
2017-10-20T00:00:00-06:00,175.57291666666666 A
2017-10-21T00:00:00-06:00,164.89973958333334 A
2017-10-22T00:00:00-06:00,155.52864583333334 A
2017-10-23T00:00:00-06:00,174.72786458333334 A
2017-10-24T00:00:00-06:00,168.53645833333334 A
2017-10-25T00:00:00-06:00,173.64583333333334 A
2017-10-26T00:00:00-06:00,171.61979166666666 A
2017-10-27T00:00:00-06:00,162.55989583333334 A
2017-10-28T00:00:00-06:00,143.140625 A
2017-10-29T00:00:00-06:00,136.90494791666666 A
2017-10-30T00:00:00-06:00,160.49348958333334 A
2017-10-31T00:00:00-06:00,157.20572916666666 A
2017-11-01T00:00:00-06:00,176.02213541666666 A
2017-11-02T00:00:00-06:00,190.08072916666666 A
2017-11-03T00:00:00-06:00,173.38151041666666 A
2017-11-04T00:00:00-06:00,148.30598958333334 A
2017-11-05T00:00:00-06:00,155.2325 A
2017-11-06T00:00:00-07:00,176.47786458333334 A
2017-11-07T00:00:00-07:00,199.3125 A
2017-11-08T00:00:00-07:00,191.8984375 A
2017-11-09T00:00:00-07:00,182.51692708333334 A
2017-11-10T00:00:00-07:00,177.30729166666666 A
2017-11-11T00:00:00-07:00,169.58984375 A
2017-11-12T00:00:00-07:00,169.30338541666666 A
2017-11-13T00:00:00-07:00,173.84244791666666 A
2017-11-14T00:00:00-07:00,170.76822916666666 A
2017-11-15T00:00:00-07:00,174.37239583333334 A
2017-11-16T00:00:00-07:00,169.85677083333334 A
2017-11-17T00:00:00-07:00,188.96875 A
2017-11-18T00:00:00-07:00,182.95052083333334 A
2017-11-19T00:00:00-07:00,185.7734375 A
2017-11-20T00:00:00-07:00,181.53385416666666 A
2017-11-21T00:00:00-07:00,170.49479166666666 A
2017-11-22T00:00:00-07:00,170.04817708333334 A
2017-11-23T00:00:00-07:00,157.09244791666666 A
2017-11-24T00:00:00-07:00,155.43098958333334 A
2017-11-25T00:00:00-07:00,158.68098958333334 A
2017-11-26T00:00:00-07:00,157.6484375 A
2017-11-27T00:00:00-07:00,186.515625 A
2017-11-28T00:00:00-07:00,184.99479166666666 A
2017-11-29T00:00:00-07:00,191.41015625 A
2017-11-30T00:00:00-07:00,186.26302083333334 A
2017-12-01T00:00:00-07:00,190.03385416666666 A
2017-12-02T00:00:00-07:00,168.30598958333334 A
2017-12-03T00:00:00-07:00,168.84765625 A
2017-12-04T00:00:00-07:00,199.90104166666666 A
2017-12-05T00:00:00-07:00,203.38541666666666 A
2017-12-06T00:00:00-07:00,201.44401041666666 A
2017-12-07T00:00:00-07:00,203.92708333333334 A
2017-12-08T00:00:00-07:00,202.796875 A
2017-12-09T00:00:00-07:00,183.01822916666666 A
2017-12-10T00:00:00-07:00,185.23958333333334 A
2017-12-11T00:00:00-07:00,199.84765625 A
2017-12-12T00:00:00-07:00,206.01692708333334 A
2017-12-13T00:00:00-07:00,211.48828125 A
2017-12-14T00:00:00-07:00,195.70182291666666 A
2017-12-15T00:00:00-07:00,190.12630208333334 A
2017-12-16T00:00:00-07:00,178.27473958333334 A
2017-12-17T00:00:00-07:00,182.58203125 A
2017-12-18T00:00:00-07:00,174.4524456521739 A
2017-12-19T00:00:00-07:00,145.42838541666666 A
2017-12-20T00:00:00-07:00,143.07942708333334 A
2017-12-21T00:00:00-07:00,151.37760416666666 A
2017-12-22T00:00:00-07:00,146.53385416666666 A
2017-12-23T00:00:00-07:00,136.34505208333334 A
2017-12-24T00:00:00-07:00,138.58463541666666 A
2017-12-25T00:00:00-07:00,134.89453125 A
2017-12-26T00:00:00-07:00,135.94270833333334 A
2017-12-27T00:00:00-07:00,140.43489583333334 A
2017-12-28T00:00:00-07:00,141.42838541666666 A
2017-12-29T00:00:00-07:00,126.11328125 A
2017-12-30T00:00:00-07:00,118.27083333333333 A
2017-12-31T00:00:00-07:00,135.02864583333334 A
