Timestamp,['1cac61c5-3151b575 0009-WIDTSOE BLDG Power Meter 1(300028) Current B']
2017-06-30T00:00:00-06:00,120.24405608629857 A
2017-07-01T00:00:00-06:00,119.27885955810547 A
2017-07-02T00:00:00-06:00,120.83848682062586 A
2017-07-03T00:00:00-06:00,124.21471933136411 A
2017-07-04T00:00:00-06:00,125.06623602377688 A
2017-07-05T00:00:00-06:00,132.15389714941185 A
2017-07-06T00:00:00-06:00,128.25476718514201 A
2017-07-07T00:00:00-06:00,142.30223657030774 A
2017-07-08T00:00:00-06:00,181.3753143846364 A
2017-07-09T00:00:00-06:00,183.05845707358807 A
2017-07-10T00:00:00-06:00,173.74535549773742 A
2017-07-11T00:00:00-06:00,117.93850475612089 A
2017-07-12T00:00:00-06:00,118.24771566330844 A
2017-07-13T00:00:00-06:00,119.23784214011755 A
2017-07-14T00:00:00-06:00,138.62556109180264 A
2017-07-15T00:00:00-06:00,106.00970187388675 A
2017-07-16T00:00:00-06:00,114.24126134349801 A
2017-07-17T00:00:00-06:00,125.40822108155821 A
2017-07-18T00:00:00-06:00,125.56091841321921 A
2017-07-19T00:00:00-06:00,121.3046579260434 A
2017-07-20T00:00:00-06:00,119.19251721538734 A
2017-07-21T00:00:00-06:00,119.37364388999156 A
2017-07-22T00:00:00-06:00,105.5059194687786 A
2017-07-23T00:00:00-06:00,106.23803172447982 A
2017-07-24T00:00:00-06:00,124.47609265964148 A
2017-07-25T00:00:00-06:00,115.89641141453396 A
2017-07-26T00:00:00-06:00,114.39303716068441 A
2017-07-27T00:00:00-06:00,113.03770134099413 A
2017-07-28T00:00:00-06:00,111.1684429428493 A
2017-07-29T00:00:00-06:00,102.37264079782697 A
2017-07-30T00:00:00-06:00,104.37381688121971 A
2017-07-31T00:00:00-06:00,122.63359155054692 A
2017-08-01T00:00:00-06:00,122.8475801984691 A
2017-08-02T00:00:00-06:00,121.17258562513354 A
2017-08-03T00:00:00-06:00,119.17278856122527 A
2017-08-04T00:00:00-06:00,116.65059685882659 A
2017-08-05T00:00:00-06:00,103.84687186388639 A
2017-08-06T00:00:00-06:00,103.38328326868643 A
2017-08-07T00:00:00-06:00,119.34756186107445 A
2017-08-08T00:00:00-06:00,120.65065429266345 A
2017-08-09T00:00:00-06:00,150.68150893007925 A
2017-08-10T00:00:00-06:00,189.62045398474612 A
2017-08-11T00:00:00-06:00,194.8445710151204 A
2017-08-12T00:00:00-06:00,181.4733999701997 A
2017-08-13T00:00:00-06:00,183.06665907440077 A
2017-08-14T00:00:00-06:00,192.0812877776775 A
2017-08-15T00:00:00-06:00,171.8623354347164 A
2017-08-16T00:00:00-06:00,175.04540856835877 A
2017-08-17T00:00:00-06:00,177.3833891448655 A
2017-08-18T00:00:00-06:00,116.24816193381945 A
2017-08-19T00:00:00-06:00,108.52128675977389 A
2017-08-20T00:00:00-06:00,109.5927320229659 A
2017-08-21T00:00:00-06:00,139.95187956832547 A
2017-08-22T00:00:00-06:00,121.88093800185113 A
2017-08-23T00:00:00-06:00,144.55227512420888 A
2017-08-24T00:00:00-06:00,124.87640685821148 A
2017-08-25T00:00:00-06:00,147.7004757948569 A
2017-08-26T00:00:00-06:00,113.85323014081489 A
2017-08-27T00:00:00-06:00,113.49361277262369 A
