Timestamp,['203f26ab-e9fc3a37 0097-DUMKE GYMNASTICS CNTR Power Meter Volts A-N']
2017-08-24T00:00:00-06:00,280.5594527395148 V
2017-08-25T00:00:00-06:00,280.5606994628906 V
2017-08-26T00:00:00-06:00,280.92659282684326 V
2017-08-27T00:00:00-06:00,280.83529059092206 V
2017-08-28T00:00:00-06:00,280.5474617250504 V
2017-08-29T00:00:00-06:00,280.5126565912718 V
2017-08-30T00:00:00-06:00,280.3771616617839 V
2017-08-31T00:00:00-06:00,280.47328154246014 V
2017-09-01T00:00:00-06:00,280.294269879659 V
2017-09-02T00:00:00-06:00,280.82021681467694 V
2017-09-03T00:00:00-06:00,281.04511483510333 V
2017-09-04T00:00:00-06:00,280.32687187194824 V
2017-09-05T00:00:00-06:00,280.44336191813153 V
2017-09-06T00:00:00-06:00,280.4173657099406 V
2017-09-07T00:00:00-06:00,280.5981864929199 V
2017-09-08T00:00:00-06:00,280.78870592619245 V
2017-09-09T00:00:00-06:00,280.9401117960612 V
2017-09-10T00:00:00-06:00,280.9009730021159 V
2017-09-11T00:00:00-06:00,280.4304618835449 V
2017-09-12T00:00:00-06:00,280.49268849690753 V
2017-09-13T00:00:00-06:00,280.3957351048787 V
2017-09-14T00:00:00-06:00,280.988426844279 V
2017-09-15T00:00:00-06:00,281.0938377380371 V
2017-09-16T00:00:00-06:00,281.5018021265666 V
2017-09-17T00:00:00-06:00,281.2039273579915 V
2017-09-18T00:00:00-06:00,280.6210355758667 V
2017-09-19T00:00:00-06:00,281.0766410827637 V
2017-09-20T00:00:00-06:00,280.7191912333171 V
2017-09-21T00:00:00-06:00,281.0477708180745 V
2017-09-22T00:00:00-06:00,281.11052958170575 V
2017-09-23T00:00:00-06:00,281.11416308085126 V
2017-09-24T00:00:00-06:00,280.9365123112996 V
2017-09-25T00:00:00-06:00,281.00651518503827 V
2017-09-26T00:00:00-06:00,281.3903916676839 V
2017-09-27T00:00:00-06:00,280.9904613494873 V
2017-09-28T00:00:00-06:00,280.9589007695516 V
2017-09-29T00:00:00-06:00,280.9769690831502 V
2017-09-30T00:00:00-06:00,280.8132757889597 V
2017-10-01T00:00:00-06:00,280.9299357732137 V
2017-10-02T00:00:00-06:00,280.8489570617676 V
2017-10-03T00:00:00-06:00,281.00623893737793 V
2017-10-04T00:00:00-06:00,281.00132815043133 V
2017-10-05T00:00:00-06:00,281.10955174763996 V
2017-10-06T00:00:00-06:00,281.2181119918823 V
2017-10-07T00:00:00-06:00,281.14291826883954 V
2017-10-08T00:00:00-06:00,281.267648379008 V
2017-10-09T00:00:00-06:00,281.47650114695233 V
2017-10-10T00:00:00-06:00,280.90006192525226 V
2017-10-11T00:00:00-06:00,281.13943640391034 V
2017-10-12T00:00:00-06:00,281.0674597422282 V
2017-10-13T00:00:00-06:00,281.19677511850995 V
2017-10-14T00:00:00-06:00,281.56250953674316 V
2017-10-15T00:00:00-06:00,281.52830759684247 V
2017-10-16T00:00:00-06:00,281.02256711324054 V
2017-10-17T00:00:00-06:00,280.88352553049725 V
2017-10-18T00:00:00-06:00,280.96631113688153 V
2017-10-19T00:00:00-06:00,281.33681297302246 V
2017-10-20T00:00:00-06:00,281.0897852579753 V
2017-10-21T00:00:00-06:00,281.076758702596 V
2017-10-22T00:00:00-06:00,281.3183110555013 V
2017-10-23T00:00:00-06:00,281.28007221221924 V
2017-10-24T00:00:00-06:00,281.24868933359784 V
2017-10-25T00:00:00-06:00,280.9593578974406 V
2017-10-26T00:00:00-06:00,281.1445255279541 V
2017-10-27T00:00:00-06:00,281.42602284749347 V
2017-10-28T00:00:00-06:00,281.6793505350749 V
2017-10-29T00:00:00-06:00,281.2302236557007 V
2017-10-30T00:00:00-06:00,280.97539742787677 V
2017-10-31T00:00:00-06:00,281.2030731836955 V
2017-11-01T00:00:00-06:00,280.59140427907306 V
2017-11-02T00:00:00-06:00,280.86038366953534 V
2017-11-03T00:00:00-06:00,281.1693483988444 V
2017-11-04T00:00:00-06:00,281.4078547159831 V
2017-11-05T00:00:00-06:00,281.46015014648435 V
2017-11-06T00:00:00-07:00,281.28511873881024 V
2017-11-07T00:00:00-07:00,281.06628195444745 V
2017-11-08T00:00:00-07:00,281.26197147369385 V
2017-11-09T00:00:00-07:00,280.79159418741864 V
2017-11-10T00:00:00-07:00,281.3959019978841 V
2017-11-11T00:00:00-07:00,281.41480986277264 V
2017-11-12T00:00:00-07:00,281.3944813410441 V
2017-11-13T00:00:00-07:00,281.0193173090617 V
2017-11-14T00:00:00-07:00,281.5514310201009 V
2017-11-15T00:00:00-07:00,281.03762435913086 V
2017-11-16T00:00:00-07:00,280.7346836725871 V
2017-11-17T00:00:00-07:00,280.7918980916341 V
2017-11-18T00:00:00-07:00,281.34667619069415 V
2017-11-19T00:00:00-07:00,281.4625593821208 V
2017-11-20T00:00:00-07:00,281.07634925842285 V
2017-11-21T00:00:00-07:00,281.10472202301025 V
2017-11-22T00:00:00-07:00,281.15556780497235 V
2017-11-23T00:00:00-07:00,281.3570836385091 V
2017-11-24T00:00:00-07:00,281.0031048456828 V
2017-11-25T00:00:00-07:00,281.2197780609131 V
2017-11-26T00:00:00-07:00,281.47997156778973 V
2017-11-27T00:00:00-07:00,281.1946636835734 V
2017-11-28T00:00:00-07:00,281.3834711710612 V
2017-11-29T00:00:00-07:00,281.0610065460205 V
2017-11-30T00:00:00-07:00,281.33100573221844 V
2017-12-01T00:00:00-07:00,280.81051699320477 V
2017-12-02T00:00:00-07:00,280.92349974314374 V
2017-12-03T00:00:00-07:00,281.24359798431396 V
2017-12-04T00:00:00-07:00,280.8802213668823 V
2017-12-05T00:00:00-07:00,281.0813458760579 V
2017-12-06T00:00:00-07:00,281.19385528564453 V
2017-12-07T00:00:00-07:00,281.08113320668537 V
2017-12-08T00:00:00-07:00,280.94762865702313 V
2017-12-09T00:00:00-07:00,281.1711645126343 V
2017-12-10T00:00:00-07:00,281.3664970397949 V
2017-12-11T00:00:00-07:00,281.2080078125 V
2017-12-12T00:00:00-07:00,280.83643372853595 V
2017-12-13T00:00:00-07:00,281.35542456309 V
2017-12-14T00:00:00-07:00,281.1949351628621 V
2017-12-15T00:00:00-07:00,281.3638693491618 V
2017-12-16T00:00:00-07:00,281.14086564381915 V
2017-12-17T00:00:00-07:00,280.9469985961914 V
2017-12-18T00:00:00-07:00,280.66261668871806 V
2017-12-19T00:00:00-07:00,281.04116980234784 V
2017-12-20T00:00:00-07:00,280.9050038655599 V
2017-12-21T00:00:00-07:00,280.9343121846517 V
2017-12-22T00:00:00-07:00,281.04592355092365 V
2017-12-23T00:00:00-07:00,280.73720836639404 V
2017-12-24T00:00:00-07:00,281.19549655914307 V
2017-12-25T00:00:00-07:00,281.2991558710734 V
2017-12-26T00:00:00-07:00,281.46652030944824 V
2017-12-27T00:00:00-07:00,280.40522448221844 V
2017-12-28T00:00:00-07:00,281.4049421946208 V
2017-12-29T00:00:00-07:00,280.8407621383667 V
2017-12-30T00:00:00-07:00,281.2940861384074 V
2017-12-31T00:00:00-07:00,280.97699515024823 V
