Timestamp,['1cf8d7ee-522df3c7 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 Current A']
2017-04-21T00:00:00-06:00,135.65625 A
2017-04-22T00:00:00-06:00,135.82291666666666 A
2017-04-23T00:00:00-06:00,133.78125 A
2017-04-24T00:00:00-06:00,131.69791666666666 A
2017-04-25T00:00:00-06:00,132.52083333333334 A
2017-04-26T00:00:00-06:00,134.0625 A
2017-04-27T00:00:00-06:00,133.91666666666666 A
2017-04-28T00:00:00-06:00,135.5625 A
2017-04-29T00:00:00-06:00,136.67708333333334 A
2017-04-30T00:00:00-06:00,139.375 A
2017-05-01T00:00:00-06:00,139 A
2017-05-02T00:00:00-06:00,136.26041666666666 A
2017-05-03T00:00:00-06:00,137.84375 A
2017-05-04T00:00:00-06:00,137.10416666666666 A
2017-05-05T00:00:00-06:00,137.65625 A
2017-05-06T00:00:00-06:00,137.53125 A
2017-05-07T00:00:00-06:00,136.88541666666666 A
2017-05-08T00:00:00-06:00,136.43617021276594 A
2017-05-09T00:00:00-06:00,136.63541666666666 A
2017-05-10T00:00:00-06:00,135.19791666666666 A
2017-05-11T00:00:00-06:00,135.875 A
2017-05-12T00:00:00-06:00,133.35416666666666 A
2017-05-13T00:00:00-06:00,136.30208333333334 A
2017-05-14T00:00:00-06:00,138.39583333333334 A
2017-05-15T00:00:00-06:00,138.8125 A
2017-05-16T00:00:00-06:00,138.02083333333334 A
2017-05-17T00:00:00-06:00,136.35416666666666 A
2017-05-18T00:00:00-06:00,137.70833333333334 A
2017-05-19T00:00:00-06:00,139.42708333333334 A
2017-05-20T00:00:00-06:00,140.19791666666666 A
2017-05-21T00:00:00-06:00,140.19791666666666 A
2017-05-22T00:00:00-06:00,140.53125 A
2017-05-23T00:00:00-06:00,138.4375 A
2017-05-24T00:00:00-06:00,137.5625 A
2017-05-25T00:00:00-06:00,136.94791666666666 A
2017-05-26T00:00:00-06:00,136.98958333333334 A
2017-05-27T00:00:00-06:00,136.02083333333334 A
2017-05-28T00:00:00-06:00,137.42708333333334 A
2017-05-29T00:00:00-06:00,138.46875 A
2017-05-30T00:00:00-06:00,138.13541666666666 A
2017-05-31T00:00:00-06:00,138.02083333333334 A
2017-06-01T00:00:00-06:00,137.47916666666666 A
2017-06-02T00:00:00-06:00,137.33333333333334 A
2017-06-03T00:00:00-06:00,137.04166666666666 A
2017-06-04T00:00:00-06:00,137.60416666666666 A
2017-06-05T00:00:00-06:00,137.16666666666666 A
2017-06-06T00:00:00-06:00,141.70833333333334 A
2017-06-07T00:00:00-06:00,139.25 A
2017-06-08T00:00:00-06:00,135.77083333333334 A
2017-06-09T00:00:00-06:00,135.53125 A
2017-06-10T00:00:00-06:00,136.79166666666666 A
2017-06-11T00:00:00-06:00,137.2421052631579 A
2017-06-12T00:00:00-06:00,137.09375 A
2017-06-13T00:00:00-06:00,136.29166666666666 A
2017-06-14T00:00:00-06:00,135.0625 A
2017-06-15T00:00:00-06:00,136.82291666666666 A
2017-06-16T00:00:00-06:00,135.44791666666666 A
2017-06-17T00:00:00-06:00,137.59375 A
2017-06-18T00:00:00-06:00,137.41666666666666 A
2017-06-19T00:00:00-06:00,135.02083333333334 A
2017-06-20T00:00:00-06:00,134.32291666666666 A
2017-06-21T00:00:00-06:00,134.89583333333334 A
2017-06-22T00:00:00-06:00,134.45833333333334 A
2017-06-23T00:00:00-06:00,132.26041666666666 A
2017-06-24T00:00:00-06:00,134.19791666666666 A
2017-06-25T00:00:00-06:00,134.46875 A
2017-06-26T00:00:00-06:00,134.32291666666666 A
2017-06-27T00:00:00-06:00,133.71875 A
2017-06-28T00:00:00-06:00,133.86458333333334 A
2017-06-29T00:00:00-06:00,134.69791666666666 A
2017-06-30T00:00:00-06:00,136.53125 A
2017-07-01T00:00:00-06:00,137.35416666666666 A
2017-07-02T00:00:00-06:00,138.14583333333334 A
2017-07-03T00:00:00-06:00,137.98958333333334 A
