Timestamp,['1ed629d8-e07a624d 0012-SUTTON BLDG POWER METER 480V (316601) Current B']
2017-08-20T00:00:00-06:00,332.4375 A
2017-08-21T00:00:00-06:00,342.875 A
2017-08-22T00:00:00-06:00,349.1979166666667 A
2017-08-23T00:00:00-06:00,356.5833333333333 A
2017-08-24T00:00:00-06:00,350.15625 A
2017-08-25T00:00:00-06:00,347.2083333333333 A
2017-08-26T00:00:00-06:00,335.5729166666667 A
2017-08-27T00:00:00-06:00,326.7708333333333 A
2017-08-28T00:00:00-06:00,351.24175824175825 A
2017-08-29T00:00:00-06:00,356.7956989247312 A
2017-08-30T00:00:00-06:00,362.2604166666667 A
2017-08-31T00:00:00-06:00,361.3645833333333 A
2017-09-01T00:00:00-06:00,345.3125 A
2017-09-02T00:00:00-06:00,327.2291666666667 A
2017-09-03T00:00:00-06:00,336.4583333333333 A
2017-09-04T00:00:00-06:00,332.9583333333333 A
2017-09-05T00:00:00-06:00,352.7916666666667 A
2017-09-06T00:00:00-06:00,347.63157894736844 A
2017-09-07T00:00:00-06:00,339.03125 A
2017-09-08T00:00:00-06:00,348.1808510638298 A
2017-09-09T00:00:00-06:00,324.71875 A
2017-09-10T00:00:00-06:00,321.8125 A
2017-09-11T00:00:00-06:00,355.5208333333333 A
2017-09-12T00:00:00-06:00,344.3333333333333 A
2017-09-13T00:00:00-06:00,344.8645833333333 A
2017-09-14T00:00:00-06:00,331.15625 A
2017-09-15T00:00:00-06:00,300.1770833333333 A
2017-09-16T00:00:00-06:00,262.7708333333333 A
2017-09-17T00:00:00-06:00,282.0104166666667 A
2017-09-18T00:00:00-06:00,318.5729166666667 A
2017-09-19T00:00:00-06:00,291.03125 A
2017-09-20T00:00:00-06:00,301.4166666666667 A
2017-09-21T00:00:00-06:00,258.6875 A
2017-09-22T00:00:00-06:00,244.40625 A
2017-09-23T00:00:00-06:00,224.72916666666666 A
2017-09-24T00:00:00-06:00,194.86458333333334 A
2017-09-25T00:00:00-06:00,258.75 A
2017-09-26T00:00:00-06:00,288.0104166666667 A
2017-09-27T00:00:00-06:00,293.8229166666667 A
2017-09-28T00:00:00-06:00,299.90625 A
2017-09-29T00:00:00-06:00,299.34375 A
2017-09-30T00:00:00-06:00,285.2291666666667 A
2017-10-01T00:00:00-06:00,268.09375 A
2017-10-02T00:00:00-06:00,229.5625 A
2017-10-03T00:00:00-06:00,255.13541666666666 A
2017-10-04T00:00:00-06:00,295.0520833333333 A
2017-10-05T00:00:00-06:00,273.3125 A
2017-10-06T00:00:00-06:00,281.1041666666667 A
2017-10-07T00:00:00-06:00,278.59375 A
2017-10-08T00:00:00-06:00,242.65625 A
2017-10-09T00:00:00-06:00,214.59375 A
2017-10-10T00:00:00-06:00,246.92708333333334 A
2017-10-11T00:00:00-06:00,284.3541666666667 A
2017-10-12T00:00:00-06:00,263.3541666666667 A
2017-10-13T00:00:00-06:00,245.23958333333334 A
2017-10-14T00:00:00-06:00,204.26041666666666 A
2017-10-15T00:00:00-06:00,217.07291666666666 A
2017-10-16T00:00:00-06:00,249.25 A
2017-10-17T00:00:00-06:00,281.5625 A
2017-10-18T00:00:00-06:00,291.7291666666667 A
2017-10-19T00:00:00-06:00,287.4479166666667 A
2017-10-20T00:00:00-06:00,263.4166666666667 A
2017-10-21T00:00:00-06:00,225.45833333333334 A
2017-10-22T00:00:00-06:00,263.4270833333333 A
2017-10-23T00:00:00-06:00,287.7291666666667 A
2017-10-24T00:00:00-06:00,265.125 A
2017-10-25T00:00:00-06:00,279.03125 A
2017-10-26T00:00:00-06:00,283.9895833333333 A
2017-10-27T00:00:00-06:00,262.03125 A
2017-10-28T00:00:00-06:00,256.8333333333333 A
2017-10-29T00:00:00-06:00,271.8229166666667 A
2017-10-30T00:00:00-06:00,276.625 A
2017-10-31T00:00:00-06:00,248.375 A
2017-11-01T00:00:00-06:00,279.8333333333333 A
2017-11-02T00:00:00-06:00,300.71875 A
2017-11-03T00:00:00-06:00,288.6770833333333 A
2017-11-04T00:00:00-06:00,252.39583333333334 A
2017-11-05T00:00:00-06:00,235.27 A
2017-11-06T00:00:00-07:00,224.08333333333334 A
2017-11-07T00:00:00-07:00,214.51041666666666 A
2017-11-08T00:00:00-07:00,220.27083333333334 A
2017-11-09T00:00:00-07:00,245.02083333333334 A
2017-11-10T00:00:00-07:00,239.94791666666666 A
2017-11-11T00:00:00-07:00,221.98958333333334 A
2017-11-12T00:00:00-07:00,217.19791666666666 A
2017-11-13T00:00:00-07:00,256.6145833333333 A
2017-11-14T00:00:00-07:00,264.34375 A
2017-11-15T00:00:00-07:00,249.10416666666666 A
2017-11-16T00:00:00-07:00,308.5729166666667 A
2017-11-17T00:00:00-07:00,222.9157894736842 A
2017-11-18T00:00:00-07:00,196.60416666666666 A
2017-11-19T00:00:00-07:00,198.13541666666666 A
2017-11-20T00:00:00-07:00,210.17708333333334 A
2017-11-21T00:00:00-07:00,270.84375 A
2017-11-22T00:00:00-07:00,291.1145833333333 A
2017-11-23T00:00:00-07:00,269 A
2017-11-24T00:00:00-07:00,272.6145833333333 A
2017-11-25T00:00:00-07:00,253.17708333333334 A
2017-11-26T00:00:00-07:00,283.0416666666667 A
2017-11-27T00:00:00-07:00,267.1145833333333 A
2017-11-28T00:00:00-07:00,215.9375 A
2017-11-29T00:00:00-07:00,220.63541666666666 A
2017-11-30T00:00:00-07:00,219.80208333333334 A
2017-12-01T00:00:00-07:00,211.96875 A
2017-12-02T00:00:00-07:00,224.9375 A
2017-12-03T00:00:00-07:00,244.5625 A
2017-12-04T00:00:00-07:00,216.77083333333334 A
2017-12-05T00:00:00-07:00,221.25 A
2017-12-06T00:00:00-07:00,216.95833333333334 A
2017-12-07T00:00:00-07:00,217.32291666666666 A
2017-12-08T00:00:00-07:00,215.34375 A
2017-12-09T00:00:00-07:00,203.36458333333334 A
2017-12-10T00:00:00-07:00,202.41666666666666 A
2017-12-11T00:00:00-07:00,214.3125 A
2017-12-12T00:00:00-07:00,218.44791666666666 A
2017-12-13T00:00:00-07:00,215.72916666666666 A
2017-12-14T00:00:00-07:00,209.70833333333334 A
2017-12-15T00:00:00-07:00,208.75 A
2017-12-16T00:00:00-07:00,197.8125 A
2017-12-17T00:00:00-07:00,193.59375 A
2017-12-18T00:00:00-07:00,208.0752688172043 A
2017-12-19T00:00:00-07:00,212.82291666666666 A
2017-12-20T00:00:00-07:00,232.44791666666666 A
2017-12-21T00:00:00-07:00,215.90625 A
2017-12-22T00:00:00-07:00,221.19791666666666 A
2017-12-23T00:00:00-07:00,197.0625 A
2017-12-24T00:00:00-07:00,200.13541666666666 A
2017-12-25T00:00:00-07:00,202.77083333333334 A
2017-12-26T00:00:00-07:00,196.15625 A
2017-12-27T00:00:00-07:00,208.05208333333334 A
2017-12-28T00:00:00-07:00,219.80208333333334 A
2017-12-29T00:00:00-07:00,220.54166666666666 A
2017-12-30T00:00:00-07:00,236.65625 A
2017-12-31T00:00:00-07:00,200.69791666666666 A
