Timestamp,"['1ef4685c-bd33e7cc 0070-QUINNEY COLLEGE OF LAW Power Meter 316931 W-hours, Received']"
2017-08-08T00:00:00-06:00,489.125 kWh
2017-08-09T00:00:00-06:00,512.9375 kWh
2017-08-10T00:00:00-06:00,428 kWh
2017-08-11T00:00:00-06:00,409.4375 kWh
2017-08-12T00:00:00-06:00,268.625 kWh
2017-08-13T00:00:00-06:00,254.0625 kWh
2017-08-14T00:00:00-06:00,586.1875 kWh
2017-08-15T00:00:00-06:00,444 kWh
2017-08-16T00:00:00-06:00,468.5 kWh
2017-08-17T00:00:00-06:00,438.25 kWh
2017-08-18T00:00:00-06:00,401.3125 kWh
2017-08-19T00:00:00-06:00,280.9375 kWh
2017-08-20T00:00:00-06:00,235.75 kWh
2017-08-21T00:00:00-06:00,487.9375 kWh
2017-08-22T00:00:00-06:00,632.5625 kWh
2017-08-23T00:00:00-06:00,600.125 kWh
2017-08-24T00:00:00-06:00,483.125 kWh
2017-08-25T00:00:00-06:00,484.5 kWh
2017-08-26T00:00:00-06:00,299.875 kWh
2017-08-27T00:00:00-06:00,231.5 kWh
2017-08-28T00:00:00-06:00,533.4375 kWh
2017-08-29T00:00:00-06:00,530.25 kWh
2017-08-30T00:00:00-06:00,574.4375 kWh
2017-08-31T00:00:00-06:00,603.375 kWh
2017-09-01T00:00:00-06:00,473.1875 kWh
2017-09-02T00:00:00-06:00,307.3125 kWh
2017-09-03T00:00:00-06:00,263.6875 kWh
2017-09-04T00:00:00-06:00,407.5625 kWh
2017-09-05T00:00:00-06:00,553.375 kWh
2017-09-06T00:00:00-06:00,578.125 kWh
2017-09-07T00:00:00-06:00,617.3125 kWh
2017-09-08T00:00:00-06:00,649.5 kWh
2017-09-09T00:00:00-06:00,492.6875 kWh
2017-09-10T00:00:00-06:00,290.3125 kWh
2017-09-11T00:00:00-06:00,560.4375 kWh
2017-09-12T00:00:00-06:00,567.0625 kWh
2017-09-13T00:00:00-06:00,675.8125 kWh
2017-09-14T00:00:00-06:00,823.5625 kWh
2017-09-15T00:00:00-06:00,725.8125 kWh
2017-09-16T00:00:00-06:00,339.5625 kWh
2017-09-17T00:00:00-06:00,318.9375 kWh
2017-09-18T00:00:00-06:00,591.3125 kWh
2017-09-19T00:00:00-06:00,761.4375 kWh
2017-09-20T00:00:00-06:00,639.875 kWh
2017-09-21T00:00:00-06:00,765.6875 kWh
2017-09-22T00:00:00-06:00,814.75 kWh
2017-09-23T00:00:00-06:00,622.3125 kWh
2017-09-24T00:00:00-06:00,849.9375 kWh
2017-09-25T00:00:00-06:00,737.9375 kWh
2017-09-26T00:00:00-06:00,590.1875 kWh
2017-09-27T00:00:00-06:00,604.375 kWh
2017-09-28T00:00:00-06:00,741.0625 kWh
2017-09-29T00:00:00-06:00,556.8125 kWh
2017-09-30T00:00:00-06:00,481 kWh
2017-10-01T00:00:00-06:00,403.25 kWh
2017-10-02T00:00:00-06:00,804.0625 kWh
2017-10-03T00:00:00-06:00,717.1875 kWh
2017-10-04T00:00:00-06:00,665.4375 kWh
2017-10-05T00:00:00-06:00,622 kWh
2017-10-06T00:00:00-06:00,569.6875 kWh
2017-10-07T00:00:00-06:00,359.9375 kWh
2017-10-08T00:00:00-06:00,390.4375 kWh
2017-10-09T00:00:00-06:00,680.375 kWh
2017-10-10T00:00:00-06:00,687.0625 kWh
2017-10-11T00:00:00-06:00,614.9375 kWh
2017-10-12T00:00:00-06:00,585.5625 kWh
2017-10-13T00:00:00-06:00,626.5625 kWh
2017-10-14T00:00:00-06:00,568.375 kWh
2017-10-15T00:00:00-06:00,566 kWh
2017-10-16T00:00:00-06:00,781.5 kWh
2017-10-17T00:00:00-06:00,705.125 kWh
2017-10-18T00:00:00-06:00,659.3125 kWh
2017-10-19T00:00:00-06:00,675.8125 kWh
2017-10-20T00:00:00-06:00,833.375 kWh
2017-10-21T00:00:00-06:00,508.75 kWh
2017-10-22T00:00:00-06:00,477.6875 kWh
2017-10-23T00:00:00-06:00,680.375 kWh
2017-10-24T00:00:00-06:00,661.4375 kWh
2017-10-25T00:00:00-06:00,668.5 kWh
2017-10-26T00:00:00-06:00,706.5625 kWh
2017-10-27T00:00:00-06:00,607.4375 kWh
2017-10-28T00:00:00-06:00,377.1875 kWh
2017-10-29T00:00:00-06:00,424.5625 kWh
2017-10-30T00:00:00-06:00,787 kWh
2017-10-31T00:00:00-06:00,629.875 kWh
2017-11-01T00:00:00-06:00,831.3125 kWh
2017-11-02T00:00:00-06:00,780 kWh
2017-11-03T00:00:00-06:00,810.625 kWh
2017-11-04T00:00:00-06:00,745.3125 kWh
2017-11-05T00:00:00-06:00,629.25 kWh
2017-11-06T00:00:00-07:00,897.9375 kWh
2017-11-07T00:00:00-07:00,843.125 kWh
2017-11-08T00:00:00-07:00,852 kWh
2017-11-09T00:00:00-07:00,837.125 kWh
2017-11-10T00:00:00-07:00,874.875 kWh
2017-11-11T00:00:00-07:00,635.6875 kWh
2017-11-12T00:00:00-07:00,618.1875 kWh
2017-11-13T00:00:00-07:00,797.25 kWh
2017-11-14T00:00:00-07:00,851.5625 kWh
2017-11-15T00:00:00-07:00,941.5 kWh
2017-11-16T00:00:00-07:00,1018.375 kWh
2017-11-17T00:00:00-07:00,1021.375 kWh
2017-11-18T00:00:00-07:00,629.4375 kWh
2017-11-19T00:00:00-07:00,418.3125 kWh
2017-11-20T00:00:00-07:00,1010.3125 kWh
2017-11-21T00:00:00-07:00,829.5 kWh
2017-11-22T00:00:00-07:00,656.5 kWh
2017-11-23T00:00:00-07:00,520.9375 kWh
2017-11-24T00:00:00-07:00,562.0625 kWh
2017-11-25T00:00:00-07:00,455.5625 kWh
2017-11-26T00:00:00-07:00,383.1875 kWh
2017-11-27T00:00:00-07:00,1000.8125 kWh
2017-11-28T00:00:00-07:00,918.6875 kWh
2017-11-29T00:00:00-07:00,914.0625 kWh
2017-11-30T00:00:00-07:00,859.6875 kWh
2017-12-01T00:00:00-07:00,922.375 kWh
2017-12-02T00:00:00-07:00,817.75 kWh
2017-12-03T00:00:00-07:00,712.5 kWh
2017-12-04T00:00:00-07:00,1142.3125 kWh
2017-12-05T00:00:00-07:00,1114.875 kWh
2017-12-06T00:00:00-07:00,1104.25 kWh
2017-12-07T00:00:00-07:00,1102.9375 kWh
2017-12-08T00:00:00-07:00,1049.25 kWh
2017-12-09T00:00:00-07:00,916.75 kWh
2017-12-10T00:00:00-07:00,880.25 kWh
2017-12-11T00:00:00-07:00,983.75 kWh
2017-12-12T00:00:00-07:00,997.4375 kWh
2017-12-13T00:00:00-07:00,1110.5625 kWh
2017-12-14T00:00:00-07:00,1027.5625 kWh
2017-12-15T00:00:00-07:00,959.875 kWh
2017-12-16T00:00:00-07:00,902.4375 kWh
2017-12-17T00:00:00-07:00,891 kWh
2017-12-18T00:00:00-07:00,889.5625 kWh
2017-12-19T00:00:00-07:00,841.8125 kWh
2017-12-20T00:00:00-07:00,788.125 kWh
2017-12-21T00:00:00-07:00,967.875 kWh
2017-12-22T00:00:00-07:00,876.75 kWh
2017-12-23T00:00:00-07:00,888.125 kWh
2017-12-24T00:00:00-07:00,621.8125 kWh
2017-12-25T00:00:00-07:00,719.5625 kWh
2017-12-26T00:00:00-07:00,780.125 kWh
2017-12-27T00:00:00-07:00,901.3125 kWh
2017-12-28T00:00:00-07:00,898 kWh
2017-12-29T00:00:00-07:00,771.5 kWh
2017-12-30T00:00:00-07:00,579.625 kWh
2017-12-31T00:00:00-07:00,628.375 kWh
