Timestamp,"['1cf8d726-384b2ce8 0064-MERRILL ENGINEERING BLDG Power Meter (300153, 064-801) Current C']"
2017-12-07T00:00:00-07:00,13.037638346354166 A
2017-12-08T00:00:00-07:00,13.125203450520834 A
2017-12-09T00:00:00-07:00,12.247395833333334 A
2017-12-10T00:00:00-07:00,11.681844075520834 A
2017-12-11T00:00:00-07:00,12.741251627604166 A
2017-12-12T00:00:00-07:00,12.84228515625 A
2017-12-13T00:00:00-07:00,12.86376953125 A
2017-12-14T00:00:00-07:00,12.109619140625 A
2017-12-15T00:00:00-07:00,11.117960611979166 A
2017-12-16T00:00:00-07:00,10.131673177083334 A
2017-12-17T00:00:00-07:00,10.1376953125 A
2017-12-18T00:00:00-07:00,12.284322331460674 A
2017-12-19T00:00:00-07:00,12.868408203125 A
2017-12-20T00:00:00-07:00,13.071573893229166 A
2017-12-21T00:00:00-07:00,12.475260416666666 A
2017-12-22T00:00:00-07:00,12.369873046875 A
2017-12-23T00:00:00-07:00,11.648844401041666 A
2017-12-24T00:00:00-07:00,11.095296223958334 A
2017-12-25T00:00:00-07:00,10.950480143229166 A
2017-12-26T00:00:00-07:00,11.130574544270834 A
2017-12-27T00:00:00-07:00,11.630655924479166 A
2017-12-28T00:00:00-07:00,12.308675130208334 A
2017-12-29T00:00:00-07:00,12.48095703125 A
2017-12-30T00:00:00-07:00,12.412679036458334 A
2017-12-31T00:00:00-07:00,11.772135416666666 A
