Timestamp,['1ce63db3-310113d3 0028-MARRIOTT CENTER FOR DANCE Power Meter Volts CA']
2017-07-13T00:00:00-06:00,212.10863733291626 V
2017-07-14T00:00:00-06:00,212.0076936086019 V
2017-07-15T00:00:00-06:00,212.14889415105185 V
2017-07-16T00:00:00-06:00,212.16260433197021 V
2017-07-17T00:00:00-06:00,212.0454444885254 V
2017-07-18T00:00:00-06:00,212.1490953763326 V
2017-07-19T00:00:00-06:00,212.0895380973816 V
2017-07-20T00:00:00-06:00,212.15056562423706 V
2017-07-21T00:00:00-06:00,212.06755956013998 V
2017-07-22T00:00:00-06:00,212.1718576749166 V
2017-07-23T00:00:00-06:00,212.4488639831543 V
2017-07-24T00:00:00-06:00,212.38576666514078 V
2017-07-25T00:00:00-06:00,212.24680519104004 V
2017-07-26T00:00:00-06:00,212.0059266090393 V
2017-07-27T00:00:00-06:00,212.15385135014853 V
2017-07-28T00:00:00-06:00,211.96997706095377 V
2017-07-29T00:00:00-06:00,212.09287357330322 V
2017-07-30T00:00:00-06:00,212.21818431218466 V
2017-07-31T00:00:00-06:00,212.26736418406168 V
2017-08-01T00:00:00-06:00,212.2629984219869 V
2017-08-02T00:00:00-06:00,212.05007298787436 V
2017-08-03T00:00:00-06:00,212.10642830530801 V
2017-08-04T00:00:00-06:00,212.1217059665256 V
2017-08-05T00:00:00-06:00,212.1804315249125 V
2017-08-06T00:00:00-06:00,212.09550952911377 V
2017-08-07T00:00:00-06:00,211.98823245366415 V
2017-08-08T00:00:00-06:00,212.06993055343628 V
2017-08-09T00:00:00-06:00,211.87431573867798 V
2017-08-10T00:00:00-06:00,211.94132782310567 V
2017-08-11T00:00:00-06:00,212.1765103340149 V
2017-08-12T00:00:00-06:00,212.14833164215088 V
2017-08-13T00:00:00-06:00,212.42243512471518 V
2017-08-14T00:00:00-06:00,212.3054191271464 V
2017-08-15T00:00:00-06:00,212.23178068796793 V
2017-08-16T00:00:00-06:00,211.97458600997925 V
2017-08-17T00:00:00-06:00,212.10429747899374 V
2017-08-18T00:00:00-06:00,212.03430859247842 V
2017-08-19T00:00:00-06:00,212.25411732991537 V
2017-08-20T00:00:00-06:00,212.29851293563843 V
2017-08-21T00:00:00-06:00,212.1085638999939 V
2017-08-22T00:00:00-06:00,211.92548068364462 V
2017-08-23T00:00:00-06:00,211.99146827061972 V
2017-08-24T00:00:00-06:00,211.92088079452515 V
2017-08-25T00:00:00-06:00,211.90918588638306 V
2017-08-26T00:00:00-06:00,211.89003610610962 V
2017-08-27T00:00:00-06:00,211.96786657969156 V
2017-08-28T00:00:00-06:00,211.85059322010386 V
2017-08-29T00:00:00-06:00,211.85826077304043 V
2017-08-30T00:00:00-06:00,211.81277894973755 V
2017-08-31T00:00:00-06:00,211.9278335571289 V
2017-09-01T00:00:00-06:00,211.89718294143677 V
2017-09-02T00:00:00-06:00,212.1039433479309 V
2017-09-03T00:00:00-06:00,212.30531692504883 V
2017-09-04T00:00:00-06:00,212.01507155100504 V
2017-09-05T00:00:00-06:00,211.6900575955709 V
2017-09-06T00:00:00-06:00,211.74385023117065 V
2017-09-07T00:00:00-06:00,211.81054258346558 V
2017-09-08T00:00:00-06:00,211.96268429963484 V
2017-09-09T00:00:00-06:00,211.92745892206827 V
2017-09-10T00:00:00-06:00,212.21213261286417 V
2017-09-11T00:00:00-06:00,211.6804207166036 V
2017-09-12T00:00:00-06:00,211.96852938334146 V
2017-09-13T00:00:00-06:00,211.68008502324423 V
2017-09-14T00:00:00-06:00,211.96198495229086 V
2017-09-15T00:00:00-06:00,212.09059143066406 V
2017-09-16T00:00:00-06:00,212.39794238408408 V
2017-09-17T00:00:00-06:00,211.90788396199545 V
2017-09-18T00:00:00-06:00,212.12233304977417 V
2017-09-19T00:00:00-06:00,211.88085969289145 V
2017-09-20T00:00:00-06:00,212.00986830393472 V
2017-09-21T00:00:00-06:00,212.2063047091166 V
2017-09-22T00:00:00-06:00,212.0582389831543 V
2017-09-23T00:00:00-06:00,212.1863555908203 V
2017-09-24T00:00:00-06:00,211.99156109491983 V
2017-09-25T00:00:00-06:00,212.26191918055216 V
2017-09-26T00:00:00-06:00,212.05104748408 V
2017-09-27T00:00:00-06:00,212.22209978103638 V
2017-09-28T00:00:00-06:00,212.04988702138266 V
2017-09-29T00:00:00-06:00,211.95018911361694 V
2017-09-30T00:00:00-06:00,212.17794783910117 V
2017-10-01T00:00:00-06:00,212.125084400177 V
2017-10-02T00:00:00-06:00,212.1904010772705 V
2017-10-03T00:00:00-06:00,212.2411610285441 V
2017-10-04T00:00:00-06:00,212.0015551249186 V
2017-10-05T00:00:00-06:00,212.19708426793417 V
2017-10-06T00:00:00-06:00,212.17775869369507 V
2017-10-07T00:00:00-06:00,212.22330872217813 V
2017-10-08T00:00:00-06:00,212.64492336908975 V
2017-10-09T00:00:00-06:00,212.37479480107626 V
2017-10-10T00:00:00-06:00,212.41349267959595 V
2017-10-11T00:00:00-06:00,212.08844550450644 V
2017-10-12T00:00:00-06:00,212.4289075533549 V
2017-10-13T00:00:00-06:00,212.420384089152 V
2017-10-14T00:00:00-06:00,212.47989002863565 V
2017-10-15T00:00:00-06:00,212.45469522476196 V
2017-10-16T00:00:00-06:00,212.31487941741943 V
2017-10-17T00:00:00-06:00,212.04437414805093 V
2017-10-18T00:00:00-06:00,211.90249665578207 V
2017-10-19T00:00:00-06:00,212.1229666074117 V
2017-10-20T00:00:00-06:00,212.14451758066812 V
2017-10-21T00:00:00-06:00,212.18174775441489 V
2017-10-22T00:00:00-06:00,212.48577404022217 V
2017-10-23T00:00:00-06:00,212.0871526400248 V
2017-10-24T00:00:00-06:00,211.94725545247397 V
2017-10-25T00:00:00-06:00,212.01026328404745 V
2017-10-26T00:00:00-06:00,212.17191410064697 V
2017-10-27T00:00:00-06:00,212.24483760197958 V
2017-10-28T00:00:00-06:00,212.08043734232584 V
2017-10-29T00:00:00-06:00,212.3330938021342 V
2017-10-30T00:00:00-06:00,212.387038230896 V
2017-10-31T00:00:00-06:00,212.4356115659078 V
2017-11-01T00:00:00-06:00,212.030291557312 V
2017-11-02T00:00:00-06:00,212.05311886469522 V
2017-11-03T00:00:00-06:00,212.07435131072998 V
2017-11-04T00:00:00-06:00,212.21448485056558 V
2017-11-05T00:00:00-06:00,212.18066970825194 V
2017-11-06T00:00:00-07:00,212.00016768773398 V
2017-11-07T00:00:00-07:00,212.0284938812256 V
2017-11-08T00:00:00-07:00,212.0558910369873 V
2017-11-09T00:00:00-07:00,212.16822703679404 V
2017-11-10T00:00:00-07:00,212.03398736317953 V
2017-11-11T00:00:00-07:00,211.96261231104532 V
2017-11-12T00:00:00-07:00,212.25144942601523 V
2017-11-13T00:00:00-07:00,212.25382693608603 V
2017-11-14T00:00:00-07:00,212.56879901885986 V
2017-11-15T00:00:00-07:00,212.17971595128378 V
2017-11-16T00:00:00-07:00,211.98791360855103 V
2017-11-17T00:00:00-07:00,212.24550739924112 V
2017-11-18T00:00:00-07:00,212.41702540715536 V
2017-11-19T00:00:00-07:00,212.6231395403544 V
2017-11-20T00:00:00-07:00,212.11431312561035 V
2017-11-21T00:00:00-07:00,212.16180308659872 V
2017-11-22T00:00:00-07:00,212.091282526652 V
2017-11-23T00:00:00-07:00,212.696266969045 V
2017-11-24T00:00:00-07:00,212.4326810836792 V
2017-11-25T00:00:00-07:00,212.4624721209208 V
2017-11-26T00:00:00-07:00,212.64966789881387 V
2017-11-27T00:00:00-07:00,212.20674006144205 V
2017-11-28T00:00:00-07:00,212.33008909225464 V
2017-11-29T00:00:00-07:00,212.42779970169067 V
2017-11-30T00:00:00-07:00,212.5391944249471 V
