Timestamp,"['1ef46878-774ad126 0070-QUINNEY COLLEGE OF LAW Power Meter 313199 W-hours, Received']"
2017-09-20T00:00:00-06:00,1999.46875 kWh
2017-09-21T00:00:00-06:00,2165.78125 kWh
2017-09-22T00:00:00-06:00,2355.75 kWh
2017-09-23T00:00:00-06:00,1906.9375 kWh
2017-09-24T00:00:00-06:00,2455.15625 kWh
2017-09-25T00:00:00-06:00,2247.96875 kWh
2017-09-26T00:00:00-06:00,1889.0625 kWh
2017-09-27T00:00:00-06:00,1973.15625 kWh
2017-09-28T00:00:00-06:00,2081.53125 kWh
2017-09-29T00:00:00-06:00,1907.46875 kWh
2017-09-30T00:00:00-06:00,1578.78125 kWh
2017-10-01T00:00:00-06:00,1076.71875 kWh
2017-10-02T00:00:00-06:00,2338.46875 kWh
2017-10-03T00:00:00-06:00,2207.84375 kWh
2017-10-04T00:00:00-06:00,1959.5625 kWh
2017-10-05T00:00:00-06:00,1898.96875 kWh
2017-10-06T00:00:00-06:00,1803.65625 kWh
2017-10-07T00:00:00-06:00,1274.40625 kWh
2017-10-08T00:00:00-06:00,1199.5625 kWh
2017-10-09T00:00:00-06:00,2163.1875 kWh
2017-10-10T00:00:00-06:00,2227.375 kWh
2017-10-11T00:00:00-06:00,1933.3125 kWh
2017-10-12T00:00:00-06:00,1834.40625 kWh
2017-10-13T00:00:00-06:00,2053.84375 kWh
2017-10-14T00:00:00-06:00,1974.1875 kWh
2017-10-15T00:00:00-06:00,1834.28125 kWh
2017-10-16T00:00:00-06:00,2315.15625 kWh
2017-10-17T00:00:00-06:00,2104.84375 kWh
2017-10-18T00:00:00-06:00,2000.5625 kWh
2017-10-19T00:00:00-06:00,2079.6875 kWh
2017-10-20T00:00:00-06:00,2031.40625 kWh
2017-10-21T00:00:00-06:00,1510.625 kWh
2017-10-22T00:00:00-06:00,1289.28125 kWh
2017-10-23T00:00:00-06:00,1886.5 kWh
2017-10-24T00:00:00-06:00,1824.125 kWh
2017-10-25T00:00:00-06:00,1866.03125 kWh
2017-10-26T00:00:00-06:00,1901.8125 kWh
2017-10-27T00:00:00-06:00,1764.90625 kWh
2017-10-28T00:00:00-06:00,1304.53125 kWh
2017-10-29T00:00:00-06:00,1134.71875 kWh
2017-10-30T00:00:00-06:00,1989.5625 kWh
2017-10-31T00:00:00-06:00,1799.71875 kWh
2017-11-01T00:00:00-06:00,2137.71875 kWh
2017-11-02T00:00:00-06:00,2134.15625 kWh
2017-11-03T00:00:00-06:00,2163.21875 kWh
2017-11-04T00:00:00-06:00,1790.71875 kWh
2017-11-05T00:00:00-06:00,1743.0625 kWh
2017-11-06T00:00:00-07:00,2091.34375 kWh
2017-11-07T00:00:00-07:00,2062.03125 kWh
2017-11-08T00:00:00-07:00,2093.53125 kWh
2017-11-09T00:00:00-07:00,2122.3125 kWh
2017-11-10T00:00:00-07:00,2116.9375 kWh
2017-11-11T00:00:00-07:00,1843 kWh
2017-11-12T00:00:00-07:00,1774.125 kWh
2017-11-13T00:00:00-07:00,2041.1875 kWh
2017-11-14T00:00:00-07:00,2292.75 kWh
2017-11-15T00:00:00-07:00,2483.8125 kWh
2017-11-16T00:00:00-07:00,2411.125 kWh
2017-11-17T00:00:00-07:00,2566.1875 kWh
2017-11-18T00:00:00-07:00,2093.1875 kWh
2017-11-19T00:00:00-07:00,1321.625 kWh
2017-11-20T00:00:00-07:00,2602.875 kWh
2017-11-21T00:00:00-07:00,2230.625 kWh
2017-11-22T00:00:00-07:00,1958.8125 kWh
2017-11-23T00:00:00-07:00,1796.3125 kWh
2017-11-24T00:00:00-07:00,1836.5625 kWh
2017-11-25T00:00:00-07:00,1491.4375 kWh
2017-11-26T00:00:00-07:00,1105.8125 kWh
2017-11-27T00:00:00-07:00,2479.625 kWh
2017-11-28T00:00:00-07:00,2557.75 kWh
2017-11-29T00:00:00-07:00,2621 kWh
2017-11-30T00:00:00-07:00,2488.1875 kWh
2017-12-01T00:00:00-07:00,2653 kWh
2017-12-02T00:00:00-07:00,2447.1875 kWh
2017-12-03T00:00:00-07:00,1846.5625 kWh
2017-12-04T00:00:00-07:00,2905.5 kWh
2017-12-05T00:00:00-07:00,2810.375 kWh
2017-12-06T00:00:00-07:00,2851.5625 kWh
2017-12-07T00:00:00-07:00,2848.25 kWh
2017-12-08T00:00:00-07:00,2781.0625 kWh
2017-12-09T00:00:00-07:00,2639.25 kWh
2017-12-10T00:00:00-07:00,2611.375 kWh
2017-12-11T00:00:00-07:00,2721.4375 kWh
2017-12-12T00:00:00-07:00,2801.9375 kWh
2017-12-13T00:00:00-07:00,2899.25 kWh
2017-12-14T00:00:00-07:00,2718.6875 kWh
2017-12-15T00:00:00-07:00,2644.3125 kWh
2017-12-16T00:00:00-07:00,2566.4375 kWh
2017-12-17T00:00:00-07:00,2538.125 kWh
2017-12-18T00:00:00-07:00,2567.8125 kWh
2017-12-19T00:00:00-07:00,2469.4375 kWh
2017-12-20T00:00:00-07:00,2201.25 kWh
2017-12-21T00:00:00-07:00,2612.6875 kWh
2017-12-22T00:00:00-07:00,2505.1875 kWh
2017-12-23T00:00:00-07:00,2485.375 kWh
2017-12-24T00:00:00-07:00,1845 kWh
2017-12-25T00:00:00-07:00,2283.125 kWh
2017-12-26T00:00:00-07:00,2352.4375 kWh
2017-12-27T00:00:00-07:00,2561.4375 kWh
2017-12-28T00:00:00-07:00,2539.4375 kWh
2017-12-29T00:00:00-07:00,2364.9375 kWh
2017-12-30T00:00:00-07:00,1743.1875 kWh
2017-12-31T00:00:00-07:00,2073.875 kWh
