Timestamp,['1cac2918-39ce48d3 0077-CHRISTENSEN CNTR Power Meter (300172) PM VOLT C-N']
2017-09-30T00:00:00-06:00,274.1698606065614 V
2017-10-01T00:00:00-06:00,274.110666847229 V
2017-10-02T00:00:00-06:00,274.44873820410834 V
2017-10-03T00:00:00-06:00,274.084362411499 V
2017-10-04T00:00:00-06:00,274.57353416019015 V
2017-10-05T00:00:00-06:00,274.4039983113607 V
2017-10-06T00:00:00-06:00,274.4432033114963 V
2017-10-07T00:00:00-06:00,274.71162957085505 V
2017-10-08T00:00:00-06:00,274.6557982550727 V
2017-10-09T00:00:00-06:00,274.57629161410864 V
2017-10-10T00:00:00-06:00,274.27618882921007 V
2017-10-11T00:00:00-06:00,274.4055999332004 V
2017-10-12T00:00:00-06:00,274.5490182028876 V
2017-10-13T00:00:00-06:00,274.4482095718384 V
2017-10-14T00:00:00-06:00,274.38485821617974 V
2017-10-15T00:00:00-06:00,274.38653212653264 V
2017-10-16T00:00:00-06:00,274.4506390677558 V
2017-10-17T00:00:00-06:00,274.1731011920505 V
2017-10-18T00:00:00-06:00,274.59082798428005 V
2017-10-19T00:00:00-06:00,274.702842564053 V
2017-10-20T00:00:00-06:00,274.3017091115316 V
2017-10-21T00:00:00-06:00,274.4736038631863 V
2017-10-22T00:00:00-06:00,274.3014579561022 V
2017-10-23T00:00:00-06:00,274.60296319325766 V
2017-10-24T00:00:00-06:00,274.2709844377306 V
2017-10-25T00:00:00-06:00,274.4733893712362 V
2017-10-26T00:00:00-06:00,274.20985486772327 V
2017-10-27T00:00:00-06:00,274.4962014304267 V
2017-10-28T00:00:00-06:00,274.31032384236653 V
2017-10-29T00:00:00-06:00,274.1763226191203 V
2017-10-30T00:00:00-06:00,274.50729910532635 V
2017-10-31T00:00:00-06:00,274.6850700378418 V
2017-11-01T00:00:00-06:00,274.01710851457386 V
2017-11-02T00:00:00-06:00,274.4111867056953 V
2017-11-03T00:00:00-06:00,274.6196934805976 V
2017-11-04T00:00:00-06:00,274.502568075392 V
2017-11-05T00:00:00-06:00,274.70753029378255 V
2017-11-06T00:00:00-07:00,274.7185174518161 V
2017-11-07T00:00:00-07:00,274.73967414432104 V
2017-11-08T00:00:00-07:00,274.31850583818226 V
2017-11-09T00:00:00-07:00,274.1138616349962 V
2017-11-10T00:00:00-07:00,274.48594402737086 V
2017-11-11T00:00:00-07:00,274.28388334910073 V
2017-11-12T00:00:00-07:00,274.4043896993001 V
2017-11-13T00:00:00-07:00,274.4396385616726 V
2017-11-14T00:00:00-07:00,274.24952318403456 V
2017-11-15T00:00:00-07:00,273.8316542943319 V
2017-11-16T00:00:00-07:00,274.8053320778741 V
2017-11-17T00:00:00-07:00,274.37526700761583 V
2017-11-18T00:00:00-07:00,274.8762571758694 V
2017-11-19T00:00:00-07:00,275.1346616744995 V
2017-11-20T00:00:00-07:00,274.75078324211967 V
2017-11-21T00:00:00-07:00,274.17252434624567 V
2017-11-22T00:00:00-07:00,274.6460963567098 V
2017-11-23T00:00:00-07:00,274.59739394717747 V
2017-11-24T00:00:00-07:00,274.6875480228 V
2017-11-25T00:00:00-07:00,274.53011326260037 V
2017-11-26T00:00:00-07:00,274.56855856577556 V
2017-11-27T00:00:00-07:00,274.7073994954427 V
2017-11-28T00:00:00-07:00,274.4554879082574 V
2017-11-29T00:00:00-07:00,274.34473487006295 V
2017-11-30T00:00:00-07:00,274.27830617692734 V
2017-12-01T00:00:00-07:00,274.5598541683621 V
2017-12-02T00:00:00-07:00,274.3765484068129 V
2017-12-03T00:00:00-07:00,274.32225634257 V
2017-12-04T00:00:00-07:00,274.19689617156985 V
2017-12-05T00:00:00-07:00,274.41112711164686 V
2017-12-06T00:00:00-07:00,274.4158107757568 V
2017-12-07T00:00:00-07:00,274.53665046691896 V
2017-12-08T00:00:00-07:00,274.790296236674 V
2017-12-09T00:00:00-07:00,274.91705532073973 V
2017-12-10T00:00:00-07:00,274.75706910027395 V
2017-12-11T00:00:00-07:00,274.2091242896186 V
2017-12-12T00:00:00-07:00,274.1042126337687 V
2017-12-13T00:00:00-07:00,274.28558767106796 V
