Timestamp,['20767dcb-fdafe54f 0011-BROWNING BLDG Power Meter 300033 Current B']
2017-11-02T00:00:00-06:00,256.0292420387268 A
2017-11-03T00:00:00-06:00,249.3247125943502 A
2017-11-04T00:00:00-06:00,226.8998262087504 A
2017-11-05T00:00:00-06:00,228.82628692626952 A
2017-11-06T00:00:00-07:00,248.40947596232095 A
2017-11-07T00:00:00-07:00,244.75289630889893 A
2017-11-08T00:00:00-07:00,249.06527741750082 A
2017-11-09T00:00:00-07:00,240.7319491704305 A
2017-11-10T00:00:00-07:00,234.74319823582968 A
2017-11-11T00:00:00-07:00,227.62819369633993 A
2017-11-12T00:00:00-07:00,224.9754088719686 A
2017-11-13T00:00:00-07:00,240.14843940734863 A
2017-11-14T00:00:00-07:00,238.67237424850464 A
2017-11-15T00:00:00-07:00,237.72349770863852 A
2017-11-16T00:00:00-07:00,242.06812286376953 A
2017-11-17T00:00:00-07:00,246.88283252716064 A
2017-11-18T00:00:00-07:00,235.3749100367228 A
2017-11-19T00:00:00-07:00,233.1105318069458 A
2017-11-20T00:00:00-07:00,247.6204981803894 A
2017-11-21T00:00:00-07:00,244.2970485687256 A
2017-11-22T00:00:00-07:00,240.26801665623984 A
2017-11-23T00:00:00-07:00,222.60531520843506 A
2017-11-24T00:00:00-07:00,225.75371901194254 A
2017-11-25T00:00:00-07:00,228.0565366744995 A
2017-11-26T00:00:00-07:00,225.35113461812338 A
2017-11-27T00:00:00-07:00,255.60717566808066 A
2017-11-28T00:00:00-07:00,247.69553073247275 A
2017-11-29T00:00:00-07:00,245.28414471944174 A
2017-11-30T00:00:00-07:00,248.00505526860556 A
2017-12-01T00:00:00-07:00,246.52309640248617 A
2017-12-02T00:00:00-07:00,229.3709724744161 A
2017-12-03T00:00:00-07:00,229.11034615834555 A
2017-12-04T00:00:00-07:00,257.46443065007526 A
2017-12-05T00:00:00-07:00,267.084907690684 A
2017-12-06T00:00:00-07:00,266.6421523094177 A
2017-12-07T00:00:00-07:00,264.81144762039185 A
2017-12-08T00:00:00-07:00,272.74987236658734 A
2017-12-09T00:00:00-07:00,244.2204376856486 A
2017-12-10T00:00:00-07:00,241.43687931696573 A
2017-12-11T00:00:00-07:00,258.32330226898193 A
2017-12-12T00:00:00-07:00,258.91915400822955 A
2017-12-13T00:00:00-07:00,268.0218788782756 A
2017-12-14T00:00:00-07:00,273.93602752685547 A
2017-12-15T00:00:00-07:00,273.9389934539795 A
2017-12-16T00:00:00-07:00,262.7290113766988 A
2017-12-17T00:00:00-07:00,262.99377695719403 A
2017-12-18T00:00:00-07:00,276.22217157835604 A
2017-12-19T00:00:00-07:00,268.33393414815265 A
2017-12-20T00:00:00-07:00,261.5590664545695 A
2017-12-21T00:00:00-07:00,262.156037012736 A
2017-12-22T00:00:00-07:00,260.1382457415263 A
2017-12-23T00:00:00-07:00,252.47825717926025 A
2017-12-24T00:00:00-07:00,254.25318384170532 A
2017-12-25T00:00:00-07:00,252.18487103780112 A
2017-12-26T00:00:00-07:00,250.78918075561523 A
2017-12-27T00:00:00-07:00,248.7172679901123 A
2017-12-28T00:00:00-07:00,248.86800940831503 A
2017-12-29T00:00:00-07:00,238.72736962636313 A
2017-12-30T00:00:00-07:00,236.7664442062378 A
2017-12-31T00:00:00-07:00,239.8748722076416 A
