Timestamp,['1cca745e-dec3256d 0062-WARNOCK ENGR BLDG Power Meter 316606 Current B']
2017-06-11T00:00:00-06:00,75.4972027972028 A
2017-06-12T00:00:00-06:00,100.40694444444445 A
2017-06-13T00:00:00-06:00,103.14305555555555 A
2017-06-14T00:00:00-06:00,96.07291666666667 A
2017-06-15T00:00:00-06:00,88.12013888888889 A
2017-06-16T00:00:00-06:00,85.10208333333334 A
2017-06-17T00:00:00-06:00,68.20902777777778 A
2017-06-18T00:00:00-06:00,68.65694444444445 A
2017-06-19T00:00:00-06:00,91.67222222222222 A
2017-06-20T00:00:00-06:00,89.71805555555555 A
2017-06-21T00:00:00-06:00,92.825 A
2017-06-22T00:00:00-06:00,90.44583333333334 A
2017-06-23T00:00:00-06:00,86.91388888888889 A
2017-06-24T00:00:00-06:00,71.21111111111111 A
2017-06-25T00:00:00-06:00,70.25555555555556 A
2017-06-26T00:00:00-06:00,93.04331013147718 A
2017-06-27T00:00:00-06:00,91.34375 A
2017-06-28T00:00:00-06:00,93.3125 A
2017-06-29T00:00:00-06:00,88.51041666666667 A
2017-06-30T00:00:00-06:00,86.70833333333333 A
2017-07-01T00:00:00-06:00,68.35416666666667 A
2017-07-02T00:00:00-06:00,67.97916666666667 A
2017-07-03T00:00:00-06:00,75.71875 A
2017-07-04T00:00:00-06:00,69.27083333333333 A
2017-07-05T00:00:00-06:00,88.125 A
2017-07-06T00:00:00-06:00,87.4375 A
2017-07-07T00:00:00-06:00,81.44791666666667 A
2017-07-08T00:00:00-06:00,67.14736842105263 A
2017-07-09T00:00:00-06:00,68.1875 A
2017-07-10T00:00:00-06:00,91.47916666666667 A
2017-07-11T00:00:00-06:00,94.53125 A
2017-07-12T00:00:00-06:00,93.875 A
2017-07-13T00:00:00-06:00,93.65625 A
2017-07-14T00:00:00-06:00,90.38541666666667 A
2017-07-15T00:00:00-06:00,72.22916666666667 A
2017-07-16T00:00:00-06:00,73.5 A
2017-07-17T00:00:00-06:00,89.51041666666667 A
2017-07-18T00:00:00-06:00,95.10416666666667 A
2017-07-19T00:00:00-06:00,92.6 A
2017-07-20T00:00:00-06:00,92.11458333333333 A
2017-07-21T00:00:00-06:00,88.58333333333333 A
2017-07-22T00:00:00-06:00,69.22916666666667 A
2017-07-23T00:00:00-06:00,68.40625 A
2017-07-24T00:00:00-06:00,70.63541666666667 A
2017-07-25T00:00:00-06:00,88.53125 A
2017-07-26T00:00:00-06:00,84.88541666666667 A
2017-07-27T00:00:00-06:00,86.51041666666667 A
2017-07-28T00:00:00-06:00,81.03125 A
2017-07-29T00:00:00-06:00,69.05208333333333 A
2017-07-30T00:00:00-06:00,69.11458333333333 A
2017-07-31T00:00:00-06:00,85.34375 A
2017-08-01T00:00:00-06:00,90.76041666666667 A
2017-08-02T00:00:00-06:00,93.1875 A
2017-08-03T00:00:00-06:00,92.94791666666667 A
2017-08-04T00:00:00-06:00,82.61797752808988 A
2017-08-05T00:00:00-06:00,70.875 A
2017-08-06T00:00:00-06:00,70.69791666666667 A
2017-08-07T00:00:00-06:00,81.94791666666667 A
2017-08-08T00:00:00-06:00,85.08333333333333 A
2017-08-09T00:00:00-06:00,87.41304347826087 A
2017-08-10T00:00:00-06:00,83.70652173913044 A
2017-08-11T00:00:00-06:00,85.33333333333333 A
