Timestamp,['1cac27e6-8238e2f0 0077-CHRISTENSEN CNTR Power Meter (300172) KW Total']
2017-09-17T00:00:00-06:00,60.36263996846152 kW
2017-09-18T00:00:00-06:00,85.67838868763708 kW
2017-09-19T00:00:00-06:00,88.88949576430855 kW
2017-09-20T00:00:00-06:00,95.96677696921194 kW
2017-09-21T00:00:00-06:00,81.24681760739412 kW
2017-09-22T00:00:00-06:00,72.3924736109928 kW
2017-09-23T00:00:00-06:00,62.002788965834455 kW
2017-09-24T00:00:00-06:00,62.53294244320305 kW
2017-09-25T00:00:00-06:00,85.48363850836404 kW
2017-09-26T00:00:00-06:00,94.94725467907062 kW
2017-09-27T00:00:00-06:00,85.75351095667598 kW
2017-09-28T00:00:00-06:00,83.02675056002755 kW
2017-09-29T00:00:00-06:00,82.12187583963062 kW
2017-09-30T00:00:00-06:00,78.90036145064556 kW
2017-10-01T00:00:00-06:00,69.4744208661715 kW
2017-10-02T00:00:00-06:00,83.43593804218155 kW
2017-10-03T00:00:00-06:00,81.98868737092731 kW
2017-10-04T00:00:00-06:00,83.56710654104192 kW
2017-10-05T00:00:00-06:00,84.77300330334235 kW
2017-10-06T00:00:00-06:00,77.33934860203001 kW
2017-10-07T00:00:00-06:00,74.98129145392676 kW
2017-10-08T00:00:00-06:00,76.41776590214823 kW
2017-10-09T00:00:00-06:00,79.43709915364227 kW
2017-10-10T00:00:00-06:00,80.94925002084834 kW
2017-10-11T00:00:00-06:00,80.2849512565577 kW
2017-10-12T00:00:00-06:00,76.59742945128006 kW
2017-10-13T00:00:00-06:00,80.12852459426277 kW
2017-10-14T00:00:00-06:00,76.41062936107313 kW
2017-10-15T00:00:00-06:00,67.26554572056853 kW
2017-10-16T00:00:00-06:00,86.59945740178775 kW
2017-10-17T00:00:00-06:00,90.00218645625641 kW
2017-10-18T00:00:00-06:00,82.38038221571189 kW
2017-10-19T00:00:00-06:00,87.89872657316722 kW
2017-10-20T00:00:00-06:00,75.84562642547806 kW
2017-10-21T00:00:00-06:00,76.67228652954107 kW
2017-10-22T00:00:00-06:00,76.34845689963417 kW
2017-10-23T00:00:00-06:00,85.28899455957936 kW
2017-10-24T00:00:00-06:00,89.7900832599181 kW
2017-10-25T00:00:00-06:00,82.45536243107573 kW
2017-10-26T00:00:00-06:00,88.30609061086612 kW
2017-10-27T00:00:00-06:00,76.8620584880424 kW
2017-10-28T00:00:00-06:00,73.17727821482553 kW
2017-10-29T00:00:00-06:00,67.55649147338336 kW
2017-10-30T00:00:00-06:00,78.60645740270631 kW
2017-10-31T00:00:00-06:00,70.94992566837202 kW
2017-11-01T00:00:00-06:00,80.54615949776435 kW
2017-11-02T00:00:00-06:00,84.86284883755226 kW
2017-11-03T00:00:00-06:00,76.79681898227449 kW
2017-11-04T00:00:00-06:00,71.76970678819545 kW
2017-11-05T00:00:00-06:00,69.95640297160675 kW
2017-11-06T00:00:00-07:00,78.55172804271727 kW
2017-11-07T00:00:00-07:00,79.63941711302151 kW
2017-11-08T00:00:00-07:00,80.20897615671178 kW
2017-11-09T00:00:00-07:00,81.80859848477208 kW
2017-11-10T00:00:00-07:00,78.10665426497101 kW
2017-11-11T00:00:00-07:00,77.21737588281985 kW
2017-11-12T00:00:00-07:00,68.49478088109576 kW
2017-11-13T00:00:00-07:00,82.80819267113989 kW
2017-11-14T00:00:00-07:00,83.81430584483672 kW
2017-11-15T00:00:00-07:00,81.30286981282414 kW
2017-11-16T00:00:00-07:00,81.72642365928037 kW
2017-11-17T00:00:00-07:00,77.05092753467731 kW
2017-11-18T00:00:00-07:00,73.69010966949988 kW
2017-11-19T00:00:00-07:00,72.6385157643425 kW
2017-11-20T00:00:00-07:00,80.29498727445262 kW
2017-11-21T00:00:00-07:00,79.5428304090322 kW
2017-11-22T00:00:00-07:00,75.14084957573148 kW
2017-11-23T00:00:00-07:00,62.6390442457684 kW
2017-11-24T00:00:00-07:00,57.78994603525727 kW
2017-11-25T00:00:00-07:00,55.005501246077024 kW
2017-11-26T00:00:00-07:00,54.558949146535774 kW
2017-11-27T00:00:00-07:00,75.97212788339021 kW
2017-11-28T00:00:00-07:00,79.95819086719438 kW
2017-11-29T00:00:00-07:00,82.15530935181518 kW
2017-11-30T00:00:00-07:00,81.49240846457299 kW
2017-12-01T00:00:00-07:00,76.89448481723115 kW
2017-12-02T00:00:00-07:00,74.32672061209327 kW
2017-12-03T00:00:00-07:00,68.82163862016472 kW
2017-12-04T00:00:00-07:00,82.98340844812215 kW
2017-12-05T00:00:00-07:00,86.13198143354158 kW
2017-12-06T00:00:00-07:00,87.33615741177837 kW
2017-12-07T00:00:00-07:00,90.31153220189944 kW
2017-12-08T00:00:00-07:00,75.76072791991395 kW
2017-12-09T00:00:00-07:00,72.71709527894296 kW
2017-12-10T00:00:00-07:00,76.40030255993197 kW
2017-12-11T00:00:00-07:00,91.57123742478898 kW
2017-12-12T00:00:00-07:00,80.2810406809383 kW
2017-12-13T00:00:00-07:00,88.92252686116434 kW
2017-12-14T00:00:00-07:00,89.5469192259401 kW
2017-12-15T00:00:00-07:00,76.85728705684338 kW
2017-12-16T00:00:00-07:00,73.51984301297747 kW
2017-12-17T00:00:00-07:00,67.66223416187148 kW
2017-12-18T00:00:00-07:00,77.82084423012202 kW
2017-12-19T00:00:00-07:00,71.22982560771493 kW
2017-12-20T00:00:00-07:00,74.76895399142185 kW
2017-12-21T00:00:00-07:00,72.70077589860668 kW
2017-12-22T00:00:00-07:00,68.53525706021854 kW
2017-12-23T00:00:00-07:00,62.34750875691567 kW
2017-12-24T00:00:00-07:00,61.09543441900502 kW
2017-12-25T00:00:00-07:00,65.38220132810108 kW
2017-12-26T00:00:00-07:00,63.75694312908039 kW
2017-12-27T00:00:00-07:00,62.24622211884566 kW
2017-12-28T00:00:00-07:00,58.489165558108525 kW
2017-12-29T00:00:00-07:00,53.13038901841191 kW
2017-12-30T00:00:00-07:00,52.6804854786396 kW
2017-12-31T00:00:00-07:00,54.307083184542556 kW
