Timestamp,['1cd3e160-b67cf7ec 0049-LANGUAGE & COMMUNICATION BLDG Power Meter KWH Received']
2017-06-04T00:00:00-06:00,1378 kWh
2017-06-05T00:00:00-06:00,2550 kWh
2017-06-06T00:00:00-06:00,2362 kWh
2017-06-07T00:00:00-06:00,2417 kWh
2017-06-08T00:00:00-06:00,2414 kWh
2017-06-09T00:00:00-06:00,2336 kWh
2017-06-10T00:00:00-06:00,1772 kWh
2017-06-11T00:00:00-06:00,1324 kWh
2017-06-12T00:00:00-06:00,2296 kWh
2017-06-13T00:00:00-06:00,2042 kWh
2017-06-14T00:00:00-06:00,2087 kWh
2017-06-15T00:00:00-06:00,2136 kWh
2017-06-16T00:00:00-06:00,2126 kWh
2017-06-17T00:00:00-06:00,1757 kWh
2017-06-18T00:00:00-06:00,1299 kWh
2017-06-19T00:00:00-06:00,2724 kWh
2017-06-20T00:00:00-06:00,2750 kWh
2017-06-21T00:00:00-06:00,2686 kWh
2017-06-22T00:00:00-06:00,2335 kWh
2017-06-23T00:00:00-06:00,2121 kWh
2017-06-24T00:00:00-06:00,1796 kWh
2017-06-25T00:00:00-06:00,1492 kWh
2017-06-26T00:00:00-06:00,3177 kWh
2017-06-27T00:00:00-06:00,2752 kWh
2017-06-28T00:00:00-06:00,2570 kWh
2017-06-29T00:00:00-06:00,2394 kWh
2017-06-30T00:00:00-06:00,2320 kWh
2017-07-01T00:00:00-06:00,1977 kWh
2017-07-02T00:00:00-06:00,1774 kWh
2017-07-03T00:00:00-06:00,2473 kWh
2017-07-04T00:00:00-06:00,2326 kWh
2017-07-05T00:00:00-06:00,2587 kWh
2017-07-06T00:00:00-06:00,2779 kWh
2017-07-07T00:00:00-06:00,2847 kWh
2017-07-08T00:00:00-06:00,2458 kWh
2017-07-09T00:00:00-06:00,1416 kWh
2017-07-10T00:00:00-06:00,3347 kWh
2017-07-11T00:00:00-06:00,2889 kWh
2017-07-12T00:00:00-06:00,2687 kWh
2017-07-13T00:00:00-06:00,2341 kWh
2017-07-14T00:00:00-06:00,2312 kWh
2017-07-15T00:00:00-06:00,2026 kWh
2017-07-16T00:00:00-06:00,2021 kWh
2017-07-17T00:00:00-06:00,2329 kWh
2017-07-18T00:00:00-06:00,2447 kWh
2017-07-19T00:00:00-06:00,2306 kWh
2017-07-20T00:00:00-06:00,2228 kWh
2017-07-21T00:00:00-06:00,2278 kWh
2017-07-22T00:00:00-06:00,1910 kWh
2017-07-23T00:00:00-06:00,1878 kWh
2017-07-24T00:00:00-06:00,2028 kWh
2017-07-25T00:00:00-06:00,2218 kWh
2017-07-26T00:00:00-06:00,2385 kWh
2017-07-27T00:00:00-06:00,2439 kWh
2017-07-28T00:00:00-06:00,2344 kWh
2017-07-29T00:00:00-06:00,2042 kWh
2017-07-30T00:00:00-06:00,2081 kWh
2017-07-31T00:00:00-06:00,2437 kWh
2017-08-01T00:00:00-06:00,2511 kWh
2017-08-02T00:00:00-06:00,2419 kWh
2017-08-03T00:00:00-06:00,2406 kWh
2017-08-04T00:00:00-06:00,2286 kWh
2017-08-05T00:00:00-06:00,1902 kWh
2017-08-06T00:00:00-06:00,1862 kWh
2017-08-07T00:00:00-06:00,2246 kWh
2017-08-08T00:00:00-06:00,2285 kWh
2017-08-09T00:00:00-06:00,2269 kWh
2017-08-10T00:00:00-06:00,2325 kWh
2017-08-11T00:00:00-06:00,2276 kWh
2017-08-12T00:00:00-06:00,1920 kWh
2017-08-13T00:00:00-06:00,1897 kWh
2017-08-14T00:00:00-06:00,2291 kWh
2017-08-15T00:00:00-06:00,2327 kWh
2017-08-16T00:00:00-06:00,2291 kWh
2017-08-17T00:00:00-06:00,2296 kWh
2017-08-18T00:00:00-06:00,2287 kWh
2017-08-19T00:00:00-06:00,1924 kWh
2017-08-20T00:00:00-06:00,1935 kWh
2017-08-21T00:00:00-06:00,2466 kWh
2017-08-22T00:00:00-06:00,2559 kWh
2017-08-23T00:00:00-06:00,2500 kWh
2017-08-24T00:00:00-06:00,2479 kWh
2017-08-25T00:00:00-06:00,2293 kWh
2017-08-26T00:00:00-06:00,1914 kWh
2017-08-27T00:00:00-06:00,1889 kWh
2017-08-28T00:00:00-06:00,2572 kWh
2017-08-29T00:00:00-06:00,2597 kWh
2017-08-30T00:00:00-06:00,2647 kWh
2017-08-31T00:00:00-06:00,2494 kWh
2017-09-01T00:00:00-06:00,2395 kWh
2017-09-02T00:00:00-06:00,1941 kWh
2017-09-03T00:00:00-06:00,1947 kWh
2017-09-04T00:00:00-06:00,2069 kWh
2017-09-05T00:00:00-06:00,2547 kWh
2017-09-06T00:00:00-06:00,2531 kWh
2017-09-07T00:00:00-06:00,2476 kWh
2017-09-08T00:00:00-06:00,2376 kWh
2017-09-09T00:00:00-06:00,1945 kWh
2017-09-10T00:00:00-06:00,1934 kWh
2017-09-11T00:00:00-06:00,2530 kWh
