Timestamp,['1cf8d817-b30bb309 0064-MERRILL ENGINEERING BLDG Power Meter (powerlogic) 316608 Current C']
2017-06-18T00:00:00-06:00,145.29166666666666 A
2017-06-19T00:00:00-06:00,143.16666666666666 A
2017-06-20T00:00:00-06:00,142.11458333333334 A
2017-06-21T00:00:00-06:00,143.94791666666666 A
2017-06-22T00:00:00-06:00,142.6875 A
2017-06-23T00:00:00-06:00,140.0625 A
2017-06-24T00:00:00-06:00,141.53125 A
2017-06-25T00:00:00-06:00,141.67708333333334 A
2017-06-26T00:00:00-06:00,141.84375 A
2017-06-27T00:00:00-06:00,141.47916666666666 A
2017-06-28T00:00:00-06:00,141.21875 A
2017-06-29T00:00:00-06:00,142.34375 A
2017-06-30T00:00:00-06:00,143.64583333333334 A
2017-07-01T00:00:00-06:00,144.34375 A
2017-07-02T00:00:00-06:00,146.40625 A
2017-07-03T00:00:00-06:00,146.17708333333334 A
2017-07-04T00:00:00-06:00,143.76041666666666 A
2017-07-05T00:00:00-06:00,143.67708333333334 A
2017-07-06T00:00:00-06:00,144.21875 A
2017-07-07T00:00:00-06:00,144.11458333333334 A
2017-07-08T00:00:00-06:00,145.36458333333334 A
2017-07-09T00:00:00-06:00,145.8125 A
2017-07-10T00:00:00-06:00,144.52083333333334 A
2017-07-11T00:00:00-06:00,144.69791666666666 A
2017-07-12T00:00:00-06:00,143.79166666666666 A
2017-07-13T00:00:00-06:00,144.26041666666666 A
2017-07-14T00:00:00-06:00,145.95833333333334 A
2017-07-15T00:00:00-06:00,144.96875 A
2017-07-16T00:00:00-06:00,144.67708333333334 A
2017-07-17T00:00:00-06:00,143.45833333333334 A
2017-07-18T00:00:00-06:00,142.625 A
2017-07-19T00:00:00-06:00,143.51041666666666 A
2017-07-20T00:00:00-06:00,143.98958333333334 A
2017-07-21T00:00:00-06:00,143.625 A
2017-07-22T00:00:00-06:00,144.96875 A
2017-07-23T00:00:00-06:00,144.79166666666666 A
2017-07-24T00:00:00-06:00,143.35416666666666 A
2017-07-25T00:00:00-06:00,145.28125 A
2017-07-26T00:00:00-06:00,145.28125 A
2017-07-27T00:00:00-06:00,144.10416666666666 A
2017-07-28T00:00:00-06:00,144.16666666666666 A
2017-07-29T00:00:00-06:00,144.79166666666666 A
2017-07-30T00:00:00-06:00,144.52083333333334 A
2017-07-31T00:00:00-06:00,144.30208333333334 A
2017-08-01T00:00:00-06:00,141.52083333333334 A
2017-08-02T00:00:00-06:00,141.03125 A
2017-08-03T00:00:00-06:00,140.40625 A
2017-08-04T00:00:00-06:00,142.26666666666668 A
2017-08-05T00:00:00-06:00,143.54166666666666 A
2017-08-06T00:00:00-06:00,143.53125 A
2017-08-07T00:00:00-06:00,144.33333333333334 A
2017-08-08T00:00:00-06:00,142.13541666666666 A
2017-08-09T00:00:00-06:00,141.5 A
2017-08-10T00:00:00-06:00,141.90322580645162 A
2017-08-11T00:00:00-06:00,141.53125 A
2017-08-12T00:00:00-06:00,142.02083333333334 A
2017-08-13T00:00:00-06:00,143.25 A
2017-08-14T00:00:00-06:00,144.03125 A
2017-08-15T00:00:00-06:00,142.95833333333334 A
2017-08-16T00:00:00-06:00,142.90625 A
2017-08-17T00:00:00-06:00,142.94791666666666 A
2017-08-18T00:00:00-06:00,143.21875 A
2017-08-19T00:00:00-06:00,144.60416666666666 A
2017-08-20T00:00:00-06:00,146.13541666666666 A
2017-08-21T00:00:00-06:00,144.38541666666666 A
2017-08-22T00:00:00-06:00,144.70833333333334 A
2017-08-23T00:00:00-06:00,144.07291666666666 A
2017-08-24T00:00:00-06:00,143.20833333333334 A
2017-08-25T00:00:00-06:00,143.125 A
2017-08-26T00:00:00-06:00,143.36458333333334 A
2017-08-27T00:00:00-06:00,145.05208333333334 A
2017-08-28T00:00:00-06:00,144.32183908045977 A
2017-08-29T00:00:00-06:00,142.16666666666666 A
2017-08-30T00:00:00-06:00,141.9375 A
2017-08-31T00:00:00-06:00,141.88541666666666 A
2017-09-01T00:00:00-06:00,143.14583333333334 A
2017-09-02T00:00:00-06:00,146.79166666666666 A
2017-09-03T00:00:00-06:00,142.53125 A
2017-09-04T00:00:00-06:00,142.57291666666666 A
2017-09-05T00:00:00-06:00,143.69791666666666 A
2017-09-06T00:00:00-06:00,144.4375 A
2017-09-07T00:00:00-06:00,143.16666666666666 A
2017-09-08T00:00:00-06:00,142.58064516129033 A
2017-09-09T00:00:00-06:00,141.78125 A
2017-09-10T00:00:00-06:00,140.94791666666666 A
2017-09-11T00:00:00-06:00,140.70833333333334 A
2017-09-12T00:00:00-06:00,141.65625 A
2017-09-13T00:00:00-06:00,142.6875 A
2017-09-14T00:00:00-06:00,142.19791666666666 A
2017-09-15T00:00:00-06:00,141.51041666666666 A
2017-09-16T00:00:00-06:00,143.5625 A
2017-09-17T00:00:00-06:00,142.35416666666666 A
2017-09-18T00:00:00-06:00,142.83333333333334 A
2017-09-19T00:00:00-06:00,141.38541666666666 A
2017-09-20T00:00:00-06:00,141.98958333333334 A
2017-09-21T00:00:00-06:00,142.76041666666666 A
2017-09-22T00:00:00-06:00,143.53125 A
2017-09-23T00:00:00-06:00,141.76041666666666 A
2017-09-24T00:00:00-06:00,143.1875 A
2017-09-25T00:00:00-06:00,140.82291666666666 A
2017-09-26T00:00:00-06:00,143.54166666666666 A
2017-09-27T00:00:00-06:00,142.51041666666666 A
2017-09-28T00:00:00-06:00,143.92708333333334 A
2017-09-29T00:00:00-06:00,145.54166666666666 A
2017-09-30T00:00:00-06:00,147.27083333333334 A
2017-10-01T00:00:00-06:00,147.47916666666666 A
2017-10-02T00:00:00-06:00,147 A
2017-10-03T00:00:00-06:00,147.33333333333334 A
2017-10-04T00:00:00-06:00,146.10416666666666 A
2017-10-05T00:00:00-06:00,143.5 A
2017-10-06T00:00:00-06:00,143.30208333333334 A
2017-10-07T00:00:00-06:00,144.20833333333334 A
2017-10-08T00:00:00-06:00,144.16666666666666 A
2017-10-09T00:00:00-06:00,143.34375 A
2017-10-10T00:00:00-06:00,141.92708333333334 A
2017-10-11T00:00:00-06:00,143.22916666666666 A
2017-10-12T00:00:00-06:00,140.9375 A
2017-10-13T00:00:00-06:00,141.8125 A
2017-10-14T00:00:00-06:00,144.34375 A
2017-10-15T00:00:00-06:00,144.1875 A
2017-10-16T00:00:00-06:00,142.88541666666666 A
2017-10-17T00:00:00-06:00,145.22916666666666 A
2017-10-18T00:00:00-06:00,144.71875 A
2017-10-19T00:00:00-06:00,143.39583333333334 A
2017-10-20T00:00:00-06:00,143.47916666666666 A
2017-10-21T00:00:00-06:00,143.64583333333334 A
2017-10-22T00:00:00-06:00,144.40625 A
2017-10-23T00:00:00-06:00,146.59375 A
2017-10-24T00:00:00-06:00,147.25 A
2017-10-25T00:00:00-06:00,145.125 A
2017-10-26T00:00:00-06:00,144 A
2017-10-27T00:00:00-06:00,143.73958333333334 A
2017-10-28T00:00:00-06:00,143.10416666666666 A
2017-10-29T00:00:00-06:00,142.83333333333334 A
2017-10-30T00:00:00-06:00,142.625 A
2017-10-31T00:00:00-06:00,143.57291666666666 A
2017-11-01T00:00:00-06:00,146.16666666666666 A
2017-11-02T00:00:00-06:00,146.46875 A
2017-11-03T00:00:00-06:00,147.89583333333334 A
2017-11-04T00:00:00-06:00,147.9375 A
2017-11-05T00:00:00-06:00,147.75 A
2017-11-06T00:00:00-07:00,145.46875 A
2017-11-07T00:00:00-07:00,144.73958333333334 A
2017-11-08T00:00:00-07:00,146.83333333333334 A
2017-11-09T00:00:00-07:00,144.92708333333334 A
2017-11-10T00:00:00-07:00,144.86458333333334 A
2017-11-11T00:00:00-07:00,146.32291666666666 A
2017-11-12T00:00:00-07:00,146.13541666666666 A
2017-11-13T00:00:00-07:00,145.77083333333334 A
2017-11-14T00:00:00-07:00,143.57291666666666 A
2017-11-15T00:00:00-07:00,144.19791666666666 A
2017-11-16T00:00:00-07:00,143 A
2017-11-17T00:00:00-07:00,143.83333333333334 A
2017-11-18T00:00:00-07:00,144.41666666666666 A
2017-11-19T00:00:00-07:00,145.38541666666666 A
2017-11-20T00:00:00-07:00,143.03125 A
2017-11-21T00:00:00-07:00,144.83333333333334 A
2017-11-22T00:00:00-07:00,144.35416666666666 A
2017-11-23T00:00:00-07:00,144.0625 A
2017-11-24T00:00:00-07:00,144.86458333333334 A
2017-11-25T00:00:00-07:00,146.69791666666666 A
2017-11-26T00:00:00-07:00,145.76041666666666 A
2017-11-27T00:00:00-07:00,144.60416666666666 A
2017-11-28T00:00:00-07:00,145.40625 A
2017-11-29T00:00:00-07:00,145.96875 A
2017-11-30T00:00:00-07:00,147.94791666666666 A
2017-12-01T00:00:00-07:00,145.1875 A
2017-12-02T00:00:00-07:00,145.36458333333334 A
2017-12-03T00:00:00-07:00,143.46875 A
2017-12-04T00:00:00-07:00,145.38541666666666 A
2017-12-05T00:00:00-07:00,145.72916666666666 A
2017-12-06T00:00:00-07:00,145.92708333333334 A
2017-12-07T00:00:00-07:00,146.02083333333334 A
2017-12-08T00:00:00-07:00,147.36458333333334 A
2017-12-09T00:00:00-07:00,147.23958333333334 A
2017-12-10T00:00:00-07:00,147.34375 A
2017-12-11T00:00:00-07:00,147.08333333333334 A
2017-12-12T00:00:00-07:00,146.125 A
2017-12-13T00:00:00-07:00,145.95833333333334 A
2017-12-14T00:00:00-07:00,146.875 A
2017-12-15T00:00:00-07:00,149.07291666666666 A
2017-12-16T00:00:00-07:00,148.8125 A
2017-12-17T00:00:00-07:00,148.13541666666666 A
2017-12-18T00:00:00-07:00,144.32222222222222 A
2017-12-19T00:00:00-07:00,144.90625 A
2017-12-20T00:00:00-07:00,146.21875 A
2017-12-21T00:00:00-07:00,145.85416666666666 A
2017-12-22T00:00:00-07:00,148.71875 A
2017-12-23T00:00:00-07:00,149.33333333333334 A
2017-12-24T00:00:00-07:00,147.21875 A
2017-12-25T00:00:00-07:00,147.47916666666666 A
2017-12-26T00:00:00-07:00,147.375 A
2017-12-27T00:00:00-07:00,148.08333333333334 A
2017-12-28T00:00:00-07:00,148.5 A
2017-12-29T00:00:00-07:00,150.19791666666666 A
2017-12-30T00:00:00-07:00,150.60416666666666 A
2017-12-31T00:00:00-07:00,149.6875 A
