Timestamp,['1cd68420-946f7cc6 Power Meter (HV) (316610) Current C']
2017-11-10T00:00:00-07:00,99.01052631578948 A
2017-11-11T00:00:00-07:00,95.52083333333333 A
2017-11-12T00:00:00-07:00,98.05263157894737 A
2017-11-13T00:00:00-07:00,96.77894736842106 A
2017-11-14T00:00:00-07:00,90.1875 A
2017-11-15T00:00:00-07:00,88.10416666666667 A
2017-11-16T00:00:00-07:00,120.6875 A
2017-11-17T00:00:00-07:00,101.72631578947369 A
2017-11-18T00:00:00-07:00,103.09375 A
2017-11-19T00:00:00-07:00,104.11458333333333 A
2017-11-20T00:00:00-07:00,104.55208333333333 A
2017-11-21T00:00:00-07:00,110.85416666666667 A
2017-11-22T00:00:00-07:00,110.98958333333333 A
2017-11-23T00:00:00-07:00,94.46875 A
2017-11-24T00:00:00-07:00,100.87234042553192 A
2017-11-25T00:00:00-07:00,94.46875 A
2017-11-26T00:00:00-07:00,101.76041666666667 A
2017-11-27T00:00:00-07:00,117.76041666666667 A
2017-11-28T00:00:00-07:00,95.48958333333333 A
2017-11-29T00:00:00-07:00,94.72631578947369 A
2017-11-30T00:00:00-07:00,91.74736842105263 A
2017-12-01T00:00:00-07:00,93.58333333333333 A
2017-12-02T00:00:00-07:00,94.27083333333333 A
2017-12-03T00:00:00-07:00,91.57291666666667 A
2017-12-04T00:00:00-07:00,88.3157894736842 A
2017-12-05T00:00:00-07:00,90.90625 A
2017-12-06T00:00:00-07:00,91.66666666666667 A
2017-12-07T00:00:00-07:00,92.83333333333333 A
2017-12-08T00:00:00-07:00,92.4375 A
2017-12-09T00:00:00-07:00,91.1875 A
2017-12-10T00:00:00-07:00,90.70833333333333 A
2017-12-11T00:00:00-07:00,94.58333333333333 A
2017-12-12T00:00:00-07:00,98.16666666666667 A
2017-12-13T00:00:00-07:00,96.46875 A
2017-12-14T00:00:00-07:00,90.23958333333333 A
2017-12-15T00:00:00-07:00,91.23958333333333 A
2017-12-16T00:00:00-07:00,87.41666666666667 A
2017-12-17T00:00:00-07:00,88.28125 A
2017-12-18T00:00:00-07:00,92.76923076923077 A
2017-12-19T00:00:00-07:00,90.70833333333333 A
2017-12-20T00:00:00-07:00,89.8125 A
2017-12-21T00:00:00-07:00,97.0625 A
2017-12-22T00:00:00-07:00,93.39583333333333 A
2017-12-23T00:00:00-07:00,90.16666666666667 A
2017-12-24T00:00:00-07:00,95.09375 A
2017-12-25T00:00:00-07:00,89.02083333333333 A
2017-12-26T00:00:00-07:00,88.27083333333333 A
2017-12-27T00:00:00-07:00,90.1875 A
2017-12-28T00:00:00-07:00,89.38541666666667 A
2017-12-29T00:00:00-07:00,89.27659574468085 A
2017-12-30T00:00:00-07:00,90.14583333333333 A
2017-12-31T00:00:00-07:00,94.3125 A
