Timestamp,['1d0b1c11-c0db75c7 0084-BIOLOGY BLDG Power Meter 316501 Current A']
2017-09-11T00:00:00-06:00,735.4042116362473 A
2017-09-12T00:00:00-06:00,739.7662653518936 A
2017-09-13T00:00:00-06:00,724.1483929346479 A
2017-09-14T00:00:00-06:00,696.2619380627648 A
2017-09-15T00:00:00-06:00,672.9963813194862 A
2017-09-16T00:00:00-06:00,670.9279160610465 A
2017-09-17T00:00:00-06:00,664.6149738856724 A
2017-09-18T00:00:00-06:00,714.9651969627098 A
2017-09-19T00:00:00-06:00,663.2625744878029 A
2017-09-20T00:00:00-06:00,714.2209930419922 A
2017-09-21T00:00:00-06:00,670.9813399969363 A
2017-09-22T00:00:00-06:00,652.3941538740949 A
2017-09-23T00:00:00-06:00,632.7116577148438 A
2017-09-24T00:00:00-06:00,596.6827903280453 A
2017-09-25T00:00:00-06:00,688.2729895249853 A
2017-09-26T00:00:00-06:00,668.0439121640961 A
2017-09-27T00:00:00-06:00,676.5451407596983 A
2017-09-28T00:00:00-06:00,676.427736070421 A
2017-09-29T00:00:00-06:00,705.1487007141113 A
2017-09-30T00:00:00-06:00,618.8754114221643 A
2017-10-01T00:00:00-06:00,625.2641143798828 A
2017-10-02T00:00:00-06:00,646.5975279516103 A
2017-10-03T00:00:00-06:00,676.0927019261602 A
2017-10-04T00:00:00-06:00,658.2706685747419 A
2017-10-05T00:00:00-06:00,675.8326326695884 A
2017-10-06T00:00:00-06:00,688.572836886631 A
2017-10-07T00:00:00-06:00,694.040940629675 A
2017-10-08T00:00:00-06:00,599.4284426371256 A
2017-10-09T00:00:00-06:00,683.5290134974888 A
2017-10-10T00:00:00-06:00,672.0090735483977 A
2017-10-11T00:00:00-06:00,674.0354167979251 A
2017-10-12T00:00:00-06:00,658.5493497848511 A
2017-10-13T00:00:00-06:00,666.2287515004476 A
2017-10-14T00:00:00-06:00,645.0242853164673 A
2017-10-15T00:00:00-06:00,628.6373691558838 A
2017-10-16T00:00:00-06:00,642.8472814559937 A
2017-10-17T00:00:00-06:00,628.1596330006918 A
2017-10-18T00:00:00-06:00,636.3744331995646 A
2017-10-19T00:00:00-06:00,623.7647641499838 A
2017-10-20T00:00:00-06:00,664.8123837119655 A
2017-10-21T00:00:00-06:00,637.7401355107626 A
2017-10-22T00:00:00-06:00,636.9924821853638 A
2017-10-23T00:00:00-06:00,670.6142717997233 A
2017-10-24T00:00:00-06:00,665.6815102025082 A
2017-10-25T00:00:00-06:00,659.5463088353475 A
2017-10-26T00:00:00-06:00,642.1758138365665 A
