Timestamp,['1cc3fb92-cd30c790 0008-EMERY BLDG Power Meter 300026 Current A']
2017-12-07T00:00:00-07:00,93.53157552083333 A
2017-12-08T00:00:00-07:00,87.376953125 A
2017-12-09T00:00:00-07:00,65.68977864583333 A
2017-12-10T00:00:00-07:00,61.683268229166664 A
2017-12-11T00:00:00-07:00,82.09700520833333 A
2017-12-12T00:00:00-07:00,86.21354166666667 A
2017-12-13T00:00:00-07:00,93.10123697916667 A
2017-12-14T00:00:00-07:00,89.55598958333333 A
2017-12-15T00:00:00-07:00,80.4453125 A
2017-12-16T00:00:00-07:00,60.76171875 A
2017-12-17T00:00:00-07:00,60.994791666666664 A
2017-12-18T00:00:00-07:00,77.92002688172043 A
2017-12-19T00:00:00-07:00,78.88444010416667 A
2017-12-20T00:00:00-07:00,73.2587890625 A
2017-12-21T00:00:00-07:00,76.36328125 A
2017-12-22T00:00:00-07:00,73.50618489583333 A
2017-12-23T00:00:00-07:00,62.952473958333336 A
2017-12-24T00:00:00-07:00,62.08848684210526 A
2017-12-25T00:00:00-07:00,59.016927083333336 A
2017-12-26T00:00:00-07:00,57.954752604166664 A
2017-12-27T00:00:00-07:00,67.95768229166667 A
2017-12-28T00:00:00-07:00,71.2890625 A
2017-12-29T00:00:00-07:00,69.50065104166667 A
2017-12-30T00:00:00-07:00,69.146484375 A
2017-12-31T00:00:00-07:00,63.025716145833336 A
