Timestamp,['1cac28f5-9755cae4 0077-CHRISTENSEN CNTR Power Meter (300172) PM VOLT B-N']
2017-06-03T00:00:00-06:00,274.3582774911845 V
2017-06-04T00:00:00-06:00,274.422311507331 V
2017-06-05T00:00:00-06:00,274.1863764021132 V
2017-06-06T00:00:00-06:00,274.60686747233075 V
2017-06-07T00:00:00-06:00,274.35690116882324 V
2017-06-08T00:00:00-06:00,274.31081279571725 V
2017-06-09T00:00:00-06:00,274.3148904800415 V
2017-06-10T00:00:00-06:00,274.0756985558404 V
2017-06-11T00:00:00-06:00,274.21044157874434 V
2017-06-12T00:00:00-06:00,274.40183145735 V
2017-06-13T00:00:00-06:00,274.4540211012829 V
2017-06-14T00:00:00-06:00,274.7226839489407 V
2017-06-15T00:00:00-06:00,274.52367738087975 V
2017-06-16T00:00:00-06:00,274.4759941101074 V
2017-06-17T00:00:00-06:00,274.41155166625975 V
2017-06-18T00:00:00-06:00,274.55736659979806 V
2017-06-19T00:00:00-06:00,274.53789191017387 V
2017-06-20T00:00:00-06:00,274.4665207968818 V
2017-06-21T00:00:00-06:00,274.42009343041315 V
2017-06-22T00:00:00-06:00,274.3471482320687 V
2017-06-23T00:00:00-06:00,274.6651545796981 V
2017-06-24T00:00:00-06:00,274.68159251742895 V
2017-06-25T00:00:00-06:00,274.5376490486993 V
2017-06-26T00:00:00-06:00,274.3117415957981 V
2017-06-27T00:00:00-06:00,274.4595902274481 V
2017-06-28T00:00:00-06:00,274.15605138142905 V
2017-06-29T00:00:00-06:00,274.48818248671904 V
2017-06-30T00:00:00-06:00,274.8268536461724 V
2017-07-01T00:00:00-06:00,274.5078786638048 V
2017-07-02T00:00:00-06:00,274.5200133853489 V
2017-07-03T00:00:00-06:00,274.3557822603248 V
2017-07-04T00:00:00-06:00,274.4814955817329 V
2017-07-05T00:00:00-06:00,274.49261417388914 V
2017-07-06T00:00:00-06:00,274.35713363223607 V
2017-07-07T00:00:00-06:00,274.61652993096243 V
2017-07-08T00:00:00-06:00,274.6556648466322 V
2017-07-09T00:00:00-06:00,274.4070705625746 V
2017-07-10T00:00:00-06:00,274.421842596266 V
2017-07-11T00:00:00-06:00,274.43656056722006 V
2017-07-12T00:00:00-06:00,274.543072297838 V
2017-07-13T00:00:00-06:00,274.44145166609024 V
2017-07-14T00:00:00-06:00,274.3867022832235 V
2017-07-15T00:00:00-06:00,274.43940828111437 V
2017-07-16T00:00:00-06:00,274.46478366851807 V
2017-07-17T00:00:00-06:00,274.32441880967883 V
2017-07-18T00:00:00-06:00,274.56103625827365 V
2017-07-19T00:00:00-06:00,274.28042640686033 V
2017-07-20T00:00:00-06:00,274.3133854124281 V
2017-07-21T00:00:00-06:00,274.5053327560425 V
2017-07-22T00:00:00-06:00,274.48941440582274 V
2017-07-23T00:00:00-06:00,274.5949771033393 V
2017-07-24T00:00:00-06:00,274.39296281602645 V
2017-07-25T00:00:00-06:00,274.50638065338137 V
2017-07-26T00:00:00-06:00,274.40843622419567 V
2017-07-27T00:00:00-06:00,274.51495838165283 V
2017-07-28T00:00:00-06:00,274.5514852735731 V
2017-07-29T00:00:00-06:00,274.5148618274265 V
2017-07-30T00:00:00-06:00,274.6734102037218 V
2017-07-31T00:00:00-06:00,274.4091606563992 V
2017-08-01T00:00:00-06:00,274.35373723771835 V
2017-08-02T00:00:00-06:00,274.3338635550605 V
2017-08-03T00:00:00-06:00,274.6589321348402 V
2017-08-04T00:00:00-06:00,274.37521319888157 V
2017-08-05T00:00:00-06:00,274.5435424804688 V
2017-08-06T00:00:00-06:00,274.75829760233563 V
2017-08-07T00:00:00-06:00,274.4369590335422 V
2017-08-08T00:00:00-06:00,274.36428423987496 V
2017-08-09T00:00:00-06:00,274.4952516131931 V
2017-08-10T00:00:00-06:00,274.66215980475675 V
2017-08-11T00:00:00-06:00,274.56489459143745 V
2017-08-12T00:00:00-06:00,274.63397714826795 V
2017-08-13T00:00:00-06:00,274.5560312271118 V
2017-08-14T00:00:00-06:00,274.53656866285536 V
2017-08-15T00:00:00-06:00,274.5743090523614 V
2017-08-16T00:00:00-06:00,274.4855415344238 V
2017-08-17T00:00:00-06:00,274.5725520028008 V
2017-08-18T00:00:00-06:00,274.11472816467284 V
2017-08-19T00:00:00-06:00,274.0771621280246 V
2017-08-20T00:00:00-06:00,274.23070193396677 V
2017-08-21T00:00:00-06:00,274.06250398423936 V
2017-08-22T00:00:00-06:00,273.9753562927246 V
2017-08-23T00:00:00-06:00,274.162159093221 V
2017-08-24T00:00:00-06:00,274.4074422200521 V
2017-08-25T00:00:00-06:00,274.3052988688151 V
2017-08-26T00:00:00-06:00,274.34174226125083 V
2017-08-27T00:00:00-06:00,274.29622501797144 V
2017-08-28T00:00:00-06:00,274.51833352351537 V
2017-08-29T00:00:00-06:00,274.49158677420826 V
2017-08-30T00:00:00-06:00,274.33185670640734 V
2017-08-31T00:00:00-06:00,274.3880780537923 V
2017-09-01T00:00:00-06:00,274.53928854200575 V
2017-09-02T00:00:00-06:00,274.34192352294923 V
2017-09-03T00:00:00-06:00,274.6208877775404 V
2017-09-04T00:00:00-06:00,274.1407264285617 V
2017-09-05T00:00:00-06:00,274.42004947662355 V
2017-09-06T00:00:00-06:00,274.3286054823134 V
2017-09-07T00:00:00-06:00,274.09516196780737 V
2017-09-08T00:00:00-06:00,274.5185760711457 V
2017-09-09T00:00:00-06:00,274.58266756269666 V
2017-09-10T00:00:00-06:00,274.55253838433157 V
2017-09-11T00:00:00-06:00,274.18285471598307 V
2017-09-12T00:00:00-06:00,274.3083713107639 V
2017-09-13T00:00:00-06:00,274.3503159205119 V
2017-09-14T00:00:00-06:00,274.5427641762627 V
2017-09-15T00:00:00-06:00,274.6337384117974 V
2017-09-16T00:00:00-06:00,274.80448455810546 V
2017-09-17T00:00:00-06:00,274.47278192308215 V
2017-09-18T00:00:00-06:00,274.30071127149796 V
2017-09-19T00:00:00-06:00,274.1421581268311 V
2017-09-20T00:00:00-06:00,274.4854999330309 V
2017-09-21T00:00:00-06:00,274.69217618306476 V
2017-09-22T00:00:00-06:00,275.0347308052911 V
2017-09-23T00:00:00-06:00,274.3372025595771 V
2017-09-24T00:00:00-06:00,274.69617402818466 V
2017-09-25T00:00:00-06:00,274.6108040279812 V
