Timestamp,['1cc97275-8926e35c 0051-STERLING SILL CNTR Power Meter Volts CN']
2017-12-14T00:00:00-07:00,121.8770838578542 V
2017-12-15T00:00:00-07:00,121.96875023841858 V
2017-12-16T00:00:00-07:00,121.82291666666667 V
2017-12-17T00:00:00-07:00,121.71041647593181 V
2017-12-18T00:00:00-07:00,121.62795741583712 V
2017-12-19T00:00:00-07:00,121.8177084128062 V
2017-12-20T00:00:00-07:00,121.81979171435039 V
2017-12-21T00:00:00-07:00,121.82291666666667 V
2017-12-22T00:00:00-07:00,121.92187507947285 V
2017-12-23T00:00:00-07:00,121.74374969800313 V
2017-12-24T00:00:00-07:00,121.90833330154419 V
2017-12-25T00:00:00-07:00,122.03645873069763 V
2017-12-26T00:00:00-07:00,122.07395887374878 V
2017-12-27T00:00:00-07:00,121.66979225476582 V
2017-12-28T00:00:00-07:00,122.08645828564961 V
2017-12-29T00:00:00-07:00,121.87708369890849 V
2017-12-30T00:00:00-07:00,121.95520838101704 V
2017-12-31T00:00:00-07:00,121.7885422706604 V
