Timestamp,['1f000c03-b91ba8c8 0067-UNIVERSITY CAMPUS STORE Power Meter Energy Consumption']
2017-07-18T00:00:00-06:00,3147 kWh
2017-07-19T00:00:00-06:00,3185 kWh
2017-07-20T00:00:00-06:00,3142 kWh
2017-07-21T00:00:00-06:00,3151 kWh
2017-07-22T00:00:00-06:00,2615 kWh
2017-07-23T00:00:00-06:00,2521 kWh
2017-07-24T00:00:00-06:00,2529 kWh
2017-07-25T00:00:00-06:00,3130 kWh
2017-07-26T00:00:00-06:00,3232 kWh
2017-07-27T00:00:00-06:00,3265 kWh
2017-07-28T00:00:00-06:00,3273 kWh
2017-07-29T00:00:00-06:00,2648 kWh
2017-07-30T00:00:00-06:00,2569 kWh
2017-07-31T00:00:00-06:00,3088 kWh
2017-08-01T00:00:00-06:00,3105 kWh
2017-08-02T00:00:00-06:00,3080 kWh
2017-08-03T00:00:00-06:00,3082 kWh
2017-08-04T00:00:00-06:00,3104 kWh
2017-08-05T00:00:00-06:00,2747 kWh
2017-08-06T00:00:00-06:00,2464 kWh
2017-08-07T00:00:00-06:00,2954 kWh
2017-08-08T00:00:00-06:00,2960 kWh
2017-08-09T00:00:00-06:00,3042 kWh
2017-08-10T00:00:00-06:00,3024 kWh
2017-08-11T00:00:00-06:00,3080 kWh
2017-08-12T00:00:00-06:00,2823 kWh
2017-08-13T00:00:00-06:00,2530 kWh
2017-08-14T00:00:00-06:00,3026 kWh
2017-08-15T00:00:00-06:00,2980 kWh
2017-08-16T00:00:00-06:00,2973 kWh
2017-08-17T00:00:00-06:00,3001 kWh
2017-08-18T00:00:00-06:00,3023 kWh
2017-08-19T00:00:00-06:00,2702 kWh
2017-08-20T00:00:00-06:00,2690 kWh
2017-08-21T00:00:00-06:00,3165 kWh
2017-08-22T00:00:00-06:00,3210 kWh
2017-08-23T00:00:00-06:00,3161 kWh
2017-08-24T00:00:00-06:00,3063 kWh
2017-08-25T00:00:00-06:00,2962 kWh
2017-08-26T00:00:00-06:00,2725 kWh
2017-08-27T00:00:00-06:00,2390 kWh
2017-08-28T00:00:00-06:00,2924 kWh
2017-08-29T00:00:00-06:00,2992 kWh
2017-08-30T00:00:00-06:00,3031 kWh
2017-08-31T00:00:00-06:00,2986 kWh
2017-09-01T00:00:00-06:00,2231 kWh
2017-09-02T00:00:00-06:00,2362 kWh
2017-09-03T00:00:00-06:00,2351 kWh
2017-09-04T00:00:00-06:00,2332 kWh
2017-09-05T00:00:00-06:00,2901 kWh
2017-09-06T00:00:00-06:00,2803 kWh
2017-09-07T00:00:00-06:00,2898 kWh
2017-09-08T00:00:00-06:00,2911 kWh
2017-09-09T00:00:00-06:00,2594 kWh
2017-09-10T00:00:00-06:00,2431 kWh
2017-09-11T00:00:00-06:00,2994 kWh
2017-09-12T00:00:00-06:00,2953 kWh
2017-09-13T00:00:00-06:00,2936 kWh
2017-09-14T00:00:00-06:00,2902 kWh
2017-09-15T00:00:00-06:00,2947 kWh
2017-09-16T00:00:00-06:00,2713 kWh
2017-09-17T00:00:00-06:00,2334 kWh
2017-09-18T00:00:00-06:00,2911 kWh
2017-09-19T00:00:00-06:00,2587 kWh
2017-09-20T00:00:00-06:00,2774 kWh
2017-09-21T00:00:00-06:00,2783 kWh
2017-09-22T00:00:00-06:00,2313 kWh
2017-09-23T00:00:00-06:00,1507 kWh
2017-09-24T00:00:00-06:00,282 kWh
