Timestamp,"['203f26be-935f52aa 0097-DUMKE GYMNASTICS CNTR Power Meter W-hours, Received']"
2017-09-03T00:00:00-06:00,768.25 kWh
2017-09-04T00:00:00-06:00,806.6875 kWh
2017-09-05T00:00:00-06:00,993.09375 kWh
2017-09-06T00:00:00-06:00,804.3125 kWh
2017-09-07T00:00:00-06:00,888.5 kWh
2017-09-08T00:00:00-06:00,738.71875 kWh
2017-09-09T00:00:00-06:00,578.75 kWh
2017-09-10T00:00:00-06:00,620 kWh
2017-09-11T00:00:00-06:00,796.125 kWh
2017-09-12T00:00:00-06:00,848.65625 kWh
2017-09-13T00:00:00-06:00,657.5625 kWh
2017-09-14T00:00:00-06:00,662.28125 kWh
2017-09-15T00:00:00-06:00,620.84375 kWh
2017-09-16T00:00:00-06:00,536.875 kWh
2017-09-17T00:00:00-06:00,559.5625 kWh
2017-09-18T00:00:00-06:00,740.5625 kWh
2017-09-19T00:00:00-06:00,709.3125 kWh
2017-09-20T00:00:00-06:00,626.96875 kWh
2017-09-21T00:00:00-06:00,695.59375 kWh
2017-09-22T00:00:00-06:00,649.71875 kWh
2017-09-23T00:00:00-06:00,565.1875 kWh
2017-09-24T00:00:00-06:00,552.9375 kWh
2017-09-25T00:00:00-06:00,719.6875 kWh
2017-09-26T00:00:00-06:00,784.21875 kWh
2017-09-27T00:00:00-06:00,698.15625 kWh
2017-09-28T00:00:00-06:00,761.0625 kWh
2017-09-29T00:00:00-06:00,759.53125 kWh
2017-09-30T00:00:00-06:00,629.8125 kWh
2017-10-01T00:00:00-06:00,630.78125 kWh
2017-10-02T00:00:00-06:00,751.875 kWh
2017-10-03T00:00:00-06:00,765.1875 kWh
2017-10-04T00:00:00-06:00,777.375 kWh
2017-10-05T00:00:00-06:00,803.03125 kWh
2017-10-06T00:00:00-06:00,805.34375 kWh
2017-10-07T00:00:00-06:00,664.78125 kWh
2017-10-08T00:00:00-06:00,615.09375 kWh
2017-10-09T00:00:00-06:00,645.375 kWh
2017-10-10T00:00:00-06:00,682.78125 kWh
2017-10-11T00:00:00-06:00,638.46875 kWh
2017-10-12T00:00:00-06:00,612.1875 kWh
2017-10-13T00:00:00-06:00,601.21875 kWh
2017-10-14T00:00:00-06:00,525.71875 kWh
2017-10-15T00:00:00-06:00,530.5625 kWh
2017-10-16T00:00:00-06:00,651.40625 kWh
2017-10-17T00:00:00-06:00,728.96875 kWh
2017-10-18T00:00:00-06:00,590.71875 kWh
2017-10-19T00:00:00-06:00,715.21875 kWh
2017-10-20T00:00:00-06:00,628.84375 kWh
2017-10-21T00:00:00-06:00,504.46875 kWh
2017-10-22T00:00:00-06:00,527.3125 kWh
2017-10-23T00:00:00-06:00,666.6875 kWh
2017-10-24T00:00:00-06:00,742.59375 kWh
2017-10-25T00:00:00-06:00,695.5 kWh
2017-10-26T00:00:00-06:00,687.0625 kWh
2017-10-27T00:00:00-06:00,628.1875 kWh
2017-10-28T00:00:00-06:00,509.1875 kWh
2017-10-29T00:00:00-06:00,539 kWh
2017-10-30T00:00:00-06:00,664.15625 kWh
2017-10-31T00:00:00-06:00,640.4375 kWh
2017-11-01T00:00:00-06:00,579.375 kWh
2017-11-02T00:00:00-06:00,662.59375 kWh
2017-11-03T00:00:00-06:00,603.21875 kWh
2017-11-04T00:00:00-06:00,479.5625 kWh
2017-11-05T00:00:00-06:00,508.34375 kWh
2017-11-06T00:00:00-07:00,615.71875 kWh
2017-11-07T00:00:00-07:00,657.5625 kWh
2017-11-08T00:00:00-07:00,509.9375 kWh
2017-11-09T00:00:00-07:00,646.46875 kWh
2017-11-10T00:00:00-07:00,577.5 kWh
2017-11-11T00:00:00-07:00,461.125 kWh
2017-11-12T00:00:00-07:00,488.25 kWh
2017-11-13T00:00:00-07:00,626.1875 kWh
2017-11-14T00:00:00-07:00,658.40625 kWh
