Timestamp,['1cdb9aa9-e2eb0eb4 0086-MARRIOTT LIBRARY Power Meter 1 KWH Received']
2017-08-16T00:00:00-06:00,12202 kWh
2017-08-17T00:00:00-06:00,12556 kWh
2017-08-18T00:00:00-06:00,12962 kWh
2017-08-19T00:00:00-06:00,12278 kWh
2017-08-20T00:00:00-06:00,11254 kWh
2017-08-21T00:00:00-06:00,14008 kWh
2017-08-22T00:00:00-06:00,14344 kWh
2017-08-23T00:00:00-06:00,14414 kWh
2017-08-24T00:00:00-06:00,14542 kWh
2017-08-25T00:00:00-06:00,14054 kWh
2017-08-26T00:00:00-06:00,11814 kWh
2017-08-27T00:00:00-06:00,11902 kWh
2017-08-28T00:00:00-06:00,16108 kWh
2017-08-29T00:00:00-06:00,15058 kWh
2017-08-30T00:00:00-06:00,14272 kWh
2017-08-31T00:00:00-06:00,14112 kWh
2017-09-01T00:00:00-06:00,13266 kWh
2017-09-02T00:00:00-06:00,11662 kWh
2017-09-03T00:00:00-06:00,11288 kWh
2017-09-04T00:00:00-06:00,10360 kWh
2017-09-05T00:00:00-06:00,13732 kWh
2017-09-06T00:00:00-06:00,13780 kWh
2017-09-07T00:00:00-06:00,13846 kWh
2017-09-08T00:00:00-06:00,12848 kWh
2017-09-09T00:00:00-06:00,11214 kWh
2017-09-10T00:00:00-06:00,11164 kWh
2017-09-11T00:00:00-06:00,14132 kWh
2017-09-12T00:00:00-06:00,13876 kWh
2017-09-13T00:00:00-06:00,14016 kWh
2017-09-14T00:00:00-06:00,13156 kWh
2017-09-15T00:00:00-06:00,9808 kWh
2017-09-16T00:00:00-06:00,8786 kWh
2017-09-17T00:00:00-06:00,9152 kWh
2017-09-18T00:00:00-06:00,12640 kWh
2017-09-19T00:00:00-06:00,10724 kWh
2017-09-20T00:00:00-06:00,11146 kWh
2017-09-21T00:00:00-06:00,9824 kWh
2017-09-22T00:00:00-06:00,8450 kWh
2017-09-23T00:00:00-06:00,7250 kWh
2017-09-24T00:00:00-06:00,7188 kWh
2017-09-25T00:00:00-06:00,9576 kWh
2017-09-26T00:00:00-06:00,9836 kWh
2017-09-27T00:00:00-06:00,10264 kWh
2017-09-28T00:00:00-06:00,10356 kWh
2017-09-29T00:00:00-06:00,10544 kWh
2017-09-30T00:00:00-06:00,9102 kWh
2017-10-01T00:00:00-06:00,7174 kWh
2017-10-02T00:00:00-06:00,8524 kWh
2017-10-03T00:00:00-06:00,9520 kWh
2017-10-04T00:00:00-06:00,9994 kWh
2017-10-05T00:00:00-06:00,9514 kWh
2017-10-06T00:00:00-06:00,9280 kWh
2017-10-07T00:00:00-06:00,9670 kWh
2017-10-08T00:00:00-06:00,6660 kWh
2017-10-09T00:00:00-06:00,8778 kWh
2017-10-10T00:00:00-06:00,9484 kWh
2017-10-11T00:00:00-06:00,9808 kWh
2017-10-12T00:00:00-06:00,8922 kWh
2017-10-13T00:00:00-06:00,8780 kWh
2017-10-14T00:00:00-06:00,6938 kWh
2017-10-15T00:00:00-06:00,7824 kWh
2017-10-16T00:00:00-06:00,11400 kWh
2017-10-17T00:00:00-06:00,10584 kWh
2017-10-18T00:00:00-06:00,9836 kWh
2017-10-19T00:00:00-06:00,9066 kWh
2017-10-20T00:00:00-06:00,7550 kWh
2017-10-21T00:00:00-06:00,5970 kWh
2017-10-22T00:00:00-06:00,6170 kWh
2017-10-23T00:00:00-06:00,7884 kWh
2017-10-24T00:00:00-06:00,7856 kWh
2017-10-25T00:00:00-06:00,7902 kWh
2017-10-26T00:00:00-06:00,7974 kWh
2017-10-27T00:00:00-06:00,7158 kWh
