Timestamp,"['1fa6236b-02e60f90 0003-GARDNER HALL Power Meter (300015) W-hours, Received']"
2017-09-17T00:00:00-06:00,728.09375 kWh
2017-09-18T00:00:00-06:00,811.171875 kWh
2017-09-19T00:00:00-06:00,776.71875 kWh
2017-09-20T00:00:00-06:00,897.046875 kWh
2017-09-21T00:00:00-06:00,948.5625 kWh
2017-09-22T00:00:00-06:00,828.046875 kWh
2017-09-23T00:00:00-06:00,610.65625 kWh
2017-09-24T00:00:00-06:00,725.671875 kWh
2017-09-25T00:00:00-06:00,867.359375 kWh
2017-09-26T00:00:00-06:00,991.34375 kWh
2017-09-27T00:00:00-06:00,878.25 kWh
2017-09-28T00:00:00-06:00,812.890625 kWh
2017-09-29T00:00:00-06:00,865.859375 kWh
2017-09-30T00:00:00-06:00,722.703125 kWh
2017-10-01T00:00:00-06:00,500.875 kWh
2017-10-02T00:00:00-06:00,784 kWh
2017-10-03T00:00:00-06:00,876.5625 kWh
2017-10-04T00:00:00-06:00,985.328125 kWh
2017-10-05T00:00:00-06:00,951.8125 kWh
2017-10-06T00:00:00-06:00,885.046875 kWh
2017-10-07T00:00:00-06:00,539.546875 kWh
2017-10-08T00:00:00-06:00,576.765625 kWh
2017-10-09T00:00:00-06:00,582.28125 kWh
2017-10-10T00:00:00-06:00,547.0625 kWh
2017-10-11T00:00:00-06:00,543.859375 kWh
2017-10-12T00:00:00-06:00,547.109375 kWh
2017-10-13T00:00:00-06:00,651.578125 kWh
2017-10-14T00:00:00-06:00,781.6875 kWh
2017-10-15T00:00:00-06:00,431.109375 kWh
2017-10-16T00:00:00-06:00,751.0625 kWh
2017-10-17T00:00:00-06:00,844.28125 kWh
2017-10-18T00:00:00-06:00,810.3125 kWh
2017-10-19T00:00:00-06:00,855.625 kWh
2017-10-20T00:00:00-06:00,765.609375 kWh
2017-10-21T00:00:00-06:00,556.53125 kWh
2017-10-22T00:00:00-06:00,541.5 kWh
2017-10-23T00:00:00-06:00,820.921875 kWh
2017-10-24T00:00:00-06:00,848.015625 kWh
2017-10-25T00:00:00-06:00,789.46875 kWh
2017-10-26T00:00:00-06:00,829.171875 kWh
2017-10-27T00:00:00-06:00,670.46875 kWh
2017-10-28T00:00:00-06:00,678.3125 kWh
2017-10-29T00:00:00-06:00,654.375 kWh
2017-10-30T00:00:00-06:00,829.484375 kWh
2017-10-31T00:00:00-06:00,560.78125 kWh
2017-11-01T00:00:00-06:00,826.78125 kWh
2017-11-02T00:00:00-06:00,822.25 kWh
2017-11-03T00:00:00-06:00,719.859375 kWh
2017-11-04T00:00:00-06:00,639.59375 kWh
2017-11-05T00:00:00-06:00,640.15625 kWh
2017-11-06T00:00:00-07:00,685.328125 kWh
2017-11-07T00:00:00-07:00,696.171875 kWh
2017-11-08T00:00:00-07:00,778.75 kWh
2017-11-09T00:00:00-07:00,830.25 kWh
2017-11-10T00:00:00-07:00,886.328125 kWh
2017-11-11T00:00:00-07:00,776.453125 kWh
2017-11-12T00:00:00-07:00,573.453125 kWh
2017-11-13T00:00:00-07:00,858.078125 kWh
2017-11-14T00:00:00-07:00,735.40625 kWh
2017-11-15T00:00:00-07:00,841.375 kWh
2017-11-16T00:00:00-07:00,775.5625 kWh
2017-11-17T00:00:00-07:00,846.328125 kWh
2017-11-18T00:00:00-07:00,808.578125 kWh
2017-11-19T00:00:00-07:00,605.015625 kWh
2017-11-20T00:00:00-07:00,813 kWh
2017-11-21T00:00:00-07:00,816.75 kWh
2017-11-22T00:00:00-07:00,702.546875 kWh
2017-11-23T00:00:00-07:00,475.984375 kWh
2017-11-24T00:00:00-07:00,562.828125 kWh
2017-11-25T00:00:00-07:00,566.765625 kWh
2017-11-26T00:00:00-07:00,510.203125 kWh
2017-11-27T00:00:00-07:00,817.765625 kWh
2017-11-28T00:00:00-07:00,780.28125 kWh
2017-11-29T00:00:00-07:00,764.5625 kWh
2017-11-30T00:00:00-07:00,848.625 kWh
2017-12-01T00:00:00-07:00,847.828125 kWh
2017-12-02T00:00:00-07:00,548.84375 kWh
2017-12-03T00:00:00-07:00,715.78125 kWh
2017-12-04T00:00:00-07:00,903.65625 kWh
2017-12-05T00:00:00-07:00,821.9375 kWh
2017-12-06T00:00:00-07:00,781.265625 kWh
2017-12-07T00:00:00-07:00,775.59375 kWh
2017-12-08T00:00:00-07:00,796.65625 kWh
2017-12-09T00:00:00-07:00,685.703125 kWh
2017-12-10T00:00:00-07:00,584.78125 kWh
2017-12-11T00:00:00-07:00,904.734375 kWh
2017-12-12T00:00:00-07:00,788.09375 kWh
2017-12-13T00:00:00-07:00,722.765625 kWh
2017-12-14T00:00:00-07:00,711.109375 kWh
2017-12-15T00:00:00-07:00,755.09375 kWh
2017-12-16T00:00:00-07:00,583.03125 kWh
2017-12-17T00:00:00-07:00,632.75 kWh
2017-12-18T00:00:00-07:00,613.09375 kWh
2017-12-19T00:00:00-07:00,636.96875 kWh
2017-12-20T00:00:00-07:00,795.53125 kWh
2017-12-21T00:00:00-07:00,758.46875 kWh
2017-12-22T00:00:00-07:00,633.53125 kWh
2017-12-23T00:00:00-07:00,651.578125 kWh
2017-12-24T00:00:00-07:00,473.828125 kWh
2017-12-25T00:00:00-07:00,465.671875 kWh
2017-12-26T00:00:00-07:00,483.8125 kWh
2017-12-27T00:00:00-07:00,516.671875 kWh
2017-12-28T00:00:00-07:00,527.296875 kWh
2017-12-29T00:00:00-07:00,544.25 kWh
2017-12-30T00:00:00-07:00,535.03125 kWh
2017-12-31T00:00:00-07:00,493.46875 kWh
