Timestamp,"['1fa2475d-a528bc63 0002-VOICE & OPERA CNTR Power Meter (301411) W-hours, Received']"
2017-09-20T00:00:00-06:00,47.671875 kWh
2017-09-21T00:00:00-06:00,34.3359375 kWh
2017-09-22T00:00:00-06:00,46.140625 kWh
2017-09-23T00:00:00-06:00,6.890625 kWh
2017-09-24T00:00:00-06:00,7.0625 kWh
2017-09-25T00:00:00-06:00,51.9609375 kWh
2017-09-26T00:00:00-06:00,59.6484375 kWh
2017-09-27T00:00:00-06:00,39.1875 kWh
2017-09-28T00:00:00-06:00,34.8125 kWh
2017-09-29T00:00:00-06:00,49.3359375 kWh
2017-09-30T00:00:00-06:00,10.1328125 kWh
2017-10-01T00:00:00-06:00,10.1171875 kWh
2017-10-02T00:00:00-06:00,54.9296875 kWh
2017-10-03T00:00:00-06:00,58.4765625 kWh
2017-10-04T00:00:00-06:00,49.875 kWh
2017-10-05T00:00:00-06:00,35 kWh
2017-10-06T00:00:00-06:00,33.71875 kWh
2017-10-07T00:00:00-06:00,7.9296875 kWh
2017-10-08T00:00:00-06:00,7.1328125 kWh
2017-10-09T00:00:00-06:00,35.859375 kWh
2017-10-10T00:00:00-06:00,35.0078125 kWh
2017-10-11T00:00:00-06:00,34.515625 kWh
2017-10-12T00:00:00-06:00,34.6796875 kWh
2017-10-13T00:00:00-06:00,39.1640625 kWh
2017-10-14T00:00:00-06:00,14.453125 kWh
2017-10-15T00:00:00-06:00,18.6015625 kWh
2017-10-16T00:00:00-06:00,57.78125 kWh
2017-10-17T00:00:00-06:00,56.40625 kWh
2017-10-18T00:00:00-06:00,47.453125 kWh
2017-10-19T00:00:00-06:00,29.109375 kWh
2017-10-20T00:00:00-06:00,36.265625 kWh
2017-10-21T00:00:00-06:00,7.90625 kWh
2017-10-22T00:00:00-06:00,10.5 kWh
2017-10-23T00:00:00-06:00,43.125 kWh
2017-10-24T00:00:00-06:00,44.1953125 kWh
2017-10-25T00:00:00-06:00,45.296875 kWh
2017-10-26T00:00:00-06:00,35.8125 kWh
2017-10-27T00:00:00-06:00,32.96875 kWh
2017-10-28T00:00:00-06:00,7.125 kWh
2017-10-29T00:00:00-06:00,9.625 kWh
2017-10-30T00:00:00-06:00,41.3203125 kWh
2017-10-31T00:00:00-06:00,36.28125 kWh
2017-11-01T00:00:00-06:00,44.4765625 kWh
2017-11-02T00:00:00-06:00,34.6640625 kWh
2017-11-03T00:00:00-06:00,35.8984375 kWh
2017-11-04T00:00:00-06:00,9.46875 kWh
2017-11-05T00:00:00-06:00,9.0625 kWh
2017-11-06T00:00:00-07:00,42.75 kWh
2017-11-07T00:00:00-07:00,47.328125 kWh
2017-11-08T00:00:00-07:00,42.8984375 kWh
2017-11-09T00:00:00-07:00,34.4140625 kWh
2017-11-10T00:00:00-07:00,39.9453125 kWh
2017-11-11T00:00:00-07:00,11.78125 kWh
2017-11-12T00:00:00-07:00,18.4765625 kWh
2017-11-13T00:00:00-07:00,41.1953125 kWh
2017-11-14T00:00:00-07:00,43.6796875 kWh
2017-11-15T00:00:00-07:00,41.5 kWh
2017-11-16T00:00:00-07:00,35.2890625 kWh
2017-11-17T00:00:00-07:00,37.671875 kWh
2017-11-18T00:00:00-07:00,17.9296875 kWh
2017-11-19T00:00:00-07:00,26.4140625 kWh
2017-11-20T00:00:00-07:00,50.921875 kWh
2017-11-21T00:00:00-07:00,45.7578125 kWh
2017-11-22T00:00:00-07:00,39.2109375 kWh
2017-11-23T00:00:00-07:00,34.7734375 kWh
2017-11-24T00:00:00-07:00,35.578125 kWh
2017-11-25T00:00:00-07:00,9.75 kWh
2017-11-26T00:00:00-07:00,8.9296875 kWh
2017-11-27T00:00:00-07:00,36.078125 kWh
2017-11-28T00:00:00-07:00,37.6171875 kWh
2017-11-29T00:00:00-07:00,36.5859375 kWh
2017-11-30T00:00:00-07:00,36.921875 kWh
2017-12-01T00:00:00-07:00,35.3046875 kWh
2017-12-02T00:00:00-07:00,12.734375 kWh
2017-12-03T00:00:00-07:00,19.90625 kWh
2017-12-04T00:00:00-07:00,47.4921875 kWh
2017-12-05T00:00:00-07:00,51 kWh
2017-12-06T00:00:00-07:00,49.46875 kWh
2017-12-07T00:00:00-07:00,48.4921875 kWh
2017-12-08T00:00:00-07:00,44.9609375 kWh
2017-12-09T00:00:00-07:00,39.7578125 kWh
2017-12-10T00:00:00-07:00,48.8984375 kWh
2017-12-11T00:00:00-07:00,56.0546875 kWh
2017-12-12T00:00:00-07:00,47.8046875 kWh
2017-12-13T00:00:00-07:00,49.1640625 kWh
2017-12-14T00:00:00-07:00,43.609375 kWh
2017-12-15T00:00:00-07:00,43.9765625 kWh
2017-12-16T00:00:00-07:00,27.9453125 kWh
2017-12-17T00:00:00-07:00,35.3359375 kWh
2017-12-18T00:00:00-07:00,47.1953125 kWh
2017-12-19T00:00:00-07:00,38.625 kWh
2017-12-20T00:00:00-07:00,47.9296875 kWh
2017-12-21T00:00:00-07:00,60.453125 kWh
2017-12-22T00:00:00-07:00,58.6953125 kWh
2017-12-23T00:00:00-07:00,58.9453125 kWh
2017-12-24T00:00:00-07:00,59.109375 kWh
2017-12-25T00:00:00-07:00,59.15625 kWh
2017-12-26T00:00:00-07:00,61.890625 kWh
2017-12-27T00:00:00-07:00,58.7890625 kWh
2017-12-28T00:00:00-07:00,59.546875 kWh
2017-12-29T00:00:00-07:00,58.1640625 kWh
2017-12-30T00:00:00-07:00,56.734375 kWh
2017-12-31T00:00:00-07:00,58.8515625 kWh
