Timestamp,['1cd3e13e-4af7f2c0 0049-LANGUAGE & COMMUNICATION BLDG Power Meter Volts BN']
2017-12-21T00:00:00-07:00,280.53021335601807 V
2017-12-22T00:00:00-07:00,280.7760473887126 V
2017-12-23T00:00:00-07:00,280.3322973251343 V
2017-12-24T00:00:00-07:00,280.7052132288615 V
2017-12-25T00:00:00-07:00,281.00209013621014 V
2017-12-26T00:00:00-07:00,281.07500743865967 V
2017-12-27T00:00:00-07:00,280.0729220708211 V
2017-12-28T00:00:00-07:00,280.96563053131104 V
2017-12-29T00:00:00-07:00,280.48958746592206 V
2017-12-30T00:00:00-07:00,280.73229757944745 V
2017-12-31T00:00:00-07:00,280.39584096272785 V
