Timestamp,['1cca7595-645427c6 0062-WARNOCK ENGR BLDG Power Meter 316607 Volts BN']
2017-06-26T00:00:00-06:00,284.1145833333333 V
2017-06-27T00:00:00-06:00,284.4479166666667 V
2017-06-28T00:00:00-06:00,284.1979166666667 V
2017-06-29T00:00:00-06:00,284.40625 V
2017-06-30T00:00:00-06:00,284.3125 V
2017-07-01T00:00:00-06:00,284.1979166666667 V
2017-07-02T00:00:00-06:00,284.3645833333333 V
2017-07-03T00:00:00-06:00,284.125 V
2017-07-04T00:00:00-06:00,284.4375 V
2017-07-05T00:00:00-06:00,284.21875 V
2017-07-06T00:00:00-06:00,284.2395833333333 V
2017-07-07T00:00:00-06:00,284.125 V
2017-07-08T00:00:00-06:00,284.0625 V
2017-07-09T00:00:00-06:00,284.0833333333333 V
2017-07-10T00:00:00-06:00,284.1354166666667 V
2017-07-11T00:00:00-06:00,284.3125 V
2017-07-12T00:00:00-06:00,284.21875 V
2017-07-13T00:00:00-06:00,284.53125 V
2017-07-14T00:00:00-06:00,284.2604166666667 V
2017-07-15T00:00:00-06:00,284.1458333333333 V
2017-07-16T00:00:00-06:00,284.125 V
2017-07-17T00:00:00-06:00,284.0833333333333 V
2017-07-18T00:00:00-06:00,284.1354166666667 V
2017-07-19T00:00:00-06:00,284.2083333333333 V
2017-07-20T00:00:00-06:00,284.09375 V
2017-07-21T00:00:00-06:00,284.0208333333333 V
2017-07-22T00:00:00-06:00,284.1458333333333 V
2017-07-23T00:00:00-06:00,284.2083333333333 V
2017-07-24T00:00:00-06:00,284.4166666666667 V
2017-07-25T00:00:00-06:00,284.2083333333333 V
2017-07-26T00:00:00-06:00,283.9791666666667 V
2017-07-27T00:00:00-06:00,284.21875 V
2017-07-28T00:00:00-06:00,283.96875 V
2017-07-29T00:00:00-06:00,284.125 V
2017-07-30T00:00:00-06:00,284.2083333333333 V
2017-07-31T00:00:00-06:00,284.1979166666667 V
2017-08-01T00:00:00-06:00,284.2916666666667 V
2017-08-02T00:00:00-06:00,284.0208333333333 V
2017-08-03T00:00:00-06:00,283.9895833333333 V
2017-08-04T00:00:00-06:00,284.1111111111111 V
2017-08-05T00:00:00-06:00,284.28125 V
2017-08-06T00:00:00-06:00,284.1666666666667 V
2017-08-07T00:00:00-06:00,283.8854166666667 V
2017-08-08T00:00:00-06:00,284.1458333333333 V
2017-08-09T00:00:00-06:00,284.0416666666667 V
2017-08-10T00:00:00-06:00,284.05434782608694 V
2017-08-11T00:00:00-06:00,284.2708333333333 V
2017-08-12T00:00:00-06:00,284.2105263157895 V
2017-08-13T00:00:00-06:00,284.40625 V
2017-08-14T00:00:00-06:00,284.4479166666667 V
2017-08-15T00:00:00-06:00,284.3854166666667 V
2017-08-16T00:00:00-06:00,284.25 V
2017-08-17T00:00:00-06:00,284.1770833333333 V
2017-08-18T00:00:00-06:00,284.2708333333333 V
2017-08-19T00:00:00-06:00,284.3333333333333 V
2017-08-20T00:00:00-06:00,284.4583333333333 V
2017-08-21T00:00:00-06:00,284.4791666666667 V
2017-08-22T00:00:00-06:00,284.28125 V
2017-08-23T00:00:00-06:00,284.40625 V
2017-08-24T00:00:00-06:00,284.34375 V
2017-08-25T00:00:00-06:00,284.1979166666667 V
2017-08-26T00:00:00-06:00,283.8958333333333 V
2017-08-27T00:00:00-06:00,284.03125 V
2017-08-28T00:00:00-06:00,284.2888888888889 V
2017-08-29T00:00:00-06:00,284.1978021978022 V
2017-08-30T00:00:00-06:00,284.1458333333333 V
2017-08-31T00:00:00-06:00,284.2604166666667 V
2017-09-01T00:00:00-06:00,283.9479166666667 V
2017-09-02T00:00:00-06:00,283.9479166666667 V
2017-09-03T00:00:00-06:00,284.0625 V
2017-09-04T00:00:00-06:00,283.8958333333333 V
2017-09-05T00:00:00-06:00,283.96875 V
2017-09-06T00:00:00-06:00,284.13684210526316 V
2017-09-07T00:00:00-06:00,283.9791666666667 V
2017-09-08T00:00:00-06:00,284.2307692307692 V
2017-09-09T00:00:00-06:00,284.0520833333333 V
2017-09-10T00:00:00-06:00,284.1458333333333 V
2017-09-11T00:00:00-06:00,283.7708333333333 V
2017-09-12T00:00:00-06:00,284.2708333333333 V
2017-09-13T00:00:00-06:00,283.8958333333333 V
2017-09-14T00:00:00-06:00,284.15625 V
2017-09-15T00:00:00-06:00,284.3541666666667 V
2017-09-16T00:00:00-06:00,284.8125 V
2017-09-17T00:00:00-06:00,284.1354166666667 V
2017-09-18T00:00:00-06:00,284.3229166666667 V
2017-09-19T00:00:00-06:00,283.7916666666667 V
2017-09-20T00:00:00-06:00,283.90625 V
2017-09-21T00:00:00-06:00,284.3020833333333 V
2017-09-22T00:00:00-06:00,284.59375 V
2017-09-23T00:00:00-06:00,284.6875 V
2017-09-24T00:00:00-06:00,284.3854166666667 V
2017-09-25T00:00:00-06:00,284.8125 V
2017-09-26T00:00:00-06:00,284.5104166666667 V
2017-09-27T00:00:00-06:00,284.4791666666667 V
2017-09-28T00:00:00-06:00,284.1458333333333 V
2017-09-29T00:00:00-06:00,284.1458333333333 V
2017-09-30T00:00:00-06:00,284.34375 V
2017-10-01T00:00:00-06:00,284.2083333333333 V
2017-10-02T00:00:00-06:00,284.6875 V
