Timestamp,['1cbacc0f-b13a5edb 0036-FILM & MEDIA ARTS BLDG Power Meter (300084) Volt B-N']
2017-12-01T00:00:00-07:00,122.17731253306071 V
2017-12-02T00:00:00-07:00,122.11442756652832 V
2017-12-03T00:00:00-07:00,122.09023094177246 V
2017-12-04T00:00:00-07:00,122.0528183778127 V
2017-12-05T00:00:00-07:00,122.168612241745 V
2017-12-06T00:00:00-07:00,122.18014160792033 V
2017-12-07T00:00:00-07:00,122.25110872586568 V
2017-12-08T00:00:00-07:00,122.31626749038696 V
2017-12-09T00:00:00-07:00,122.38479495048523 V
2017-12-10T00:00:00-07:00,122.31990194320679 V
2017-12-11T00:00:00-07:00,122.11131477355957 V
2017-12-12T00:00:00-07:00,122.01039751370747 V
2017-12-13T00:00:00-07:00,122.13198860486348 V
2017-12-14T00:00:00-07:00,122.22175510724385 V
2017-12-15T00:00:00-07:00,122.15239310264587 V
2017-12-16T00:00:00-07:00,122.25001915295918 V
2017-12-17T00:00:00-07:00,122.12267891565959 V
2017-12-18T00:00:00-07:00,122.18827983897219 V
2017-12-19T00:00:00-07:00,122.05112051963806 V
2017-12-20T00:00:00-07:00,122.19531122843425 V
2017-12-21T00:00:00-07:00,122.04731488227844 V
2017-12-22T00:00:00-07:00,122.10136810938518 V
2017-12-23T00:00:00-07:00,122.06259679794312 V
2017-12-24T00:00:00-07:00,122.12253673871358 V
2017-12-25T00:00:00-07:00,122.24654920895894 V
2017-12-26T00:00:00-07:00,122.2687668800354 V
2017-12-27T00:00:00-07:00,121.9532561302185 V
2017-12-28T00:00:00-07:00,122.23436450958252 V
2017-12-29T00:00:00-07:00,122.10185559590657 V
2017-12-30T00:00:00-07:00,122.05303637186687 V
2017-12-31T00:00:00-07:00,121.98205367724101 V
