Timestamp,['1f4f32ae-a049114c Power Meter (4160V) 316611 Current B']
2017-09-19T00:00:00-06:00,32.5 A
2017-09-20T00:00:00-06:00,27.714285714285715 A
2017-09-21T00:00:00-06:00,16.25 A
2017-09-22T00:00:00-06:00,0 A
2017-09-23T00:00:00-06:00,3.4444444444444446 A
2017-09-24T00:00:00-06:00,5 A
2017-09-25T00:00:00-06:00,16.857142857142858 A
2017-09-26T00:00:00-06:00,22.4 A
2017-09-27T00:00:00-06:00,50 A
2017-09-28T00:00:00-06:00,28.4 A
2017-09-29T00:00:00-06:00,32.36363636363637 A
2017-09-30T00:00:00-06:00,13.5 A
2017-10-01T00:00:00-06:00,23.833333333333332 A
2017-10-02T00:00:00-06:00,0 A
2017-10-03T00:00:00-06:00,19.11111111111111 A
2017-10-04T00:00:00-06:00,29.125 A
2017-10-05T00:00:00-06:00,17.25 A
2017-10-06T00:00:00-06:00,22.555555555555557 A
2017-10-07T00:00:00-06:00,18.11111111111111 A
2017-10-08T00:00:00-06:00,10.666666666666666 A
2017-10-09T00:00:00-06:00,0 A
2017-10-10T00:00:00-06:00,31.444444444444443 A
2017-10-11T00:00:00-06:00,27.363636363636363 A
2017-10-12T00:00:00-06:00,13.902439024390244 A
2017-10-13T00:00:00-06:00,15.074468085106384 A
2017-10-14T00:00:00-06:00,5.90625 A
2017-10-15T00:00:00-06:00,0.6458333333333334 A
2017-10-16T00:00:00-06:00,15.927083333333334 A
2017-10-17T00:00:00-06:00,30.197916666666668 A
2017-10-18T00:00:00-06:00,32.020833333333336 A
2017-10-19T00:00:00-06:00,35.020833333333336 A
2017-10-20T00:00:00-06:00,31.73404255319149 A
2017-10-21T00:00:00-06:00,8.979166666666666 A
2017-10-22T00:00:00-06:00,15.842105263157896 A
2017-10-23T00:00:00-06:00,32.34375 A
2017-10-24T00:00:00-06:00,30.541666666666668 A
2017-10-25T00:00:00-06:00,32.625 A
2017-10-26T00:00:00-06:00,30.875 A
2017-10-27T00:00:00-06:00,29.739583333333332 A
2017-10-28T00:00:00-06:00,31.6 A
2017-10-29T00:00:00-06:00,31.305263157894736 A
2017-10-30T00:00:00-06:00,4.5 A
2017-10-31T00:00:00-06:00,0 A
2017-11-01T00:00:00-06:00,14.159574468085106 A
2017-11-02T00:00:00-06:00,25.489583333333332 A
2017-11-03T00:00:00-06:00,31.369565217391305 A
2017-11-04T00:00:00-06:00,7.127659574468085 A
2017-11-05T00:00:00-06:00,1.45 A
2017-11-06T00:00:00-07:00,0 A
2017-11-07T00:00:00-07:00,0 A
2017-11-08T00:00:00-07:00,0 A
2017-11-09T00:00:00-07:00,5.552083333333333 A
2017-11-10T00:00:00-07:00,0.6 A
2017-11-11T00:00:00-07:00,1.1979166666666667 A
2017-11-12T00:00:00-07:00,1.4842105263157894 A
2017-11-13T00:00:00-07:00,2.28125 A
2017-11-14T00:00:00-07:00,0 A
2017-11-15T00:00:00-07:00,2.21875 A
2017-11-16T00:00:00-07:00,24.072916666666668 A
2017-11-17T00:00:00-07:00,2.8854166666666665 A
2017-11-18T00:00:00-07:00,2.9479166666666665 A
2017-11-19T00:00:00-07:00,1.8229166666666667 A
2017-11-20T00:00:00-07:00,1.5 A
2017-11-21T00:00:00-07:00,5.375 A
2017-11-22T00:00:00-07:00,7.333333333333333 A
2017-11-23T00:00:00-07:00,0.6041666666666666 A
2017-11-24T00:00:00-07:00,2.5319148936170213 A
2017-11-25T00:00:00-07:00,0 A
2017-11-26T00:00:00-07:00,8.3125 A
2017-11-27T00:00:00-07:00,19.96875 A
2017-11-28T00:00:00-07:00,1.4791666666666667 A
2017-11-29T00:00:00-07:00,0.8842105263157894 A
2017-11-30T00:00:00-07:00,0.28421052631578947 A
2017-12-01T00:00:00-07:00,0.8541666666666666 A
2017-12-02T00:00:00-07:00,0.5833333333333334 A
2017-12-03T00:00:00-07:00,0.3125 A
2017-12-04T00:00:00-07:00,0 A
2017-12-05T00:00:00-07:00,0 A
2017-12-06T00:00:00-07:00,0 A
2017-12-07T00:00:00-07:00,0 A
2017-12-08T00:00:00-07:00,0 A
2017-12-09T00:00:00-07:00,0 A
2017-12-10T00:00:00-07:00,0 A
2017-12-11T00:00:00-07:00,0 A
2017-12-12T00:00:00-07:00,0 A
2017-12-13T00:00:00-07:00,0 A
2017-12-14T00:00:00-07:00,0 A
2017-12-15T00:00:00-07:00,0 A
2017-12-16T00:00:00-07:00,0 A
2017-12-17T00:00:00-07:00,0 A
2017-12-18T00:00:00-07:00,0 A
2017-12-19T00:00:00-07:00,0 A
2017-12-20T00:00:00-07:00,0 A
2017-12-21T00:00:00-07:00,0 A
2017-12-22T00:00:00-07:00,0 A
2017-12-23T00:00:00-07:00,0 A
2017-12-24T00:00:00-07:00,0 A
2017-12-25T00:00:00-07:00,0 A
2017-12-26T00:00:00-07:00,0 A
2017-12-27T00:00:00-07:00,0 A
2017-12-28T00:00:00-07:00,0 A
2017-12-29T00:00:00-07:00,0 A
2017-12-30T00:00:00-07:00,0 A
2017-12-31T00:00:00-07:00,0 A
