Timestamp,"['1ee9aa5e-61cafb5e 0053-OLPIN UNION Power Meter (53-2) 300116 W-hours, Received']"
2017-07-31T00:00:00-06:00,2034.84375 kWh
2017-08-01T00:00:00-06:00,2117.59375 kWh
2017-08-02T00:00:00-06:00,2095.84375 kWh
2017-08-03T00:00:00-06:00,2126.84375 kWh
2017-08-04T00:00:00-06:00,2072.1875 kWh
2017-08-05T00:00:00-06:00,1665.6875 kWh
2017-08-06T00:00:00-06:00,1560.09375 kWh
2017-08-07T00:00:00-06:00,2035.09375 kWh
2017-08-08T00:00:00-06:00,2072.875 kWh
2017-08-09T00:00:00-06:00,2129.28125 kWh
2017-08-10T00:00:00-06:00,2085.40625 kWh
2017-08-11T00:00:00-06:00,2091.28125 kWh
2017-08-12T00:00:00-06:00,1707.4375 kWh
2017-08-13T00:00:00-06:00,1578.9375 kWh
2017-08-14T00:00:00-06:00,2053.75 kWh
2017-08-15T00:00:00-06:00,2091.21875 kWh
2017-08-16T00:00:00-06:00,2172.375 kWh
2017-08-17T00:00:00-06:00,2226.125 kWh
2017-08-18T00:00:00-06:00,2300.71875 kWh
2017-08-19T00:00:00-06:00,1811.84375 kWh
2017-08-20T00:00:00-06:00,1700.0625 kWh
2017-08-21T00:00:00-06:00,2274 kWh
2017-08-22T00:00:00-06:00,2318.03125 kWh
2017-08-23T00:00:00-06:00,2430.625 kWh
2017-08-24T00:00:00-06:00,2320.3125 kWh
2017-08-25T00:00:00-06:00,2250.8125 kWh
2017-08-26T00:00:00-06:00,2006.84375 kWh
2017-08-27T00:00:00-06:00,1769.1875 kWh
2017-08-28T00:00:00-06:00,2317.5625 kWh
2017-08-29T00:00:00-06:00,2348.53125 kWh
2017-08-30T00:00:00-06:00,2293.4375 kWh
2017-08-31T00:00:00-06:00,2287.59375 kWh
2017-09-01T00:00:00-06:00,2286.25 kWh
2017-09-02T00:00:00-06:00,1892.59375 kWh
2017-09-03T00:00:00-06:00,1864.25 kWh
2017-09-04T00:00:00-06:00,1776.1875 kWh
2017-09-05T00:00:00-06:00,2441.09375 kWh
2017-09-06T00:00:00-06:00,2451.21875 kWh
2017-09-07T00:00:00-06:00,2374.78125 kWh
2017-09-08T00:00:00-06:00,2286.59375 kWh
2017-09-09T00:00:00-06:00,1808.3125 kWh
2017-09-10T00:00:00-06:00,1737.75 kWh
2017-09-11T00:00:00-06:00,2406.03125 kWh
