Timestamp,"['1edb212c-f4ed225c 0053-OLPIN UNION Power Meter (53-1) W-hours, Received']"
2017-12-22T00:00:00-07:00,963.796875 kWh
2017-12-23T00:00:00-07:00,775.25 kWh
2017-12-24T00:00:00-07:00,774.765625 kWh
2017-12-25T00:00:00-07:00,760.484375 kWh
2017-12-26T00:00:00-07:00,826.84375 kWh
2017-12-27T00:00:00-07:00,932.21875 kWh
2017-12-28T00:00:00-07:00,921.84375 kWh
2017-12-29T00:00:00-07:00,798.703125 kWh
2017-12-30T00:00:00-07:00,777.90625 kWh
2017-12-31T00:00:00-07:00,794.484375 kWh
