Timestamp,['1d0a1977-16c6db32 0084-BIOLOGY BLDG Power Meter 316501 KW Total']
2017-10-14T00:00:00-06:00,-165.94825744628906 kW
2017-10-15T00:00:00-06:00,-174.6187286376953 kW
2017-10-16T00:00:00-06:00,-170.97410583496094 kW
2017-10-17T00:00:00-06:00,-159.51290893554688 kW
2017-10-18T00:00:00-06:00,-165.85806274414062 kW
2017-10-19T00:00:00-06:00,-160.26235961914062 kW
2017-10-20T00:00:00-06:00,-174.0687713623047 kW
2017-10-21T00:00:00-06:00,-175.13758850097656 kW
2017-10-22T00:00:00-06:00,-168.7034912109375 kW
2017-10-23T00:00:00-06:00,-174.08033752441406 kW
2017-10-24T00:00:00-06:00,-177.0846710205078 kW
2017-10-25T00:00:00-06:00,-174.8843231201172 kW
2017-10-26T00:00:00-06:00,-176.295654296875 kW
