Timestamp,['203a2650-caf523f9 0066-SIMMONS PIONEER MEMORIAL THEATRE Power Meter Volts A-N']
2017-07-20T00:00:00-06:00,122.2061329682668 V
2017-07-21T00:00:00-06:00,122.06783310572307 V
2017-07-22T00:00:00-06:00,122.20989735921223 V
2017-07-23T00:00:00-06:00,122.26452318827312 V
2017-07-24T00:00:00-06:00,122.33945377667744 V
2017-07-25T00:00:00-06:00,122.2501540184021 V
2017-07-26T00:00:00-06:00,122.05635142326355 V
2017-07-27T00:00:00-06:00,122.23086373011272 V
2017-07-28T00:00:00-06:00,122.08273108800252 V
2017-07-29T00:00:00-06:00,122.25022013982137 V
2017-07-30T00:00:00-06:00,122.29593936602275 V
2017-07-31T00:00:00-06:00,122.2173273563385 V
2017-08-01T00:00:00-06:00,122.2241199016571 V
2017-08-02T00:00:00-06:00,121.88497463862102 V
2017-08-03T00:00:00-06:00,121.93623701731364 V
2017-08-04T00:00:00-06:00,122.04337252103366 V
2017-08-05T00:00:00-06:00,122.23099199930827 V
2017-08-06T00:00:00-06:00,122.30921037991841 V
2017-08-07T00:00:00-06:00,122.08869210879008 V
2017-08-08T00:00:00-06:00,122.0937864780426 V
2017-08-09T00:00:00-06:00,121.93317381540935 V
2017-08-10T00:00:00-06:00,122.08932681793863 V
2017-08-11T00:00:00-06:00,122.08258265445107 V
2017-08-12T00:00:00-06:00,122.13978362083435 V
2017-08-13T00:00:00-06:00,122.32842246691386 V
2017-08-14T00:00:00-06:00,122.15024749437968 V
2017-08-15T00:00:00-06:00,122.2013008594513 V
2017-08-16T00:00:00-06:00,122.03339195251465 V
2017-08-17T00:00:00-06:00,122.05125816663106 V
2017-08-18T00:00:00-06:00,122.04477977752686 V
2017-08-19T00:00:00-06:00,122.19355710347493 V
2017-08-20T00:00:00-06:00,122.1653908888499 V
2017-08-21T00:00:00-06:00,122.08627144495647 V
2017-08-22T00:00:00-06:00,121.96827212969463 V
2017-08-23T00:00:00-06:00,122.09451953570048 V
2017-08-24T00:00:00-06:00,121.99212304751079 V
2017-08-25T00:00:00-06:00,121.99562907218933 V
2017-08-26T00:00:00-06:00,121.92181460062663 V
2017-08-27T00:00:00-06:00,121.95945588747661 V
